盈餘所屬年度,股利發放年度,股東會日期,除息交易日,除息參考價(元),除權交易日,除權參考價(元),現金股利發放日,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,發放年度平均股價,年均殖利率(%)
2017,2018,2018/06/12,2018/07/03,84.3,,,2018/07/26(即將發放),6,0,6,0,0,0,6,89.7,6.69
2016,2017,2017/06/08,2017/06/29,59.3,,,2017/07/20,3.25,0,3.25,0,0,0,3.25,68,4.78
2015,2016,2016/06/08,2016/06/28,51.6,,,2016/07/15,3.01,0.19,3.2,0,0,0,3.2,53,6.04
2014,2015,2015/06/10,2015/06/26,51.6,,,2015/07/15,2.8,0.2,3,0,0,0,3,52.3,5.73
2013,2014,2014/06/12,2014/06/27,54.5,,,,3.13,0.17,3.3,0,0,0,3.3,54.8,6.03
2012,2013,2013/06/13,2013/06/28,54.5,,,,3,0,3,0,0,0,3,55.3,5.42
2011,2012,2012/06/06,2012/06/27,43.5,,,,2.8,0,2.8,0,0,0,2.8,46.3,6.04
2010,2011,2011/06/10,2011/07/07,52.8,,,,2,0,2,0,0,0,2,51,3.92
2009,2010,2010/06/25,2010/07/12,44,,,,2,0,2,0,0,0,2,47.9,4.17
2008,2009,2009/06/10,2009/07/01,28.2,,,,1.09,0,1.09,0,0,0,1.09,30.4,3.58
2007,2008,2008/06/13,2008/07/21,24.75,2008/07/21,24.75,,1.27,0,1.27,0.01,0.36,0.37,1.64,26.5,6.2
2006,2007,2007/06/13,2007/07/26,19.7,2007/07/26,19.7,,1.4,0,1.4,0.02,0.18,0.2,1.6,24,6.66
2005,2006,2006/06/15,2006/07/03,17.6,,,,1.55,0,1.55,0,0,0,1.55,18.2,8.49
2004,2005,2005/06/14,2005/06/30,18.15,,,,0.86,0,0.86,0,0,0,0.86,17.7,4.86
2003,2004,2004/06/15,,,,,,0,0,0,0,0,0,0,19.6,0
2002,2003,2003/05/28,2003/08/27,22.5,,,,1,0,1,0,0,0,1,18.2,5.5
2001,2002,2002/05/28,,,,,,0,0,0,0,0,0,0,10.3,0
2000,2001,2001/04/24,,,2001/06/21,,,0,0,0,0,1,1,1,20.3,4.92
1999,2000,,,,,,,0,0,0,1.6,0.4,2,2,50.4,3.97
1998,1999,,,,,,,0,0,0,1.4,0.6,2,2,49.1,4.07
1997,1998,,,,,,,0,0,0,2,0,2,2,56.9,3.52
1996,1997,,,,,,,0,0,0,0.5,0.5,1,1,53.4,1.87
1995,1996,1996/05/27,,,1996/07/29,,,0,0,0,1,0,1,1,24.9,4.01
1994,1995,1995/05/15,,,1995/07/26,,,0,0,0,2,0,2,2,31.6,6.33
1993,1994,1994/05/27,,,1994/08/25,,,0,0,0,1.34,0.36,1.7,1.7,40.5,4.2
1992,1993,1993/05/19,,,1993/08/28,,,0,0,0,1.5,0,1.5,1.5,37.6,3.99
1991,1992,1992/06/13,1992/07/22,,1992/08/31,,,1,0,1,1,0,1,2,53.5,3.74
1990,1991,1991/02/23,1991/06/20,,1991/12/11,,,0.5,0,0.5,1.5,0,1.5,2,66.6,3
1989,1990,1990/02/20,,,1990/08/09,,,0,0,0,1.34,1.41,2.75,2.75,,
