盈餘所屬年度,股利發放年度,股東會日期,除息交易日,除息參考價(元),除權交易日,除權參考價(元),現金股利發放日,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,發放年度平均股價,年均殖利率(%)
2017,2018,,2018/04/26,14.52,,,,0.37,0,0.37,0,0,0,0.37,14.6,2.54
2016,2017,,2017/04/26,14,,,,0.35,0,0.35,0,0,0,0.35,14.2,2.43
2015,2016,,2016/04/27,13.87,,,,0.37,0,0.37,0,0,0,0.37,14,2.66
2014,2015,,2015/04/16,13.7,,,,0.37,0,0.37,0,0,0,0.37,13.8,2.65
2013,2014,,2014/04/17,12.71,,,,0.37,0,0.37,0,0,0,0.37,13.2,2.81
2012,2013,,2013/04/17,15.56,,,,0.35,0,0.35,0,0,0,0.35,14.7,2.41
2011,2012,,2012/04/19,12.75,,,,0.39,0,0.39,0,0,0,0.39,12.6,3.06
2010,2011,,2011/04/19,10.11,,,,0.38,0,0.38,0,0,0,0.38,10.4,3.67
2009,2010,,2010/04/21,9.59,,,,0.37,0,0.37,0,0,0,0.37,9.93,3.77
2008,2009,,2009/04/29,8.39,,,,0.39,0,0.39,0,0,0,0.39,9.13,4.28
2007,2008,,2008/03/26,10.23,,,,0.39,0,0.39,0,0,0,0.39,9.39,4.2
2006,2007,,2007/04/03,11.54,,,,0.38,0,0.38,0,0,0,0.38,10.8,3.51
