盈餘所屬年度,股利發放年度,股東會日期,除息交易日,除息參考價(元),除權交易日,除權參考價(元),現金股利發放日,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,發放年度平均股價,年均殖利率(%)
2017,2018,2018/06/15,2018/07/05,21.85,,,2018/07/31(即將發放),0.86,0,0.86,0,0,0,0.86,25.1,3.42
2016,2017,2017/06/16,2017/07/05,27.85,,,2017/07/31,0.88,0,0.88,0,0,0,0.88,28.7,3.07
2015,2016,2016/06/16,2016/07/05,27,,,2016/07/29,0.8,0,0.8,0,0,0,0.8,26.7,2.99
2014,2015,2015/06/11,2015/07/07,23.25,,,2015/07/31,1.1,0,1.1,0,0,0,1.1,27.4,4.01
2013,2014,2014/06/23,2014/07/08,33,,,,1.1,0,1.1,0,0,0,1.1,33.8,3.25
2012,2013,2013/06/21,2013/07/18,30.85,,,,1,0,1,0,0,0,1,29,3.45
2011,2012,2012/06/15,2012/07/09,18.85,,,,0.9,0,0.9,0,0,0,0.9,20.1,4.48
2010,2011,2011/06/10,2011/06/30,20.2,,,,0.8,0,0.8,0,0,0,0.8,18.9,4.24
2009,2010,2010/06/18,2010/07/07,13.2,,,,0.55,0,0.55,0,0,0,0.55,15.4,3.57
2008,2009,2009/06/19,2009/08/26,14,,,,0.5,0,0.5,0,0,0,0.5,13,3.86
2007,2008,2008/06/13,2008/07/11,13.1,,,,1,0,1,0,0,0,1,14.6,6.85
2006,2007,2007/06/13,2007/07/23,18.75,,,,0.7,0,0.7,0,0,0,0.7,17.4,4.02
2005,2006,2006/06/15,2006/07/04,11.45,,,,0.6,0,0.6,0,0,0,0.6,11.6,5.19
2004,2005,2005/05/27,,,,,,0,0,0,0,0,0,0,9.3,0
2003,2004,2004/06/11,2004/07/01,10.4,,,,0.5,0,0.5,0,0,0,0.5,11.4,4.37
2002,2003,2003/06/06,2003/07/03,10.1,,,,0.5,0,0.5,0,0,0,0.5,11.3,4.42
2001,2002,2002/05/31,,,,,,0,0,0,0,0,0,0,12,0
2000,2001,2001/05/15,2001/06/27,12.1,2001/06/27,12.1,,0.1,0,0.1,0.64,0.26,0.9,1,14.3,7.02
1999,2000,,,,,,,0.8,0,0.8,0.72,0.68,1.4,2.2,32.5,6.77
1998,1999,1999/05/28,,,,,,1,0,1,0.53,0.47,1,2,26.9,7.43
1997,1998,1998/05/15,,,1998/06/19,30.41,,0,0,0,2.2,0.2,2.4,2.4,35,6.86
1996,1997,1997/05/24,,,1997/06/23,56.11,,0,0,0,2,0.2,2.2,2.2,54.6,4.03
1995,1996,1996/05/11,1996/06/07,56.5,1996/06/07,56.5,,1.2,0,1.2,1,0.2,1.2,2.4,51.7,4.64
1994,1995,1995/05/06,1995/05/23,67,1995/07/10,58,,1.2,0,1.2,1.2,0.4,1.6,2.8,58.5,4.78
1993,1994,1994/04/28,1994/08/09,88.5,1994/10/13,75,,1.3,0,1.3,0.4,0.7,1.1,2.4,74.9,3.21
1992,1993,1993/05/07,1993/05/22,48.9,1993/08/11,40.5,,1.1,0,1.1,0.6,0.6,1.2,2.3,55.2,4.17
1991,1992,1992/05/08,1992/05/29,66.8,1992/09/29,46.8,,1.2,0,1.2,0.4,0.6,1,2.2,62,3.55
1990,1991,1991/05/07,1991/05/29,71.8,1991/10/01,72.32,,0.8,0,0.8,0.5,0.7,1.2,2,66,3.03
1989,1990,1990/03/28,1990/02/26,117,1990/11/14,49.09,,1.2,0,1.2,0.4,0.6,1,2.2,,
1988,1989,,,,,,,1,0,1,1.4,0,1.4,2.4,,
1987,1988,,,,,,,1.2,0,1.2,1.8,0,1.8,3,,
1986,1987,,,,,,,1,0,1,1.6,0,1.6,2.6,,
1985,1986,,,,,,,2,0,2,0,0.2,0.2,2.2,,
1984,1985,,,,,,,1.2,0,1.2,1,0.2,1.2,2.4,,
1983,1984,,,,,,,0.85,0,0.85,0.85,0.3,1.15,2,,
