2017,160,41,8.98,8.7,-0.28,-3.1,45,334,908,11,19.2,1.27,18.9,960,242,743,-,1.05,744,215,13.73
2016,162,43,9.37,8.98,-0.39,-4.2,44.4,274,789,10.6,21.1,1.67,17.9,847,194,629,-,0.58,636,211,13.34
2015,157,55,10,9.37,-0.63,-6.3,60,247,938,9.91,21.6,1.88,18.3,996,192,768,-,0.68,777,219,14.26
2014,154,52,10.35,10,-0.35,-3.4,44.5,285,747,10.4,22.3,2.28,19.5,807,166,587,-,0.49,593,214,13.92
2013,156,43,9.22,10.35,+1.13,+12.3,46.5,283,704,12.1,21.7,2.3,17.8,762,195,556,0,0.23,561,202,13.26
2012,153,33,9.35,9.22,-0.13,-1.4,44.8,173,609,9.3,21,2.47,19.4,663,99,468,0,0.13,468,195,13.06
2011,153,33,13.3,9.35,-3.95,-29.7,40,176,515,10.5,21.5,2.77,21.4,572,104,380,3.27,0.22,383,189,12.7
2010,147,38,14.1,13.3,-0.8,-5.7,30.7,271,794,10.9,21.8,3.18,20.1,852,117,655,0,4.4,659,193,13.17
2009,141,36,8.13,14.1,+5.97,+73.4,20.5,225,528,14.5,21.7,3.14,20.2,588,109,405,0,4.76,410,178,12.72
2008,140,24,12.4,8.13,-4.27,-34.4,28.3,108,456,14.1,19.4,0.44,18.9,509,70.5,332,17.2,3.69,353,156,11.56
2007,140,38,13.35,12.4,-0.95,-7.1,22.8,249,568,10.1,20.1,0.66,20.3,621,86.1,410,23,4.66,437,184,13.17
2006,138,38,12.75,13.35,+0.6,+4.7,23,208,728,10.8,21.2,0.68,24.6,787,83.7,597,2,7.46,607,180,13.43
2005,133,40,13.55,12.75,-0.8,-5.9,20.5,481,645,9.2,22.8,1.22,34,715,98.4,517,17,4.11,538,176,13.51
2004,128,43,11.4,13.55,+2.15,+18.9,15.5,332,622,16.6,21.3,0.4,30.2,693,104,493,19,3.74,516,177,13.86
2003,124,-,10.05,11.4,+1.35,+13.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13.52
2002,119,40,13.3,10.05,-3.25,-24.4,8.48,203,365,12.1,21.9,0.36,18.4,418,49.6,248,8,3.71,260,158,13.23
2001,118,-,9.5,13.3,+3.8,+40,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13.47
2000,105,-,19.4,9.5,-9.9,-51,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14.85
1999,73.7,-,24.8,19.4,-5.4,-21.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16.47
1998,60.3,-,52.5,24.8,-27.7,-52.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18.2
1997,32.3,-,35.7,52.5,+16.8,+47.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18.48
1996,32.3,-,13.1,35.7,+22.6,+172.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12.56
1995,26.5,-,12.7,13.1,+0.4,+3.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12.25
1994,22.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13.46
1993,21.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11.68
