2017,1019,53,18.35,18.9,+0.55,+3,551,8049,12111,186,282,62.2,43.9,20744,1605,17123,438,76.6,19254,1489,14.61
2016,877,53,19.15,18.35,-0.8,-4.2,368,6920,11181,367,264,62.4,43.8,18843,1352,15571,525,88.5,17551,1292,14.66
2015,795,53,19.65,19.15,-0.5,-2.5,367,6645,10220,494,268,59.5,61.4,17753,1399,14564,520,34.8,16536,1217,15.21
2014,705,53,19.8,19.65,-0.15,-0.8,295,5421,9346,591,211,56.8,36.3,15664,1228,12807,500,41.1,14588,1077,15.15
2013,552,50,16.25,19.8,+3.55,+21.8,213,4984,8282,267,194,55.1,24.4,13810,877,11508,541,39.8,12977,834,14.96
2012,501,47,13.05,16.25,+3.2,+24.5,234,1893,7354,2940,167,41.9,45.1,12441,893,10238,533,24.1,11689,752,15
2011,458,38,20.05,13.05,-7,-34.9,201,1640,6560,3120,159,40.6,35.3,11555,850,9550,465,33.2,10899,656,14.34
2010,380,38,13.35,20.05,+6.7,+50.2,112,1567,5992,3072,145,40.2,29.6,10845,882,8973,418,17.9,10293,552,14.52
2009,365,41,8.73,13.35,+4.62,+52.9,98.2,3077,5505,629,142,40.5,30.9,9423,794,7693,390,26.8,8904,519,14.3
2008,354,38,16.85,8.73,-8.12,-48.2,116,2079,5329,663,133,40.4,50,8295,860,6590,328,29,7807,487,13.92
2007,330,41,22.6,16.85,-5.75,-25.4,89.6,1733,5146,616,129,39.4,57.7,7722,999,5894,314,36,7243,478,14.48
2006,330,38,20.85,22.6,+1.75,+8.4,158,1681,4392,640,118,36.6,70.6,6938,1099,5063,282,37.8,6482,456,13.79
2005,303,50,26.4,20.85,-5.55,-21,157,2176,3680,291,106,36.6,64.6,6355,1019,4749,138,12.5,5918,437,14.45
2004,293,57,20.5,26.4,+5.9,+28.8,127,1872,2754,147,94.6,46.6,64.5,4979,896,3593,54,12.5,4555,424,14.45
2003,251,59,15.2,20.5,+5.3,+34.9,134,1129,1991,106,98.6,-,20.9,3345,461,2566,38.9,11.2,3077,268,10.69
2002,212,25,13.45,15.2,+1.75,+13,149,1025,1708,31.5,51.8,-,27.8,2844,278,2322,14.8,8.97,2623,221,10.43
2001,-,-,10.75,13.45,+2.7,+25.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2000,-,-,12.35,10.75,-1.6,-13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1999,-,-,13.9,12.35,-1.55,-11.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1998,-,-,27.2,13.9,-13.3,-48.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1997,-,-,29.6,27.2,-2.4,-8.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1996,-,-,14.25,29.6,+15.35,+107.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1995,-,-,14.1,14.25,+0.15,+1.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
