2017,1105,44,16.25,16.75,+0.5,+3.1,590,5160,15823,4323,325,5.43,30.2,25734,2053,21110,542,142,24092,1642,14.87
2016,1052,44,15.25,16.25,+1,+6.6,497,4475,15785,4765,324,5.37,39.8,25459,2343,20629,523,133,23870,1590,15.11
2015,991,47,17.75,15.25,-2.5,-14.1,392,4911,14795,3386,325,4.96,26.7,23503,1762,19179,498,294,21972,1531,15.45
2014,933,47,17.4,17.75,+0.35,+2,651,3878,14781,3502,333,3.72,52.4,22600,1995,18285,489,165,21160,1439,15.43
2013,906,44,16.8,17.4,+0.6,+3.6,492,3539,14067,3629,322,4.04,37.4,21647,2146,17377,425,126,20291,1357,14.98
2012,863,44,16.35,16.8,+0.45,+2.8,398,2611,13741,3808,321,4.33,135,20620,1874,16640,451,231,19292,1328,15.39
2011,821,41,24.3,16.35,-7.95,-32.7,427,2413,13084,3807,307,5.4,133,19750,1829,15955,422,199,18495,1255,15.28
2010,662,38,20.15,24.3,+4.15,+20.6,229,2070,12459,3850,285,6.23,134,18804,1516,15680,418,97,17801,1003,15.16
2009,627,38,18.4,20.15,+1.75,+9.5,226,2638,11048,4083,257,5.33,134,18165,1602,15102,343,96.6,17228,937,14.94
2008,609,47,21.3,18.4,-2.9,-13.6,322,2399,11227,2998,266,5.92,206,17102,1846,13825,363,91.2,16204,897,14.74
2007,597,44,24.15,21.3,-2.85,-11.8,230,2673,10538,3032,260,6.68,174,16683,2178,12972,458,94,15763,920,15.41
2006,597,41,21.65,24.15,+2.5,+11.5,404,2949,10203,3095,256,5.73,237,16746,2451,12744,493,91.9,15839,907,15.19
2005,597,52,27.1,21.65,-5.45,-20.1,444,6070,9426,683,254,0.61,277,16710,2156,13456,60,143,15815,896,15
2004,558,61,24.8,27.1,+2.3,+9.3,2705,5868,8954,539,255,1.48,289,15907,2140,12718,60,183,15100,806,14.45
2003,473,55,25.3,24.8,-0.5,-2,2499,5423,8625,118,246,2.47,239,14655,1917,11787,158,82.8,13945,710,15.01
2002,448,30,20.5,25.3,+4.8,+23.4,1892,4716,8102,129,238,3.22,261,13450,1706,10948,159,26.6,12868,582,12.98
2001,415,41,21.4,20.5,-0.9,-4.2,778,4021,8222,101,235,2.94,157,12739,1481,10224,116,21.8,11882,857,20.75
2000,-,-,39.4,21.4,-18,-45.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1999,-,-,46.3,39.4,-6.9,-14.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1998,-,-,92.5,46.3,-46.2,-49.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1997,-,-,128.5,92.5,-36,-28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1996,-,-,86,128.5,+42.5,+49.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1995,-,-,213,86,-127,-59.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1994,-,-,216,213,-3,-1.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1993,-,-,80,216,+136,+170,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1992,-,-,181,80,-101,-55.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1991,-,-,291,181,-110,-37.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
