2017,329,47,9.18,9.91,+0.73,+8,150,1013,4309,1184,93.9,1.6,20.1,6630,276,5661,175,17.8,6196,434,13.18
2016,324,52,9.36,9.18,-0.18,-1.9,141,1361,4252,531,94.4,1.67,20.8,6271,259,5398,130,14.2,5857,414,12.78
2015,318,53,10.25,9.36,-0.89,-8.7,102,1417,3911,306,92.7,1.84,15.7,5756,98.8,5049,159,6.97,5357,399,12.55
2014,285,53,10.95,10.25,-0.7,-6.4,95.5,1145,3844,235,51,1.44,14.8,5300,187,4560,144,8.52,4941,359,12.59
2013,253,50,10.05,10.95,+0.9,+9,55.9,1044,3629,238,34.2,0.97,10.1,4962,135,4297,160,5.12,4652,310,12.25
2012,232,50,8.72,10.05,+1.33,+15.3,103,871,3240,283,33.5,-,18.3,4447,145,3855,135,6.14,4166,281,12.11
2011,223,47,12.1,8.72,-3.38,-27.9,83.5,866,2778,146,33.4,0,18.9,3842,112,3337,105,4.65,3588,255,11.4
2010,173,38,8.36,12.1,+3.74,+44.7,46.7,785,2445,118,32.3,-,23.4,3403,78,3026,83,5.31,3208,194,11.21
2009,137,34,6.74,8.36,+1.62,+24,42.4,715,2177,137,35.6,-,29.3,3094,101,2764,66,6.12,2940,154,11.2
2008,137,38,13.05,6.74,-6.31,-48.4,59.4,614,2017,150,36.7,-,33.9,2851,78.5,2588,24,6.17,2696,155,11.3
2007,130,47,8.5,13.05,+4.55,+53.5,42,509,1925,116,37.7,-,39,2626,58.9,2377,24,7.14,2467,159,12.16
2006,154,33,7.35,8.5,+1.15,+15.6,81.9,574,1863,72.1,39,-,45.6,2594,106,2397,0,7.01,2511,83.3,5.41
2005,154,34,12.35,7.35,-5,-40.5,74.2,666,1806,2.74,40.3,-,100,2615,54,2391,2.46,37.4,2485,130,8.47
2004,154,-,6.5,12.35,+5.85,+90,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9.02
2003,154,-,4.47,6.5,+2.03,+45.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8.6
2002,154,-,3.95,4.47,+0.52,+13.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8.38
2001,154,-,3.74,3.95,+0.21,+5.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11.02
2000,154,-,6.05,3.74,-2.31,-38.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11.06
1999,154,-,14.6,6.45,-8.15,-55.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11.29
1998,154,-,42.8,14.6,-28.2,-65.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10.79
1997,126,-,55,42.8,-12.2,-22.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16.07
1996,100,-,67,55,-12,-17.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17.43
1995,71.9,-,109.5,67,-42.5,-38.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18.2
1994,53.8,-,125.5,109.5,-16,-12.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17.36
1993,41.1,-,81.5,125.5,+44,+54,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18.01
1992,30.7,-,110,81.5,-28.5,-25.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18.94
1991,22.2,-,235,110,-125,-53.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20.64
1990,12.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24.18
