2017,1256,31,48.2,53.5,+5.3,+11,2454,26910,20385,38021,1651,558,505,88415,4119,20630,988,6522,82330,6085,44.72
2016,1256,28,46.3,48.2,+1.9,+4.1,1965,23126,20455,34644,1641,586,664,81351,3520,19999,519,5785,76053,5298,39.06
2015,1256,34,46.95,46.3,-0.65,-1.4,1918,22768,17665,32788,975,569,711,75690,3145,18545,718,5703,71079,4611,36.22
2014,1256,41,48.25,46.95,-1.3,-2.7,4350,24135,18128,25564,929,92.8,376,69450,3066,17023,1076,5599,65067,4383,34.44
2013,1196,41,31.5,48.25,+16.75,+53.2,3317,22742,16674,19739,1043,92.2,270,60769,1943,15850,924,4281,57916,2853,23.49
2012,1087,41,32.7,31.5,-1.2,-3.7,7024,10880,15200,26591,488,97.3,1096,54353,1544,14586,898,3648,51867,2486,22.96
2011,1036,41,51.7,32.7,-19,-36.8,7267,10078,14921,23616,386,96.9,956,50054,1569,14144,760,3162,47877,2177,21.03
2010,1015,41,59.7,51.7,-8,-13.4,6435,10901,13835,21156,379,83.9,534,46889,1744,13372,587,2808,44665,2225,21.52
2009,967,44,36.5,59.7,+23.2,+63.6,6444,10097,13284,18652,397,82.3,443,42955,1203,12884,567,2844,40801,2154,21.94
2008,974,38,67.6,36.5,-31.1,-46,4010,6720,13629,16088,405,77.9,544,37463,1916,10904,389,2014,36008,1455,14.72
2007,928,44,74,67.6,-6.4,-8.6,3816,6762,13068,15971,416,74.3,553,36843,1791,10278,186,2634,34544,2299,24.6
2006,921,41,59.5,74,+14.5,+24.4,5192,8218,12065,13294,388,3.94,505,34475,2351,9626,224,1810,32285,2190,23.65
2005,852,42,65,59.5,-5.5,-8.5,4214,10497,11180,7134,433,11.7,1394,30649,1446,9433,134,17713,28738,1912,22.02
2004,832,43,51,65,+14,+27.5,2277,9226,10329,5788,398,0.84,759,26501,1076,7576,253,15828,24747,1753,21.1
2003,831,39,36.9,51,+14.1,+38.2,1291,8483,9867,4237,416,0.07,414,23417,1338,6702,259,13682,21999,1418,17.07
2002,845,34,57,36.9,-20.1,-35.3,1498,7089,9789,3139,407,0.06,441,20865,891,6461,251,12131,19756,1109,13.11
2001,584,48,58,57,-1,-1.7,1735,4348,4813,1903,143,-,103,11311,68.4,-,0.04,10494,10562,748,12.81
2000,-,-,75.5,58,-17.5,-23.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1999,-,-,104,75.5,-28.5,-27.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1998,-,-,145,104,-41,-28.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1997,-,-,175,145,-30,-17.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1996,-,-,125.5,175,+49.5,+39.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1995,-,-,202,125.5,-76.5,-37.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1994,-,-,242,202,-40,-16.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1993,-,-,109.5,242,+132.5,+121,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1992,-,-,222,109.5,-112.5,-50.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1991,-,-,335,222,-113,-33.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
