13Q1,10461,59,8.27,5.56,-2.71,-32.8,-,-,-,27166,-,0,-,0,39036,-,18727,0,0,18755,20281,-
2012,10.3,19,8.6,8.27,-0.33,-3.8,-,-,-,29.1,-,6.82,-,0.81,40.5,-,20.6,0,0.03,20.7,19.8,-
2011,10.1,50,11.7,8.6,-3.1,-26.5,-,-,-,31.2,-,5.38,-,0.72,42.2,-,14.3,0,0.16,14.5,27.7,-
2010,9.88,59,17,11.7,-5.3,-31.2,-,-,-,25.2,-,3.79,-,0.16,31,-,7.01,0,0,7.01,24,-
