2017,8.32,62,84.3,90,+5.7,+6.8,4.2,11.5,8.37,24.7,0.59,13.2,0.11,0.85,39.9,4.67,6.82,-,1,10.6,29.3,35.18
2016,8.32,60,70.7,84.3,+13.6,+19.2,3.48,11.3,7.81,23.3,0.77,11.7,0.12,1.1,37.3,3.86,6.09,0,0.93,9.67,27.7,33.24
2015,8.32,57,100,70.7,-29.3,-29.3,3.58,10.9,8.49,23.5,0.85,12.3,0.16,0.98,38.3,3.6,5.53,0.78,1.68,11,27.2,32.73
2014,8.32,60,94.1,100,+5.9,+6.3,3.52,11.3,7.88,23.6,0.53,12.5,0.19,0.91,38.3,4.34,5.74,1.43,1.85,12,26.3,31.68
2013,8.32,70,48.75,94.1,+45.35,+93,4.94,10,6.52,22.1,0.36,10.6,0.26,0.93,34.7,3.9,5.1,0.44,1.67,9.8,25,30.03
2012,8.32,68,48.5,48.75,+0.25,+0.5,5.37,8.44,5.44,20.8,0.21,8,1.05,0.04,30.1,3.45,4.18,0.62,2.82,7.7,22.4,26.93
2011,8.32,57,47.7,48.5,+0.8,+1.7,3.61,8.87,6.17,20.9,0.39,6.82,1.05,0.04,29.2,3.58,4.59,0,2.75,7.4,21.8,26.24
2010,8.32,72,33.1,47.7,+14.6,+44.1,5.5,7.06,4.8,18.5,0.3,6.81,0.5,1.05,27.2,3.72,4.29,0.46,2.5,7.32,19.8,23.87
2009,8.32,66,24.95,33.1,+8.15,+32.7,4.38,5.15,3.79,14.1,0.32,7.64,0.15,0.04,22.2,2.12,2.39,0,1.72,4.18,18,21.7
2008,8.3,66,40.8,24.95,-15.85,-38.8,2.75,5.19,3.97,13.4,0.34,8.27,0.16,0.09,22.2,1.83,2.15,0,1.79,4.02,18.2,21.95
2007,8.25,62,40.9,40.8,-0.1,-0.2,2.72,5.66,3.69,14.7,0.25,8.55,0.15,0.1,23.7,2.98,4.89,0,1.41,6.37,17.3,21
2006,7.63,68,31.4,40.9,+9.5,+30.3,2.49,4.98,3.34,11.7,0.32,8.45,0.15,0.19,20.8,1.91,3.99,0.03,1.06,5.15,15.6,20.48
2005,7.22,60,42.8,31.4,-11.4,-26.6,1.57,4.46,3.02,9.7,0.35,7.98,0.16,0.22,18.4,1.72,3.77,0,0.79,4.64,13.8,19.08
2004,6.32,68,40.4,42.8,+2.4,+5.9,3.46,4.16,2.66,10.9,0.47,6.16,0.16,0.13,17.8,1.88,2.65,2.09,0.83,5.82,12,18.98
2003,5.68,60,49,40.4,-8.6,-17.6,0.43,3.93,2.13,7.07,0.67,4.69,0.17,0.03,12.6,1.86,2.18,-,0.66,3.08,9.56,16.82
2002,5.13,60,42.8,49,+6.2,+14.5,0.57,3.25,2.14,6.44,0.87,4.44,0.08,0.06,11.9,2.31,2.81,0,0.45,3.5,8.39,16.35
2001,4.64,57,-,-,-,-,0.27,3.1,1.79,5.62,0.51,4.15,0.04,0.13,10.5,1.94,2.33,0,0.31,2.88,7.57,16.3
2000,4.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16.65
