2017,279,47,8.23,9.49,+1.26,+15.3,25.6,2597,-,69.4,18.7,2.2,10.7,2699,1921,-,-,25.6,2339,359,11.68
2016,275,47,7.69,8.23,+0.54,+7,19.9,2454,-,71.6,19,3.64,12.1,2562,1993,-,-,18.9,2211,350,11.43
2015,277,50,8.36,7.69,-0.67,-8,27.3,2488,-,74.6,19.2,3.66,14.8,2602,2090,-,-,23.6,2258,344,11.34
2014,269,47,9.99,8.36,-1.63,-16.3,25,2127,-,60,19.4,4.63,11.2,2222,1718,-,-,15.5,1886,336,11.22
2013,263,47,9.98,9.99,+0.01,+0.1,17.2,2094,-,56.3,19.8,5.7,13.6,2190,1681,-,-,15.9,1867,323,10.99
2012,255,41,10.1,9.98,-0.12,-1.2,17.3,1148,0,835,20.1,5.29,20.1,2028,1674,0,0,22.6,1709,319,11.1
2011,245,41,12.9,10.1,-2.8,-21.7,21,1408,0,682,20.6,5.29,22.4,2138,1786,0,0,24.5,1823,316,11.26
2010,233,44,10.4,12.9,+2.5,+24,13.2,1453,0,617,20.9,1.62,24.6,2117,1779,0,0,21.3,1817,301,11.51
2009,219,44,5.1,10.4,+5.3,+103.9,11.7,1189,0,613,24.3,1.62,23.7,1852,1532,0,0,21.2,1571,281,11.56
2008,219,26,10.5,5.1,-5.4,-51.4,37.5,970,0,783,23.2,-,29.5,1806,1521,0,0,11.9,1556,250,10.21
2007,216,41,10.75,10.5,-0.25,-2.3,9.41,1446,0,975,21.3,2.93,13.4,2459,2151,0,0,14,2185,274,10.92
2006,212,41,11.15,10.75,-0.4,-3.6,11,1226,0,1156,22.2,2.62,35.1,2442,2113,0,0,13.9,2156,286,11.65
2005,212,61,12.75,11.15,-1.6,-12.5,58,1990,-,483,21.7,-,40.5,2536,2220,-,-,31.9,2252,284,11.62
2004,212,61,9.65,12.75,+3.1,+32.1,19.3,1644,-,479,24.1,-,39.8,2187,1854,-,-,83.7,1938,249,11.75
2003,212,59,7.25,9.65,+2.4,+33.1,23.5,212,-,128,25.2,-,51.3,417,96.9,-,-,81.7,179,238,11.22
2002,212,20,8.25,7.25,-1,-12.1,20.6,162,-,29.2,27.1,-,176,395,101,-,-,85,186,209,9.86
2001,-,-,5.65,8.25,+2.6,+46,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2000,-,-,10.35,5.65,-4.7,-45.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1999,-,-,15.8,10.35,-5.45,-34.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1998,-,-,18.2,15.8,-2.4,-13.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1997,-,-,24.8,18.2,-6.6,-26.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1996,-,-,22.2,24.8,+2.6,+11.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1995,-,-,41.7,22.2,-19.5,-46.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1994,-,-,62,41.7,-20.3,-32.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1993,-,-,47.2,62,+14.8,+31.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1992,-,-,74,47.2,-26.8,-36.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1991,-,-,90,74,-16,-17.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
