2017,8.58,47,19,17.75,-1.25,-6.6,0.38,1.6,1.29,6.82,0.05,3.52,0.01,0.79,11.2,1.33,1.67,-,0.07,1.74,9.46,11.03
2016,8.58,57,18.55,19,+0.45,+2.4,1.67,1.57,1.33,6.89,0.05,3.7,0,0.11,10.8,1.12,1.18,-,0,1.29,9.48,11.05
2015,8.58,55,18.55,18.55,0,0,1.39,1.53,1.76,6.89,0.05,3.7,0.01,0.08,10.8,0.93,1.02,-,0.15,1.17,9.6,11.19
2014,8.58,53,16.7,18.55,+1.85,+11.1,0.88,1.65,1.91,7.02,0.22,3.79,0.03,0.11,11.2,1.39,1.53,-,0.16,1.69,9.5,11.08
2013,8.58,49,12.5,16.7,+4.2,+33.6,0.95,1.67,1.39,6.12,0.54,3.63,0.04,0.05,10.4,1.07,1.16,-,0.19,1.35,9.07,10.58
2012,8.58,-,13.6,12.5,-1.1,-8.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10.33
2011,8.58,-,11.45,13.6,+2.15,+18.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10.36
2010,8.58,-,9.88,11.45,+1.57,+15.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10.35
2009,8.58,-,9.5,9.88,+0.38,+4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9.68
2008,8.58,-,5.09,9.5,+4.41,+86.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9.06
2007,8.58,-,5.15,5.09,-0.06,-1.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8.37
2006,8.58,-,3.55,5.15,+1.6,+45.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8.67
2005,8.58,-,4.53,3.55,-0.98,-21.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9.15
2004,8.58,-,5.55,4.53,-1.02,-18.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9.13
2003,8.58,-,6.9,5.55,-1.35,-19.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9.37
2002,8.58,-,8,6.9,-1.1,-13.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9.57
2001,8.58,-,8.25,8,-0.25,-3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9.71
2000,8.58,-,20,8.25,-11.75,-58.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10.23
1999,7.8,50,20.3,20,-0.3,-1.5,0.18,2.23,1.1,5.06,0.81,7.23,-,0.27,13.4,1.84,4.3,-,0.09,4.39,8.97,12.08
