2017,20.1,38,9.61,11.85,+2.24,+23.3,5.28,20.3,7.6,33.4,7.54,9.83,0.21,0.39,51.5,12.1,21,-,1.4,24.1,27.4,13.53
2016,20.1,34,8.19,9.61,+1.42,+17.3,3.59,22.6,7.04,33.8,7.33,9.8,0.22,0.56,51.8,9.4,21.3,-,1.52,24.5,27.3,13.46
2015,20.1,38,9.16,8.19,-0.97,-10.6,5.31,16.7,9.07,31.9,6.89,9.94,0.15,0.65,49.7,11.5,18.9,-,1.78,22.4,27.3,13.43
2014,20.1,36,10.3,9.16,-1.14,-11.1,3.07,19.6,6.58,29.8,6.73,10,0.09,0.39,47.2,10.4,16.6,0,1.59,19.9,27.3,13.45
2013,20.1,32,8.49,10.3,+1.81,+21.3,4.06,16.1,6.66,27.2,7.14,9.93,0.09,0.69,45.2,7.8,15.4,0.04,1.76,18.9,26.3,13.34
2012,20.1,36,7.24,8.49,+1.25,+17.3,3.96,13.7,9.01,28.2,3.38,9.97,0.11,1.55,43.2,11.4,15.6,0.12,1.27,18.6,24.6,12.45
2011,20.1,36,11.65,7.24,-4.41,-37.9,2.97,15.3,7.08,28.2,3.76,9.96,0.15,1.94,44,8.56,16.6,0.19,1.23,19.7,24.4,12.3
2010,20.1,36,15.35,11.65,-3.7,-24.1,4.02,15.7,7.72,28.7,2.72,11.5,0.16,1.62,44.7,10.2,16.7,0.26,1.1,19.7,25,12.29
2009,20.1,40,4.88,15.35,+10.47,+214.5,3.52,11.3,8.19,24.3,2.54,11.8,0,1.94,40.5,8.25,12.8,0.39,0.87,15.7,24.9,12.2
2008,20.1,28,9.33,4.88,-4.45,-47.7,4.35,13.4,9.6,29.2,2.5,12.1,0.11,1.81,45.7,11.4,18.5,0.41,0.94,21.5,24.2,12
2007,20.1,38,8.38,9.33,+0.95,+11.3,3.58,14.3,8.76,28.9,2.56,12.1,0.16,2.1,45.8,12.6,16.4,0.75,0.96,19.8,26,13.03
2006,20.1,38,5.8,8.38,+2.58,+44.5,5.19,15.7,7.2,29.8,2.49,11.5,0.34,1.76,45.9,8.05,16.7,1.04,1.1,20.4,25.5,13.03
2005,20.1,38,7.35,5.8,-1.55,-21.1,3.67,14.8,8.98,28.5,3.61,11.8,0.38,1.56,45.8,8.28,16.3,1.46,1.12,20.5,25.3,12.94
2004,20.1,-,7,7.35,+0.35,+5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11.05
2003,20.1,-,7.95,7,-0.95,-11.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10.82
2002,20.2,-,7.85,7.95,+0.1,+1.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10.93
2001,19.8,-,10.45,7.85,-2.6,-24.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12.41
2000,19.7,-,18.5,10.45,-8.05,-43.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12.69
1999,16.7,-,26.9,18.5,-8.4,-31.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14.65
1998,14.3,-,27.5,26.9,-0.6,-2.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16.06
1997,10.6,-,32.79,27.5,-5.29,-16.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15.74
1996,7.42,-,30.2,32.79,+2.59,+8.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12.83
1995,6.87,-,41.7,30.2,-11.5,-27.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13.12
1994,6.14,-,43.8,41.7,-2.1,-4.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13.51
1993,5.11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14.67
1992,4.03,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15.73
