12Q2,3.55,31,4.25,3.69,-0.56,-13.2,-,-,-,51.6,-,55.2,-,0,115,-,27.7,4.96,0,32.7,82.4,-
2011,3.58,16,12,4.25,-7.75,-64.6,-,-,-,47.1,-,58.8,-,0,114,-,26.3,4.86,0,31.2,83,-
2010,3.56,47,16.05,12,-4.05,-25.2,-,-,-,94.8,-,68.5,-,0,180,-,44.2,2.48,0,46.7,133,-
2009,3.77,53,12.9,16.05,+3.15,+24.4,-,-,-,100,-,55.1,-,0,163,-,28.8,1.2,0,30,133,-
2008,3.22,53,-,-,-,-,-,-,-,72.5,-,54.2,-,0.25,132,-,12.5,13.4,0,25.9,106,-
