2017,20.5,32,8.94,10.85,+1.91,+21.4,13.5,17.5,5.86,42.3,2.9,22.5,0.02,1.7,70.3,12.7,22.6,10.8,1.27,37,33.3,16.8
2016,20.5,32,10,8.94,-1.06,-10.6,12.5,20.9,4.81,42,0.41,27.7,0.05,1.21,72,13,16,17.5,1.18,37.1,34.8,17.82
2015,20.5,32,19.3,10,-9.3,-48.2,13.1,24.7,4.17,48.7,0.5,32.4,0.05,1.25,83.6,18,31.2,10.2,1.06,45.5,38.1,18.65
2014,20.5,40,19.4,19.3,-0.1,-0.5,13.4,28.9,5.87,56.8,0.73,34.7,0.06,1.85,94.6,22,29.8,17.2,0.95,51.6,43,20.85
2013,20.3,40,17.8,19.4,+1.6,+9,12.8,27.6,5.2,52.2,0.42,34.2,0.05,1.61,88.9,17.8,26.6,18,1,48.8,40.1,19.59
2012,20.6,38,14,17.8,+3.8,+27.1,9.38,30.2,6.66,50.5,0.76,32.3,1.44,0.86,85.8,17.3,43.7,0,3.39,47.5,38.3,18.7
2011,20.6,32,36.95,14,-22.95,-62.1,12.4,18.9,6.8,42,1.27,33.9,1.14,0.85,79.1,11.4,17.2,19.8,3.45,40.8,38.3,18.66
2010,20.7,51,55.2,36.95,-18.25,-33.1,17,20.5,8.12,49.4,2.37,31.4,0.24,0.8,84.2,11.4,17.9,19.4,3.21,41,43.3,21.34
2009,20.7,60,14.45,55.2,+40.75,+282,6.08,20.1,5.09,33.8,1.48,23.6,0.26,0.37,59.5,10.1,12,0,3.11,15.6,44,21.48
2008,17.1,55,36.9,14.45,-22.45,-60.8,11.8,16.8,3.82,33.2,0.23,22.4,0.28,0.38,56.5,6.79,13.1,7.98,2.83,24.3,32.1,19.09
2007,16.2,53,34.5,36.9,+2.4,+7,5,20.9,4.27,31.1,0.19,19.3,0.27,0.33,51.2,10.1,17.7,0.73,2.16,21,30.3,18.72
2006,15.3,57,26.3,34.5,+8.2,+31.2,6.78,15.4,3.44,26.7,0.22,15.1,0.53,0.62,43.2,6.71,13.6,1.14,1.23,16.4,26.8,17.52
2005,12.2,47,12,26.3,+14.3,+119.2,3.41,12.6,2.53,19.4,0.22,14.6,0.52,0.8,35.5,6.28,15.4,2.11,0.39,18.4,17.1,14.09
2004,9.83,36,16.7,12,-4.7,-28.1,1.39,7.26,3.48,13.4,0.23,13.1,0.43,0.51,27.7,3.9,10.6,4.1,0.09,15.3,12.4,12.62
2003,8.82,36,16.4,16.7,+0.3,+1.8,1.3,4.78,3.17,9.83,0.35,12.1,0.51,0.41,23.2,2.96,8.82,2.25,0.27,11.8,11.4,12.92
2002,6.61,43,22.8,16.4,-6.4,-28.1,2.1,3.52,1.97,8.66,0.53,11.1,0.39,0.8,21.4,2.69,8.56,3.94,0.21,13.2,8.24,12.47
2001,6.28,-,21.9,22.8,+0.9,+4.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12.64
2000,5.02,36,25.6,21.9,-3.7,-14.5,0.12,1.99,2.66,4.77,1.5,8.18,-,0.45,14.9,1.69,6.17,1.89,0.38,8.93,5.98,11.91
1999,4.3,40,-,-,-,-,0.3,1.66,2.07,4.03,0.89,7.69,-,0.34,12.9,1.31,5.05,2.08,0.19,7.79,5.16,11.99
1998,3.73,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12.63
