2017,139,59,11.8,14.35,+2.55,+21.6,64.6,336,816,8.64,24.3,1.12,12,863,251,608,-,0.6,609,254,18.26
2016,134,43,13.35,11.8,-1.55,-11.6,69.1,275,813,8.86,24.7,1.3,12.3,861,224,629,-,0.13,629,231,17.28
2015,132,45,16.65,13.35,-3.3,-19.8,51.2,254,652,8.78,25.2,1.45,13,701,199,473,-,0.12,473,228,17.42
2014,132,55,17.7,16.65,-1.05,-5.9,63.6,263,600,8.65,25.6,1.6,13.4,649,177,418,-,0.11,419,231,17.41
2013,132,50,16.9,17.7,+0.8,+4.7,52.9,252,540,8.09,25.8,0.26,12.7,588,183,364,-,0.08,364,224,16.9
2012,132,48,14.3,16.9,+2.6,+18.2,49.3,166,427,5.51,26.6,0.01,15.6,477,116,259,0,0.05,259,218,16.45
2011,128,43,19.05,14.3,-4.75,-24.9,40,171,412,5.45,26.8,0.01,17.3,464,113,256,0,0.05,256,208,16.15
2010,123,50,22,19.05,-2.95,-13.4,31.9,246,487,5.3,26.1,0.01,19.2,540,124,331,0,4.33,335,205,17.02
2009,119,57,11.2,22,+10.8,+96.4,41.6,235,425,6.54,24.7,0,20.7,477,108,239,28.7,4.54,282,195,16.86
2008,122,36,18.2,11.2,-7,-38.5,51.5,107,303,8.21,24.5,0,20.4,356,90.8,143,36.8,3.43,183,173,14.86
2007,118,57,17.55,18.2,+0.65,+3.7,37.1,234,518,32.5,24.5,-,20.4,596,96.7,354,43.5,3.09,400,196,16.63
2006,114,57,15,17.55,+2.55,+17,19.3,194,435,30.8,24.7,-,24.1,516,89.2,310,20,3.84,334,183,16.09
2005,114,45,17.9,15,-2.9,-16.2,18.2,395,484,29.8,26.7,0.26,21.2,563,94.6,370,20,3.47,394,169,14.87
2004,114,50,14.05,17.9,+3.85,+27.4,12.1,257,336,38.3,18.6,0.3,16.8,410,94.2,213,25,3,241,169,14.83
2003,114,50,11.6,14.05,+2.45,+21.1,8.82,323,403,18,19.1,0.12,54.6,495,68.6,293,30,3.12,326,169,14.76
2002,114,43,11.15,11.6,+0.45,+4,7.13,218,386,12.6,19.5,0.14,17.8,436,59.2,278,0,3,282,154,13.49
2001,113,-,6.65,11.15,+4.5,+67.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13.82
2000,123,-,16,6.65,-9.35,-58.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12.47
1999,109,-,23.5,16,-7.5,-31.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13.95
1998,101,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13.2
1997,80.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15.87
