13Q1,8.04,31,4.25,4.36,+0.11,+2.6,-,-,-,10.5,-,0.42,-,0.07,11.2,-,0.62,0,0,0.63,10.6,-
2012,8.1,44,9.64,4.25,-5.39,-55.9,-,-,-,11.8,-,0.45,-,0.03,12.5,-,1.6,0.01,0,1.61,10.9,-
2011,7.96,56,11.9,9.64,-2.26,-19,-,-,-,13.1,-,0.48,-,0,14.4,-,2.76,0.05,0,2.81,11.6,-
2010,5.77,66,-,-,-,-,-,-,-,11.6,-,0.56,-,0,12.8,-,3.06,0.05,0,3.11,9.72,-
