99/04/14,290155,16944918,58.5,58.8,58.2,58.5,+0.40,208
99/04/15,639935,38196208,58.6,60.0,58.6,59.7,+1.20,457
99/04/16,525349,31408844,60.0,60.4,59.2,59.5,-0.20,305
99/04/19,665038,38370945,58.5,58.9,56.2,56.3,-3.20,440
99/04/20,593221,33580250,56.4,57.1,56.3,56.5,+0.20,385
99/04/21,820220,47693560,56.9,58.9,56.9,58.2,+1.70,570
99/04/22,627518,36503842,58.0,58.9,57.8,58.2, 0.00,382
99/04/23,891353,51675330,58.4,58.9,57.5,58.2, 0.00,570
99/04/26,535868,31208962,58.7,58.9,57.8,58.1,-0.10,340
99/04/27,551159,32174868,58.1,59.1,58.0,58.0,-0.10,389
99/04/28,426273,24235661,56.3,57.7,56.0,57.0,-1.00,313
99/04/29,405869,23217614,57.1,57.7,57.0,57.4,+0.40,272
99/04/30,539693,30610032,57.6,57.8,56.0,56.2,-1.20,371
99/05/03,321694,17808970,55.4,56.0,55.0,55.1,-1.10,215
99/05/04,529126,28916585,55.7,55.8,53.5,54.1,-1.00,309
99/05/05,443089,23331888,53.0,53.8,51.5,51.6,-2.50,319
99/05/06,509862,26319524,51.6,52.5,50.9,51.6, 0.00,327
99/05/07,515363,25686630,48.5,51.2,48.5,51.2,-0.40,330
99/05/10,291253,14965356,50.9,52.0,50.8,52.0,+0.80,215
99/05/11,332518,17221218,52.2,52.9,51.0,51.0,-1.00,250
99/05/12,327633,16690923,51.5,51.6,50.1,50.8,-0.20,224
99/05/13,413629,21531913,51.6,52.7,51.4,52.0,+1.20,282
99/05/14,202194,10428343,52.0,52.0,51.3,51.8,-0.20,164
99/05/17,343898,17380587,51.2,51.8,50.0,50.6,-1.20,198
99/05/18,325111,16294550,50.5,50.7,49.8,50.0,-0.60,189
99/05/19,354948,17606952,50.0,50.5,48.5,49.9,-0.10,249
99/05/20,398318,19827989,50.4,50.5,49.0,49.5,-0.40,213
99/05/21,414131,19318746,46.5,47.3,46.2,46.5,-3.00,251
99/05/24,967668,44345210,46.5,46.9,45.0,45.0,-1.50,472
99/05/25,919551,39215392,44.0,44.45,41.85,41.85,-3.15,587
99/05/26,1957886,79267676,41.85,41.85,39.55,41.75,-0.10,827
