006201,元大富櫃50,13.18,+0.12,13.18,13.25,13.18,13.20,"127,000","1,676,350",39,13.18,13.22,"15,946,000",13.18,14.49,11.87
00679B,元大美債20年,38.34,-0.18 ,38.32,38.36,38.30,38.33,"411,500","15,771,039",53,38.34,38.38,"824,192,000",38.34,9999.95,0.01
00687B,國泰20年美債,39.89,-0.23 ,39.92,39.92,39.89,39.92,"4,200,000","167,658,000",20,39.90,39.92,"319,287,000",39.89,9999.95,0.01
00694B,富邦美債1-3,40.47,-0.10 ,40.47,40.47,40.47,40.47,"300,000","12,141,000",4,40.48,40.50,"41,576,000",40.47,9999.95,0.01
00695B,富邦美債7-10,39.40,-0.26 ,39.50,39.50,39.40,39.46,"304,675","12,021,931",27,39.42,39.56,"115,186,000",39.40,9999.95,0.01
00696B,富邦美債20年,40.43,-0.28 ,40.43,40.43,40.43,40.43,"301,000","12,169,430",4,40.36,40.51,"256,181,000",40.43,9999.95,0.01
00697B,元大美債7-10,38.87,-0.05 ,38.89,38.89,38.83,38.85,"302,000","11,732,760",6,38.78,38.88,"5,712,000",38.87,9999.95,0.01
00718B,富邦中國政策債,20.47,-0.06 ,20.53,20.54,20.47,20.48,"221,048","4,526,152",9,20.49,20.50,"926,001,000",20.31,9999.95,0.01
00719B,元大美債1-3,31.63,0.00 ,31.64,31.64,31.63,31.64,"400,000","12,654,000",4,31.62,31.66,"3,514,000",31.63,9999.95,0.01
00720B,元大投資級公司債,39.48,-0.21 ,39.50,39.50,39.47,39.48,"427,000","16,856,480",9,39.47,39.53,"164,609,000",39.48,9999.95,0.01
00721B,元大中國債3-5,45.81,+0.01,45.85,45.85,45.81,45.82,"412,000","18,877,900",11,45.83,45.85,"254,622,000",45.81,9999.95,0.01
00722B,群益15年IG電信債,40.12,-0.09 ,40.11,40.12,40.11,40.12,"200,000","8,023,400",12,20.00,40.21,"113,239,000",40.12,9999.95,0.01
00723B,群益15年IG科技債,38.99,-0.15 ,38.98,38.99,38.98,38.99,"200,000","7,797,400",20,38.88,0.00,"472,583,000",38.99,9999.95,0.01
00724B,群益10年IG金融債,38.11,-0.09 ,38.08,38.11,38.08,38.11,"201,000","7,659,480",21,38.01,38.14,"599,275,000",38.11,9999.95,0.01
00725B,國泰投資級公司債,40.53,+0.03,40.52,40.53,40.52,40.52,"1,501,000","60,820,530",35,40.48,40.52,"112,206,000",40.53,9999.95,0.01
00726B,國泰5Y+新興債,41.15,+0.09,41.09,41.15,41.09,41.10,"11,000","452,050",2,38.80,41.15,"3,989,000",41.15,9999.95,0.01
00727B,國泰1-5Y高收債,43.36,+0.07,43.38,43.38,43.36,43.37,"2,000","86,740",2,40.00,43.38,"26,189,000",43.36,9999.95,0.01
00734B,台新JPM新興債,20.62,-0.03 ,20.60,20.64,20.60,20.63,"1,327,000","27,380,680",24,20.62,20.66,"41,479,000",20.62,9999.95,0.01
00740B,富邦全球投等債,41.20,-0.10 ,41.20,41.20,41.20,41.20,"320,000","13,184,000",10,41.14,41.30,"5,971,000",41.20,9999.95,0.01
00741B,富邦全球高收債,40.97,-0.13 ,41.15,41.15,40.97,41.10,"241,000","9,904,970",9,40.94,41.32,"5,628,000",40.97,9999.95,0.01
00744B,國泰中國政金債5+,40.14,-0.02 ,40.06,40.14,40.06,40.09,"3,000","120,260",2,40.01,40.13,"141,728,000",40.14,9999.95,0.01
00745B,富邦中政債0-1,39.94,-0.04 ,40.08,40.08,39.94,39.95,"101,000","4,034,580",7,39.91,40.04,"8,516,000",39.94,9999.95,0.01
00746B,富邦A級公司債,40.05,-0.08 ,40.10,40.10,40.05,40.08,"100,000","4,007,500",6,39.98,40.15,"5,464,000",40.05,9999.95,0.01
1240,茂生農經,45.20,-0.10 ,45.45,45.45,45.05,45.19,"43,100","1,947,650",39,45.15,45.30,"33,000,000",45.20,49.70,40.70
1258,其祥-KY,27.50,+0.10,27.50,28.05,27.50,27.66,"7,000","193,650",6,27.50,27.80,"36,816,458",27.50,30.25,24.75
1259,安心,76.80,-0.20 ,77.00,77.00,76.80,76.87,"9,251","711,127",11,76.70,77.00,"32,389,500",76.80,84.40,69.20
1264,德麥,211.00,+2.00,209.00,211.50,209.00,211.02,"11,685","2,465,745",20,210.50,212.00,"33,695,970",211.00,232.00,190.00
1268,漢來美食,143.00,0.00 ,143.50,143.50,142.50,143.19,"69,236","9,914,012",38,142.00,143.00,"39,273,730",143.00,157.00,129.00
1333,恩得利,2.37,+0.04,2.37,2.37,2.37,2.29,"1,600","3,659",4,2.37,2.39,"74,515,375",2.37,2.60,2.14
1336,台翰,17.05,-0.15 ,17.10,17.10,17.05,17.08,"46,000","785,750",18,17.15,17.20,"83,193,419",17.05,18.75,15.35
1565,精華,663.00,+3.00,660.00,672.00,659.00,667.23,"145,254","96,917,402",158,663.00,669.00,"50,416,516",663.00,729.00,597.00
1566,捷邦,16.75,+0.20,16.65,16.85,16.60,16.75,"29,300","490,634",33,16.70,16.80,"86,467,028",16.75,18.40,15.10
1569,濱川,18.55,+0.75,17.95,18.70,17.85,18.32,"467,279","8,561,545",328,18.55,18.60,"112,713,264",18.55,20.40,16.70
1570,力肯,13.10,0.00 ,13.10,13.10,13.05,13.09,"7,000","91,600",5,13.05,13.15,"51,500,839",13.10,14.40,11.80
1580,新麥,140.00,-1.00 ,140.50,141.00,140.00,140.39,"77,490","10,878,580",60,140.00,140.50,"50,230,242",140.00,154.00,126.00
1584,精剛,7.59,+0.02,7.60,7.64,7.58,7.59,"130,810","992,884",39,7.59,7.61,"82,470,533",7.59,8.34,6.84
1586,和勤,38.85,0.00 ,39.00,39.10,38.60,38.85,"302,755","11,761,653",211,38.65,38.85,"76,488,857",38.85,42.70,35.00
1591,駿吉-KY,35.85,-0.15 ,36.00,36.55,35.80,36.16,"37,100","1,341,535",36,35.85,36.00,"33,164,807",35.85,39.40,32.30
1593,祺驊,43.60,0.00 ,43.60,44.00,43.60,43.67,"11,004","480,524",9,43.60,44.40,"31,948,455",43.60,47.95,39.25
1595,川寶,50.30,-0.30 ,50.60,50.60,50.20,50.39,"27,000","1,360,400",20,50.20,50.50,"47,148,134",50.30,55.30,45.30
1597,直得,123.00,+0.50,124.00,126.50,123.00,124.70,"2,210,705","275,664,566","1,792",123.00,123.50,"73,806,862",123.00,135.00,111.00
1599,宏佳騰,33.70,除息 ,33.60,34.20,33.60,33.93,"18,251","619,170",16,33.65,34.10,"62,002,519",33.70,37.05,30.35
1742,台蠟,21.00,+0.05,21.00,21.10,20.80,20.97,"79,742","1,672,333",43,20.90,21.00,"55,050,000",21.00,23.10,18.90
1752,南光,33.45,0.00 ,33.50,33.50,33.40,33.43,"49,200","1,644,740",41,33.45,33.50,"100,988,472",33.45,36.75,30.15
1777,生泰,80.00,+0.70,79.70,80.00,79.00,79.62,"17,000","1,353,600",17,79.90,80.00,"30,059,550",80.00,88.00,72.00
1781,合世,11.75,+0.05,11.55,12.00,11.50,11.74,"41,003","481,483",24,11.70,11.80,"47,407,605",11.75,12.90,10.60
1784,訊聯,26.65,+0.25,26.60,26.85,26.50,26.70,"82,000","2,189,700",60,26.65,26.75,"49,688,924",26.65,29.30,24.00
1785,光洋科,20.95,+0.20,20.65,20.95,20.50,20.72,"914,719","18,953,149",419,20.85,20.95,"398,501,243",20.95,23.00,18.90
1787,福盈科,22.95,+0.05,22.90,23.00,22.90,22.92,"28,106","644,109",17,22.95,23.00,"67,888,504",22.95,25.20,20.70
1788,杏昌,99.70,+0.10,99.50,100.00,99.50,99.73,"12,011","1,197,833",12,99.70,99.90,"35,000,000",99.70,109.50,89.80
1795,美時,62.30,+1.00,63.10,64.70,62.30,63.55,"2,306,100","146,547,138","1,718",62.30,62.40,"238,200,744",62.30,68.50,56.10
1796,金穎生技,44.60,-1.20 ,44.60,44.60,44.10,44.39,"16,000","710,300",13,44.60,44.70,"27,440,391",44.60,49.05,40.15
1799,易威,16.90,-0.10 ,17.00,17.00,16.85,16.91,"27,042","457,305",17,16.90,17.00,"98,842,678",16.90,18.55,15.25
1813,寶利徠,20.00,-0.10 ,20.10,20.20,20.00,20.10,"36,000","723,450",24,19.95,20.10,"46,635,510",20.00,22.00,18.00
1815,富喬,16.70,-0.20 ,16.95,17.10,16.70,16.89,"4,344,530","73,393,102","1,380",16.70,16.75,"433,784,403",16.70,18.35,15.05
2035,唐榮,44.75,+0.15,44.60,44.75,44.60,44.68,"8,006","357,720",14,44.60,44.80,"350,000,000",44.75,49.20,40.30
2061,風青,11.10,-0.10 ,11.15,11.15,11.00,11.09,"20,548","227,878",15,11.05,11.10,"62,075,076",11.10,12.20,9.99
2063,世鎧,38.70,-0.20 ,38.90,38.90,38.65,38.77,"27,000","1,046,900",23,38.65,38.85,"45,000,000",38.70,42.55,34.85
2064,晉椿,16.85,-0.05 ,16.90,16.90,16.85,16.87,"3,100","52,290",3,16.80,16.90,"70,000,000",16.85,18.50,15.20
2065,世豐,28.00,+0.25,27.60,28.00,27.35,27.90,"72,200","2,014,689",35,27.75,28.00,"32,679,220",28.00,30.80,25.20
2066,世德,82.40,-0.20 ,82.20,83.20,82.20,82.74,"46,219","3,823,996",42,82.30,82.40,"36,502,870",79.40,87.30,71.50
2067,嘉鋼,15.55,-0.35 ,15.55,15.55,15.55,15.55,"4,000","62,200",3,15.50,15.80,"45,138,177",15.55,17.10,14.00
2221,大甲,33.95,-0.55 ,34.80,34.80,33.90,34.23,"491,000","16,806,400",372,33.95,34.00,"42,425,000",33.95,37.30,30.60
2230,泰茂,10.85,-0.15 ,10.95,11.00,10.80,10.87,"71,708","779,788",56,10.85,10.95,"39,617,338",10.85,11.90,9.77
2233,宇隆,112.00,0.00 ,112.50,112.50,111.50,112.08,"177,051","19,844,712",149,112.00,112.50,"49,214,766",112.00,123.00,101.00
2235,謚源,50.00,0.00 ,50.80,50.80,49.50,50.27,"13,000","653,500",8,49.35,50.30,"35,878,000",50.00,55.00,45.00
2596,綠意,21.20,+0.50,20.85,21.20,20.85,21.04,"267,000","5,616,500",111,21.15,21.20,"100,000,000",21.20,23.30,19.10
2640,大車隊,68.40,-2.10 ,70.50,70.50,68.40,69.61,"181,276","12,618,220",145,68.40,69.00,"48,757,426",65.10,71.60,58.70
2641,正德,8.59,-0.12 ,8.70,8.71,8.53,8.60,"520,996","4,481,142",278,8.58,8.59,"151,124,642",8.59,9.44,7.74
2643,捷迅,30.25,0.00 ,30.25,30.25,30.25,30.25,"4,000","121,000",4,30.20,30.25,"26,230,000",30.25,33.25,27.25
2718,晶悅, ---,--- ,---,---,---,22.35,0,0,0,21.45,22.95,"22,576,000",22.35,24.55,20.15
2719,燦星旅,7.37,+0.09,7.36,7.50,7.33,7.38,"67,000","494,200",24,7.37,7.49,"36,292,000",7.37,8.10,6.64
2724,富驛-KY,3.25,-0.05 ,3.25,3.25,3.25,3.25,"58,004","188,512",10,3.20,3.25,"68,172,290",3.25,3.57,2.93
2726,雅茗-KY,61.30,+0.50,60.80,61.90,60.80,61.52,"7,160","440,507",9,61.10,61.70,"33,646,716",61.30,67.40,55.20
2729,瓦城,236.00,+1.00,236.00,236.00,234.00,235.31,"13,022","3,064,192",13,234.00,236.00,"23,266,000",236.00,259.50,212.50
2732,六角,78.00,+0.60,77.00,78.50,77.00,77.79,"51,680","4,020,140",63,77.80,78.00,"38,145,213",78.00,85.80,70.20
2734,易飛網,13.00,-0.25 ,13.10,13.10,13.00,12.99,"7,440","96,666",8,13.00,13.20,"30,259,760",13.00,14.30,11.70
2736,高野,13.60,-0.15 ,13.70,13.85,13.60,13.73,"15,000","205,900",11,13.60,13.75,"48,992,383",13.60,14.95,12.25
2740,天蔥,26.45,-0.05 ,26.55,26.55,26.45,26.50,"5,000","132,500",5,26.00,26.55,"15,978,196",26.45,29.05,23.85
2745,五福,23.75,+0.05,23.70,23.75,23.60,23.67,"15,000","355,050",11,23.65,23.70,"29,308,526",23.75,26.10,21.40
2916,滿心,17.70,-0.05 ,17.55,17.70,17.50,17.54,"17,000","298,200",5,17.55,17.70,"54,626,878",17.70,19.45,15.95
2924,東凌-KY,34.70,0.00 ,34.70,34.70,34.70,34.70,"2,000","69,400",2,33.05,38.15,"32,805,174",34.70,38.15,31.25
2926,誠品生活,132.50,-0.50 ,133.00,133.00,132.50,132.95,"22,000","2,925,000",14,132.50,133.00,"47,389,650",132.50,145.50,119.50
2928,紅馬-KY,40.50,0.00 ,40.20,41.00,40.20,40.70,"20,000","813,950",12,40.30,40.80,"47,301,154",40.50,44.55,36.45
2937,集雅社, ---,--- ,---,---,---,18.35,0,0,0,17.75,18.25,"32,860,000",18.25,20.05,16.45
3064,泰偉,18.95,+0.05,19.00,19.00,17.80,18.48,"13,000","240,300",10,18.95,19.00,"72,105,141",18.95,20.80,17.10
3066,李洲,6.30,-0.17 ,6.39,6.39,6.30,6.31,"25,846","163,077",11,6.30,6.48,"83,070,612",6.30,6.93,5.67
3067,全域, ---,--- ,---,---,---,10.30,0,0,0,10.00,10.45,"29,025,240",10.45,11.45,9.41
3071,協禧,19.35,-0.25 ,19.75,19.85,19.20,19.47,"381,936","7,435,473",145,19.35,19.40,"120,000,000",19.35,21.25,17.45
3073,凱柏實業,6.70,0.00 ,6.70,6.75,6.70,6.74,"17,050","114,845",9,6.70,6.75,"46,463,665",6.70,7.37,6.03
3078,僑威,30.75,0.00 ,30.00,31.00,30.00,30.43,"1,184,715","36,051,591",435,30.75,30.80,"227,391,064",30.75,33.80,27.70
3081,聯亞,263.50,+21.00,244.00,264.50,243.00,254.14,"1,496,877","380,411,085","1,256",263.00,263.50,"90,573,177",263.50,289.50,237.50
3083,網龍,35.10,-0.30 ,35.60,35.60,35.05,35.24,"55,000","1,938,450",51,35.05,35.10,"85,704,358",35.10,38.60,31.60
3085,新零售,14.00,+0.05,13.90,14.00,13.80,13.89,"72,200","1,002,840",36,13.95,14.00,"118,081,713",14.00,15.40,12.60
3086,華義,14.05,-0.20 ,15.00,15.00,14.00,14.22,"5,005","71,167",6,14.00,14.65,"61,166,127",14.05,15.45,12.65
3088,艾訊,58.70,+0.20,58.90,59.00,58.50,58.77,"195,165","11,469,902",168,58.60,58.70,"79,418,034",58.70,64.50,52.90
3089,遠昇,16.20,+0.75,15.50,16.40,15.50,15.98,"5,006","79,996",11,15.50,16.00,"60,113,314",16.20,17.80,14.60
3092,鴻碩,44.00,+0.30,44.00,44.00,43.75,43.91,"105,615","4,637,560",109,44.00,44.05,"71,193,155",44.00,48.40,39.60
3093,港建,25.00,0.00 ,25.05,25.05,25.00,25.01,"4,100","102,550",4,25.00,25.25,"36,288,894",25.00,27.50,22.50
3095,及成,3.43,-0.07 ,3.43,3.43,3.29,3.40,"19,411","65,973",5,3.29,3.46,"109,276,321",3.43,3.77,3.09
3105,穩懋,161.00,-1.50 ,163.00,167.00,161.00,164.79,"6,925,977","1,141,320,798","4,613",161.00,161.50,"422,666,384",161.00,177.00,145.00
3114,好德,35.10,-0.50 ,35.65,36.50,35.05,35.49,"619,000","21,966,850",370,35.10,35.15,"52,014,239",35.10,38.60,31.60
3115,寶島極,19.70,0.00 ,19.70,19.70,19.70,19.70,"2,000","39,400",2,19.90,20.20,"43,697,600",19.70,21.65,17.75
3118,進階,30.65,0.00 ,30.65,30.65,30.60,30.65,"18,050","553,182",11,30.60,30.90,"32,452,860",30.65,33.70,27.60
3122,笙泉,16.50,-0.35 ,16.75,16.85,16.50,16.65,"4,000","66,600",4,16.50,16.85,"39,299,934",16.50,18.15,14.85
3128,昇銳,12.15,-0.10 ,12.25,12.40,12.15,12.25,"109,503","1,341,011",74,12.15,12.25,"42,000,000",12.15,13.35,10.95
3131,弘塑,122.00,+1.50,122.00,122.00,120.50,121.39,"20,100","2,439,900",25,121.00,122.00,"24,683,843",122.00,134.00,110.00
3141,晶宏,37.60,+0.05,38.10,38.30,37.50,37.95,"1,088,398","41,309,186",687,37.60,37.65,"63,951,493",37.60,41.35,33.85
3144,新揚科,26.75,+0.05,27.00,27.00,26.70,26.84,"327,000","8,775,500",216,26.75,26.85,"100,637,750",26.75,29.40,24.10
3147,大綜,19.95,-0.10 ,20.25,20.30,19.95,20.08,"11,250","225,900",11,19.90,20.05,"34,006,099",19.95,21.90,18.00
3152,璟德,252.00,0.00 ,247.50,254.50,247.50,252.56,"59,720","15,082,940",59,252.00,252.50,"69,016,200",252.00,277.00,227.00
3162,精確,27.25,-0.05 ,27.30,27.30,27.20,27.24,"79,019","2,152,717",13,27.25,28.00,"126,531,342",27.25,29.95,24.55
3163,波若威,38.60,-1.15 ,39.70,39.70,38.60,39.10,"1,001,000","39,143,800",571,38.60,38.65,"75,306,399",38.60,42.45,34.75
3169,亞信,25.90,+0.40,25.55,25.90,25.55,25.73,"90,000","2,316,100",57,25.80,25.90,"53,740,650",25.90,28.45,23.35
3171,新洲,14.15,0.00 ,14.05,14.20,14.05,14.13,"10,000","141,250",9,14.10,14.15,"59,203,515",14.15,15.55,12.75
3176,基亞,26.15,+0.10,26.10,26.35,25.80,26.01,"160,142","4,165,348",115,25.80,26.15,"138,685,505",26.15,28.75,23.55
3191,和進,18.70,0.00 ,18.60,18.80,18.60,18.72,"39,003","730,154",22,18.70,18.80,"57,194,761",18.70,20.55,16.85
3202,樺晟,14.70,-0.40 ,15.00,15.75,14.70,15.15,"2,837,002","42,987,328","1,299",14.70,14.80,"100,161,561",14.70,16.15,13.25
