1584,精剛,7.78,-0.02 ,7.72,7.78,7.60,7.70,"53,005","408,046",31,7.76,7.79,"82,470,533",7.78,8.55,7.01
1586,和勤,39.60,-0.30 ,39.65,40.00,39.50,39.72,"319,000","12,670,800",272,39.60,39.65,"76,488,857",39.60,43.55,35.65
1591,駿吉-KY,34.85,-0.15 ,34.60,35.10,34.60,34.86,"10,000","348,550",8,34.80,34.85,"33,164,807",34.85,38.30,31.40
1593,祺驊,42.80,-0.20 ,43.00,43.00,42.80,42.82,"18,000","770,800",8,42.50,43.90,"31,948,455",42.80,47.05,38.55
1595,川寶,49.50,-0.10 ,49.60,49.80,49.50,49.54,"20,001","990,849",12,49.50,49.60,"47,148,134",49.50,54.40,44.55
1597,直得,106.50,+6.50,101.50,106.50,101.50,103.92,"2,492,609","259,023,554","1,806",106.00,106.50,"73,806,862",106.50,117.00,95.90
1599,宏佳騰,35.05,+1.15,33.90,35.20,33.90,34.82,"82,700","2,879,850",67,35.05,35.10,"62,002,519",35.05,38.55,31.55
1742,台蠟,19.25,0.00 ,19.00,19.50,19.00,19.20,"48,078","923,063",43,19.15,19.25,"55,050,000",19.25,21.15,17.35
1752,南光,32.10,+0.30,31.80,32.10,31.80,31.94,"113,100","3,612,340",76,32.00,32.10,"100,988,472",32.10,35.30,28.90
1777,生泰,79.00,+0.20,78.80,79.00,78.80,78.93,"3,000","236,800",3,78.20,78.90,"30,059,550",79.00,86.90,71.10
1781,合世,12.55,+0.35,12.45,12.60,12.20,12.35,"123,000","1,518,750",87,12.25,12.55,"47,407,605",12.55,13.80,11.30
1784,訊聯,32.10,-0.65 ,32.75,34.95,31.25,33.43,"9,439,818","315,533,404","5,425",32.00,32.10,"49,688,924",32.10,35.30,28.90
1785,光洋科,20.70,+0.30,20.95,20.95,20.50,20.70,"2,269,420","46,983,085","1,309",20.65,20.70,"398,501,243",20.70,22.75,18.65
1787,福盈科,22.50,-0.35 ,22.55,22.70,22.10,22.40,"135,456","3,034,626",81,22.45,22.60,"67,888,504",22.50,24.75,20.25
1788,杏昌,99.70,0.00 ,99.70,99.80,99.20,99.59,"17,000","1,693,100",9,99.20,99.80,"35,000,000",99.70,109.50,89.80
1795,美時,53.20,+0.60,53.50,54.50,51.60,53.04,"1,703,100","90,324,730","1,389",53.20,53.40,"238,200,744",53.20,58.50,47.90
1796,金穎生技,43.00,-0.95 ,43.95,43.95,43.00,43.46,"14,000","608,450",5,41.60,43.00,"27,624,391",43.00,47.30,38.70
1799,易威,17.10,-1.35 ,18.30,18.30,17.10,17.68,"533,108","9,422,716",317,17.05,17.10,"98,842,678",17.10,18.80,15.40
1813,寶利徠,21.00,-0.15 ,21.15,21.20,20.60,21.00,"88,000","1,847,650",59,21.00,21.05,"46,635,510",21.00,23.10,18.90
1815,富喬,15.75,+0.15,15.70,15.95,15.55,15.74,"2,225,456","35,033,106",806,15.75,15.80,"433,784,403",15.75,17.30,14.20
2035,唐榮,45.00,0.00 ,45.00,45.00,44.90,44.96,"11,002","494,640",11,44.65,45.00,"350,000,000",45.00,49.50,40.50
2061,風青,10.55,0.00 ,10.55,10.55,10.00,10.15,"91,549","929,614",21,10.25,10.55,"62,075,076",10.55,11.60,9.50
2063,世鎧,37.20,-0.10 ,37.10,37.30,37.10,37.18,"14,000","520,550",14,37.20,37.40,"45,000,000",37.20,40.90,33.50
2064,晉椿,16.70,0.00 ,16.40,16.70,16.40,16.57,"16,000","265,100",9,16.65,16.70,"70,000,000",16.70,18.35,15.05
2065,世豐,27.30,0.00 ,27.15,27.30,27.05,27.16,"27,000","733,400",10,27.30,27.40,"32,679,220",27.30,30.00,24.60
2066,世德,78.30,+2.40,76.90,79.00,76.70,77.98,"20,000","1,559,500",16,76.00,78.40,"36,502,870",78.30,86.10,70.50
2067,嘉鋼,15.50,-0.10 ,15.15,15.50,15.10,15.22,"8,000","121,750",7,15.15,15.55,"45,138,177",15.50,17.05,13.95
2221,大甲,31.95,+2.30,29.95,32.40,29.95,31.48,"699,050","22,007,170",514,31.95,32.00,"42,425,000",31.95,35.10,28.80
2230,泰茂,10.75,+0.10,10.85,11.00,10.75,10.93,"19,000","207,750",15,10.75,10.90,"39,617,338",10.75,11.80,9.68
2233,宇隆,102.50,-0.50 ,103.50,104.00,101.50,102.36,"293,530","30,046,890",253,102.50,103.00,"49,214,766",102.50,112.50,92.30
2235,謚源,52.00,-0.10 ,52.00,52.00,51.90,51.95,"6,025","312,987",6,51.20,51.90,"35,878,000",52.00,57.20,46.80
2596,綠意,21.15,-0.30 ,21.20,21.25,21.05,21.11,"109,000","2,301,350",52,21.15,21.20,"100,000,000",21.15,23.25,19.05
2640,大車隊,64.00,+0.30,64.50,64.50,63.90,64.07,"34,326","2,199,224",25,64.00,64.10,"51,195,297",64.00,70.40,57.60
2641,正德,7.45,+0.12,7.33,7.52,7.33,7.44,"373,442","2,778,063",162,7.45,7.50,"151,124,642",7.45,8.19,6.71
2643,捷迅,30.25,+1.65,28.60,30.50,28.60,29.35,"14,000","410,950",11,29.00,30.20,"26,230,000",30.25,33.25,27.25
2718,晶悅, ---,--- ,---,---,---,21.60,0,0,0,20.60,21.95,"22,576,000",21.60,23.75,19.45
2719,燦星旅,11.00,+0.10,11.95,11.95,10.30,11.54,"593,844","6,855,396",251,10.80,11.00,"36,292,000",11.00,12.10,9.90
2724,富驛-KY,3.20,0.00 ,3.20,3.20,3.20,3.20,"23,000","73,600",3,3.05,3.20,"68,172,290",3.20,3.52,2.88
2726,雅茗-KY,61.20,-2.20 ,62.00,63.00,60.20,60.86,"33,300","2,026,539",36,60.80,61.30,"33,635,556",61.20,67.30,55.10
2729,瓦城,234.50,+0.50,234.00,234.50,234.00,234.71,"10,200","2,394,000",11,234.50,235.50,"23,266,000",234.50,257.50,211.50
2732,六角,77.40,+0.60,77.60,78.20,77.20,77.67,"108,226","8,405,477",95,77.40,78.00,"38,145,213",77.40,85.10,69.70
2734,易飛網,13.10,+0.45,13.00,13.10,13.00,13.03,"3,000","39,100",3,12.70,13.20,"30,259,760",13.10,14.40,11.80
2736,高野,13.45,+0.35,13.00,13.45,13.00,13.26,"19,000","251,950",10,13.15,13.35,"48,992,383",13.45,14.75,12.15
2740,天蔥,23.30,+0.20,23.30,23.35,23.00,23.25,"12,000","279,000",12,23.25,23.30,"17,478,196",23.30,25.60,21.00
2745,五福,21.70,-0.40 ,21.60,21.70,21.50,21.57,"23,000","496,200",15,21.70,21.95,"29,308,526",21.70,23.85,19.55
2916,滿心,17.40,0.00 ,17.50,17.50,17.40,17.43,"37,000","644,950",16,17.40,17.55,"54,626,878",17.40,19.10,15.70
2924,東凌-KY,34.60,0.00 ,34.55,34.60,34.55,34.59,"8,000","276,750",4,33.05,35.00,"32,805,174",34.60,38.05,31.15
2926,誠品生活,131.50,0.00 ,132.00,133.00,131.50,131.79,"19,000","2,504,000",15,131.00,132.00,"47,389,650",131.50,144.50,118.50
2928,紅馬-KY,46.00,0.00 ,44.80,46.00,44.20,45.01,"21,000","945,200",20,46.00,47.45,"47,301,154",46.00,50.60,41.40
2937,集雅社,16.90,+0.05,16.90,16.90,16.90,16.90,"5,000","84,500",3,16.85,16.90,"32,860,000",16.90,18.55,15.25
3064,泰偉,14.60,-1.50 ,16.00,16.00,14.60,15.00,"65,550","983,472",37,14.60,14.80,"72,105,141",14.60,16.05,13.15
3066,李洲, ---,--- ,---,---,---,6.20,0,0,0,6.20,6.32,"83,070,612",6.20,6.82,5.58
3067,全域,10.35,+0.35,10.00,10.35,10.00,10.18,"2,000","20,350",2,9.01,11.00,"29,025,240",10.35,11.35,9.32
3071,協禧,18.05,+0.50,17.95,18.40,17.90,18.08,"242,085","4,376,020",143,18.00,18.05,"120,000,000",18.05,19.85,16.25
3073,凱柏實業,6.25,-0.06 ,6.05,6.25,6.05,6.13,"9,440","57,911",9,6.08,6.30,"46,463,665",6.25,6.87,5.63
3078,僑威,27.10,+0.30,26.80,27.25,26.80,27.02,"489,567","13,229,262",285,27.10,27.20,"227,391,064",27.10,29.80,24.40
3081,聯亞,285.50,+12.50,274.00,296.50,274.00,287.27,"1,925,247","553,073,895","1,640",285.00,285.50,"90,573,177",285.50,314.00,257.00
