006201,元大富櫃50,12.57,-0.04 ,12.61,12.61,12.51,12.54,"35,000","438,790",16,12.56,12.58,"15,946,000",12.57,13.82,11.32
00679B,元大美債20年,37.75,-0.18 ,37.85,37.85,37.72,37.76,"1,819,000","68,679,420",135,37.74,37.75,"797,692,000",37.75,9999.95,0.01
00687B,國泰20年美債,39.22,-0.24 ,39.22,39.24,39.22,39.23,"813,000","31,897,880",10,39.21,39.25,"372,287,000",39.22,9999.95,0.01
00694B,富邦美債1-3,40.60,0.00 ,40.60,40.60,40.60,40.60,"400,133","16,245,367",5,40.60,40.72,"52,576,000",40.60,9999.95,0.01
00695B,富邦美債7-10,39.30,-0.17 ,39.27,39.30,39.27,39.27,"306,450","12,034,368",12,39.25,39.41,"116,686,000",39.30,9999.95,0.01
00696B,富邦美債20年,39.81,-0.24 ,39.81,39.81,39.81,39.81,"300,000","11,943,000",3,39.83,39.93,"197,181,000",39.81,9999.95,0.01
00697B,元大美債7-10,38.84,-0.10 ,38.83,38.84,38.81,38.83,"320,000","12,426,700",8,38.80,38.94,"29,712,000",38.84,9999.95,0.01
00718B,富邦中國政策債,20.18,-0.06 ,20.22,20.22,20.18,20.20,"234,000","4,727,180",10,20.18,20.21,"964,501,000",20.18,9999.95,0.01
00719B,元大美債1-3,31.68,-0.03 ,31.70,31.70,31.68,31.69,"400,000","12,676,000",4,31.66,31.70,"3,514,000",31.68,9999.95,0.01
00720B,元大投資級公司債,39.14,-0.11 ,39.12,39.14,39.12,39.13,"400,000","15,652,000",4,39.12,39.23,"180,109,000",39.14,9999.95,0.01
00721B,元大中國債3-5,45.39,-0.08 ,45.42,45.42,45.38,45.39,"425,000","19,291,410",10,45.39,45.45,"324,622,000",45.39,9999.95,0.01
00722B,群益15年IG電信債,39.74,-0.19 ,39.90,39.90,39.74,39.85,"204,000","8,130,190",8,20.30,39.90,"146,739,000",39.74,9999.95,0.01
00723B,群益15年IG科技債,38.58,-0.16 ,38.63,38.63,38.57,38.58,"201,000","7,753,630",5,0.30,38.61,"498,583,000",38.58,9999.95,0.01
00724B,群益10年IG金融債,37.60,-0.17 ,37.64,37.64,37.59,37.60,"201,000","7,556,640",5,1.00,37.83,"601,775,000",37.60,9999.95,0.01
00725B,國泰投資級公司債,40.09,-0.08 ,40.09,40.09,40.09,40.09,"4,000","160,360",4,32.50,40.08,"118,206,000",40.09,9999.95,0.01
00726B,國泰5Y+新興債,40.94,-0.11 ,40.94,40.94,40.94,40.94,"1,000","40,940",1,33.10,41.05,"3,989,000",40.94,9999.95,0.01
00727B,國泰1-5Y高收債,43.52,0.00 ,43.52,43.52,43.52,43.52,"1,000","43,520",1,43.42,43.52,"27,689,000",43.52,9999.95,0.01
00734B,台新JPM新興債,20.62,-0.01 ,20.58,20.62,20.58,20.58,"1,532,000","31,528,640",28,20.58,20.62,"41,479,000",20.62,9999.95,0.01
00740B,富邦全球投等債,40.90,-0.20 ,41.00,41.00,40.90,40.95,"320,000","13,104,000",5,40.77,41.14,"5,971,000",40.90,9999.95,0.01
00741B,富邦全球高收債,41.20,+0.05,41.20,41.20,41.20,41.20,"240,000","9,888,000",6,41.11,41.49,"5,628,000",41.20,9999.95,0.01
00744B,國泰中國政金債5+,39.86,-0.09 ,39.92,39.92,39.86,39.92,"328,000","13,093,700",7,39.85,39.93,"206,228,000",39.86,9999.95,0.01
00745B,富邦中政債0-1,39.78,-0.08 ,39.78,39.78,39.78,39.78,"100,000","3,978,000",6,39.75,39.81,"8,516,000",39.78,9999.95,0.01
00746B,富邦A級公司債,39.70,-0.10 ,39.73,39.73,39.70,39.72,"100,000","3,971,500",5,39.65,39.85,"5,464,000",39.70,9999.95,0.01
00747B,FH中國政策債,49.75,-0.35 ,49.75,49.75,49.75,49.75,"1,000","49,750",1,2.23,49.96,"177,500,000",49.75,9999.95,0.01
1240,茂生農經,40.10,-1.10 ,41.20,42.10,40.00,40.65,"114,000","4,634,650",59,40.00,40.80,"33,000,000",40.10,44.10,36.10
1258,其祥-KY,27.25,-0.40 ,27.30,27.70,27.25,27.32,"7,000","191,250",5,27.15,27.75,"36,816,458",27.25,29.95,24.55
1259,安心,71.50,+0.30,73.70,73.70,71.50,72.20,"41,250","2,978,200",29,71.50,72.00,"32,389,500",71.50,78.60,64.40
1264,德麥,210.00,-0.50 ,210.00,210.00,209.00,209.98,"6,180","1,297,660",17,209.00,210.00,"33,695,970",210.00,231.00,189.00
1268,漢來美食,139.50,-0.50 ,138.50,139.50,138.50,139.37,"67,680","9,432,840",30,135.00,139.50,"39,273,730",139.50,153.00,126.00
1333,恩得利,2.30,-0.01 ,2.30,2.30,2.30,2.30,"12,076","27,773",7,2.30,2.36,"74,515,375",2.30,2.53,2.07
1336,台翰,16.80,0.00 ,16.80,17.00,16.75,16.85,"44,000","741,450",25,16.80,16.95,"83,193,419",16.80,18.45,15.15
1565,精華,621.00,+10.00,612.00,629.00,611.00,618.94,"123,349","76,346,172",136,620.00,621.00,"50,416,516",621.00,683.00,559.00
1566,捷邦,15.90,-0.10 ,15.85,16.50,15.80,15.96,"66,407","1,059,688",48,15.90,15.95,"86,467,028",15.90,17.45,14.35
1569,濱川,16.40,0.00 ,16.50,16.50,16.10,16.29,"275,797","4,491,820",198,16.20,16.40,"112,713,264",16.40,18.00,14.80
1570,力肯,12.60,-0.05 ,12.70,12.85,12.55,12.70,"33,342","423,373",23,12.65,12.70,"51,500,839",12.60,13.85,11.35
1580,新麥,134.50,-2.50 ,136.00,136.00,133.00,134.63,"68,251","9,188,885",69,134.50,136.00,"50,230,242",134.50,147.50,121.50
1584,精剛,7.57,-0.21 ,7.62,7.75,7.57,7.60,"30,041","228,331",16,7.57,7.69,"82,470,533",7.57,8.32,6.82
1586,和勤,38.25,-1.35 ,40.00,40.10,38.25,39.05,"822,035","32,100,947",561,38.20,38.25,"76,488,857",38.25,42.05,34.45
1591,駿吉-KY,34.00,-0.85 ,34.85,34.85,33.15,33.90,"85,000","2,881,300",69,33.35,34.00,"33,164,807",34.00,37.40,30.60
1593,祺驊,42.30,-0.50 ,42.50,42.50,42.20,42.42,"8,291","351,667",6,42.35,42.80,"31,948,455",42.30,46.50,38.10
1595,川寶,49.50,0.00 ,49.20,49.50,49.20,49.43,"9,002","444,998",8,49.40,49.70,"47,148,134",49.50,54.40,44.55
