006201,元大富櫃50,12.27,-0.07 ,12.34,12.34,12.25,12.27,"120,000","1,472,730",29,12.25,12.27,"16,446,000",12.27,13.49,11.05
1584,精剛,7.72,-0.04 ,7.70,7.76,7.63,7.72,"48,001","370,517",20,7.72,7.76,"82,470,533",7.72,8.49,6.95
1586,和勤,38.35,+0.05,38.25,38.70,38.10,38.31,"303,000","11,607,750",146,38.35,38.45,"76,488,857",38.35,42.15,34.55
1591,駿吉-KY,33.60,-0.35 ,34.30,34.45,33.25,33.62,"547,000","18,391,050",40,33.50,33.65,"33,164,807",33.60,36.95,30.25
1593,祺驊,43.75,+0.75,44.00,44.00,43.75,43.92,"3,000","131,750",3,42.85,43.70,"31,948,455",43.75,48.10,39.40
1595,川寶,50.10,-0.70 ,50.30,50.30,50.10,50.18,"5,001","250,950",6,50.10,50.50,"47,148,134",50.10,55.10,45.10
1597,直得,111.00,+0.50,109.00,112.50,107.50,110.04,"1,997,184","219,769,924","1,580",110.50,111.00,"73,806,862",111.00,122.00,99.90
1599,宏佳騰,36.40,-0.15 ,35.85,36.50,35.85,36.21,"36,170","1,309,588",29,36.40,36.70,"62,002,519",36.40,40.00,32.80
1742,台蠟,19.40,+0.20,19.20,19.60,19.20,19.30,"45,338","874,972",36,19.40,19.50,"55,050,000",19.40,21.30,17.50
1752,南光,32.55,-0.25 ,32.60,32.80,32.55,32.60,"54,000","1,760,250",33,32.55,32.65,"100,988,472",32.55,35.80,29.30
1777,生泰,79.80,-0.10 ,79.60,80.00,78.90,79.46,"11,001","874,179",12,79.10,79.90,"30,059,550",79.80,87.70,71.90
1781,合世,12.45,+0.25,12.10,12.80,12.05,12.47,"77,009","960,109",57,12.40,12.50,"47,407,605",12.45,13.65,11.25
1784,訊聯,31.00,-1.20 ,32.30,32.75,30.75,31.51,"1,785,073","56,244,919","1,124",31.00,31.10,"49,688,924",31.00,34.10,27.90
1785,光洋科,20.80,-0.20 ,20.90,21.00,20.70,20.83,"835,957","17,410,305",422,20.75,20.80,"398,501,243",20.80,22.85,18.75
1787,福盈科,22.60,+0.10,22.50,22.60,22.45,22.50,"42,000","945,150",10,22.55,22.75,"67,888,504",22.60,24.85,20.35
1788,杏昌,99.20,-0.40 ,99.60,99.60,99.20,99.47,"10,000","994,700",9,99.20,99.60,"35,000,000",99.20,109.00,89.30
1795,美時,53.00,-1.50 ,53.80,54.00,52.70,53.14,"1,131,948","60,154,174",794,53.00,53.10,"238,200,744",53.00,58.30,47.70
1796,金穎生技,43.50,0.00 ,43.50,43.50,43.50,43.50,"2,012","87,521",7,42.00,46.00,"27,624,391",43.50,47.85,39.15
1799,易威,16.85,-0.05 ,16.90,17.10,16.80,16.96,"81,001","1,373,617",46,16.85,16.95,"98,842,678",16.85,18.50,15.20
1813,寶利徠,21.05,-0.45 ,21.35,21.70,21.05,21.22,"128,055","2,716,932",86,21.05,21.25,"46,635,510",21.05,23.15,18.95
1815,富喬,16.50,+0.30,16.20,16.50,15.90,16.23,"3,853,197","62,528,178","1,153",16.45,16.50,"433,784,403",16.50,18.15,14.85
2035,唐榮,45.00,0.00 ,44.95,45.00,44.90,44.97,"21,002","944,488",17,44.70,45.00,"350,000,000",45.00,49.50,40.50
2061,風青,10.55,-0.10 ,10.65,10.65,10.30,10.38,"16,061","166,791",13,10.55,10.60,"62,075,076",10.55,11.60,9.50
2063,世鎧,38.00,-0.35 ,38.40,38.40,37.55,37.81,"19,000","718,400",17,37.70,38.05,"45,000,000",38.00,41.80,34.20
2064,晉椿,16.85,0.00 ,16.90,16.90,16.85,16.89,"4,000","67,550",3,16.70,16.85,"70,000,000",16.85,18.50,15.20
2065,世豐,27.60,-0.30 ,27.55,27.75,27.40,27.54,"6,000","165,250",6,27.50,27.70,"32,679,220",27.60,30.35,24.85
2066,世德,80.20,-0.30 ,80.80,80.80,79.80,80.20,"17,000","1,363,400",13,79.60,80.30,"36,502,870",80.20,88.20,72.20
2067,嘉鋼,15.15,0.00 ,15.20,15.20,15.15,15.19,"14,000","212,700",4,15.10,15.20,"45,138,177",15.15,16.65,13.65
2221,大甲,32.30,+0.40,32.00,32.45,32.00,32.28,"175,000","5,648,300",120,32.30,32.45,"42,425,000",32.30,35.50,29.10
2230,泰茂,11.80,+0.30,11.50,11.85,11.50,11.73,"43,000","504,250",31,11.55,11.75,"39,617,338",11.80,12.95,10.65
2233,宇隆,104.00,0.00 ,104.50,104.50,103.50,104.16,"168,285","17,527,995",138,103.50,104.00,"49,214,766",104.00,114.00,93.60
