006201,元大富櫃50,12.19,-0.01 ,12.23,12.23,12.10,12.16,"47,000","571,550",25,12.18,12.24,"16,446,000",12.19,13.40,10.98
00679B,元大美債20年,37.01,-0.05 ,37.07,37.08,37.00,37.01,"460,000","17,026,180",50,37.00,37.01,"892,692,000",37.01,9999.95,0.01
00687B,國泰20年美債,38.46,-0.08 ,38.53,38.53,38.46,38.46,"205,000","7,884,450",7,38.43,38.48,"438,787,000",38.46,9999.95,0.01
00694B,富邦美債1-3,40.17,-0.10 ,40.17,40.17,40.17,40.17,"300,000","12,051,000",3,40.17,40.23,"52,576,000",40.17,9999.95,0.01
00695B,富邦美債7-10,38.64,-0.20 ,38.64,38.64,38.64,38.64,"306,000","11,823,605",21,38.62,38.71,"116,686,000",38.64,9999.95,0.01
00696B,富邦美債20年,38.98,-0.14 ,38.98,38.98,38.98,38.98,"300,000","11,694,000",3,38.98,39.06,"283,181,000",38.98,9999.95,0.01
00697B,元大美債7-10,38.25,-0.08 ,38.28,38.28,38.25,38.26,"450,000","17,214,980",6,38.18,38.31,"55,712,000",38.25,9999.95,0.01
00718B,富邦中國政策債,20.03,-0.10 ,20.08,20.08,20.02,20.03,"298,000","5,969,390",23,20.02,20.03,"964,501,000",20.03,9999.95,0.01
00719B,元大美債1-3,31.38,-0.06 ,31.44,31.44,31.36,31.37,"452,000","14,177,120",6,31.35,31.37,"3,514,000",31.38,9999.95,0.01
00720B,元大投資級公司債,39.07,-0.01 ,39.12,39.12,39.02,39.03,"452,000","17,639,390",6,38.93,39.08,"186,109,000",39.07,9999.95,0.01
00721B,元大中國債3-5,45.11,-0.15 ,45.19,45.19,45.08,45.12,"454,000","20,482,570",24,45.10,45.12,"324,622,000",45.11,9999.95,0.01
00722B,群益15年IG電信債,39.98,+0.07,40.06,40.06,39.93,39.98,"202,000","8,074,990",6,39.76,40.05,"167,739,000",39.98,9999.95,0.01
00723B,群益15年IG科技債,38.43,-0.01 ,38.51,38.51,38.42,38.43,"201,000","7,723,510",5,38.29,38.59,"573,583,000",38.43,9999.95,0.01
00724B,群益10年IG金融債,37.74,+0.06,37.80,37.80,37.68,37.69,"203,000","7,650,240",7,37.70,37.83,"614,775,000",37.74,9999.95,0.01
00725B,國泰投資級公司債,40.12,+0.02,40.12,40.12,40.12,40.12,"1,000","40,120",1,39.94,40.00,"131,706,000",40.12,9999.95,0.01
00726B,國泰5Y+新興債,41.08,-0.04 ,41.14,41.14,40.96,41.05,"7,000","287,380",6,40.96,41.12,"3,989,000",41.08,9999.95,0.01
