006201,元大富櫃50,12.52,-0.50 ,12.99,12.99,12.36,12.63,"182,000","2,298,790",86,12.53,12.58,"15,946,000",12.52,13.77,11.27
00679B,元大美債20年,37.82,-0.28 ,37.88,37.88,37.79,37.81,"427,000","16,146,360",72,37.81,37.82,"792,192,000",37.82,9999.95,0.01
00687B,國泰20年美債,39.31,-0.28 ,39.36,39.36,39.28,39.31,"256,000","10,063,170",15,39.30,39.32,"358,787,000",39.31,9999.95,0.01
00694B,富邦美債1-3,40.55,-0.05 ,40.58,40.58,40.50,40.56,"601,163","24,386,070",8,40.55,40.61,"52,576,000",40.55,9999.95,0.01
00695B,富邦美債7-10,39.34,-0.18 ,39.34,39.34,39.34,39.34,"302,275","11,891,166",25,39.34,39.36,"116,686,000",39.34,9999.95,0.01
00696B,富邦美債20年,39.90,-0.26 ,39.91,39.91,39.84,39.84,"306,000","12,191,410",5,39.80,39.91,"161,181,000",39.90,9999.95,0.01
00697B,元大美債7-10,38.90,-0.13 ,38.92,38.92,38.89,38.90,"301,000","11,707,420",5,38.90,38.92,"29,712,000",38.90,9999.95,0.01
00718B,富邦中國政策債,20.27,-0.02 ,20.29,20.29,20.23,20.21,"24,799,097","501,199,576",68,20.22,20.27,"964,501,000",20.27,9999.95,0.01
00719B,元大美債1-3,31.68,-0.01 ,31.70,31.70,31.68,31.69,"400,000","12,676,000",4,31.69,31.70,"3,514,000",31.68,9999.95,0.01
00720B,元大投資級公司債,39.03,-0.20 ,39.14,39.14,39.00,39.03,"13,402,000","523,074,170",8,39.03,39.06,"180,109,000",39.03,9999.95,0.01
00721B,元大中國債3-5,45.47,-0.18 ,45.58,45.58,45.47,45.50,"437,000","19,883,790",12,45.47,45.53,"324,622,000",45.47,9999.95,0.01
00722B,群益15年IG電信債,39.76,-0.18 ,39.61,39.76,39.61,39.75,"205,000","8,149,050",5,20.00,40.16,"146,739,000",39.76,9999.95,0.01
00723B,群益15年IG科技債,38.59,-0.18 ,38.43,38.59,38.43,38.58,"201,000","7,755,430",5,0.10,0.00,"498,583,000",38.59,9999.95,0.01
00724B,群益10年IG金融債,37.67,-0.12 ,37.66,37.67,37.66,37.67,"200,000","7,533,000",11,1.00,37.79,"601,775,000",37.67,9999.95,0.01
00725B,國泰投資級公司債,40.04,+0.04,40.04,40.04,40.04,40.04,"1,000","40,040",1,39.83,40.05,"118,206,000",40.04,9999.95,0.01
00726B,國泰5Y+新興債,41.05,+0.05,41.05,41.05,41.05,41.05,"1,000","41,050",1,39.00,41.00,"3,989,000",41.05,9999.95,0.01
00727B,國泰1-5Y高收債,43.52,+0.07,43.45,43.52,43.45,43.47,"4,000","173,870",4,40.00,43.50,"33,689,000",43.52,9999.95,0.01
00734B,台新JPM新興債,20.65,-0.03 ,20.68,20.68,20.62,20.65,"1,018,000","21,017,310",12,20.65,20.69,"41,479,000",20.65,9999.95,0.01
