006201,元大富櫃50,12.68,+0.11,12.57,12.85,12.53,12.67,"39,000","494,110",21,12.67,12.68,"15,946,000",12.68,13.94,11.42
00679B,元大美債20年,37.76,+0.01,37.76,37.80,37.73,37.75,"416,000","15,703,770",53,37.73,37.75,"800,192,000",37.76,9999.95,0.01
00687B,國泰20年美債,39.19,-0.03 ,39.26,39.26,39.18,39.19,"207,000","8,112,340",5,39.19,39.23,"373,787,000",39.19,9999.95,0.01
00694B,富邦美債1-3,40.54,-0.06 ,40.54,40.54,40.54,40.54,"300,098","12,165,948",5,40.52,40.58,"52,576,000",40.54,9999.95,0.01
00695B,富邦美債7-10,39.27,-0.03 ,39.26,39.27,39.26,39.26,"317,175","12,452,172",24,39.26,39.29,"116,686,000",39.27,9999.95,0.01
00696B,富邦美債20年,39.77,-0.04 ,39.80,39.84,39.77,39.80,"307,036","12,220,232",8,39.74,39.85,"197,181,000",39.77,9999.95,0.01
00697B,元大美債7-10,38.78,-0.06 ,38.80,38.80,38.78,38.79,"310,000","12,024,900",5,38.76,38.80,"29,712,000",38.78,9999.95,0.01
00718B,富邦中國政策債,20.21,+0.03,20.18,20.21,20.18,20.21,"252,049","5,092,940",10,20.22,20.23,"964,501,000",20.21,9999.95,0.01
00719B,元大美債1-3,31.66,-0.02 ,31.69,31.69,31.65,31.66,"401,000","12,693,690",5,31.62,31.70,"3,514,000",31.66,9999.95,0.01
00720B,元大投資級公司債,39.10,-0.04 ,39.22,39.22,39.10,39.15,"511,000","20,005,390",11,39.10,39.19,"180,109,000",39.10,9999.95,0.01
00721B,元大中國債3-5,45.54,+0.15,45.58,45.58,45.54,45.55,"401,000","18,263,580",5,45.50,45.58,"324,622,000",45.54,9999.95,0.01
00722B,群益15年IG電信債,39.84,+0.10,40.02,40.02,39.84,40.09,"19,203,000","769,824,860",16,20.35,40.00,"167,739,000",39.84,9999.95,0.01
00723B,群益15年IG科技債,38.81,+0.23,38.85,38.85,38.80,38.81,"201,000","7,799,850",7,0.10,38.81,"498,583,000",38.81,9999.95,0.01
00724B,群益10年IG金融債,37.74,+0.14,37.77,37.77,37.73,37.74,"201,000","7,584,770",9,37.61,0.00,"601,775,000",37.74,9999.95,0.01
00725B,國泰投資級公司債,40.06,-0.03 ,40.16,40.16,40.05,40.07,"17,000","681,110",5,40.04,40.15,"118,206,000",40.06,9999.95,0.01
