006201,元大富櫃50,12.18,-0.11 ,12.31,12.31,12.17,12.24,"50,000","611,800",24,12.17,12.21,"16,446,000",12.18,13.39,10.97
00679B,元大美債20年,36.77,-0.07 ,36.82,36.82,36.75,36.78,"2,676,856","98,452,965",112,36.76,36.77,"893,192,000",36.77,9999.95,0.01
00687B,國泰20年美債,38.23,-0.01 ,38.23,38.23,38.23,38.23,"200,000","7,646,000",2,38.23,38.27,"438,787,000",38.23,9999.95,0.01
00694B,富邦美債1-3,40.28,+0.04,40.28,40.28,40.28,40.28,"300,000","12,084,000",3,40.26,40.37,"52,576,000",40.28,9999.95,0.01
00695B,富邦美債7-10,38.70,+0.03,38.61,38.70,38.61,38.70,"302,301","11,698,818",8,38.70,38.77,"116,686,000",38.70,9999.95,0.01
00696B,富邦美債20年,38.85,+0.04,38.74,38.85,38.74,38.73,"25,301,310","979,922,891",11,38.75,38.85,"308,181,000",38.85,9999.95,0.01
00697B,元大美債7-10,38.26,+0.07,38.27,38.27,38.26,38.27,"450,000","17,219,300",4,38.26,38.35,"55,712,000",38.26,9999.95,0.01
00718B,富邦中國政策債,20.07,+0.02,20.06,20.07,20.02,20.05,"598,000","11,989,120",18,20.04,20.09,"964,501,000",20.07,9999.95,0.01
00719B,元大美債1-3,31.43,+0.02,31.48,31.48,31.43,31.44,"452,000","14,210,810",6,31.43,31.48,"3,514,000",31.43,9999.95,0.01
00720B,元大投資級公司債,39.02,+0.13,39.03,39.03,39.00,39.01,"450,000","17,554,420",6,39.02,39.07,"186,109,000",39.02,9999.95,0.01
00721B,元大中國債3-5,45.16,+0.03,45.14,45.16,45.14,45.15,"451,000","20,362,330",9,45.15,45.22,"324,622,000",45.16,9999.95,0.01
00722B,群益15年IG電信債,40.02,+0.01,40.03,40.03,40.01,40.02,"202,000","8,083,060",6,39.85,40.03,"167,739,000",40.02,9999.95,0.01
00723B,群益15年IG科技債,38.34,-0.05 ,38.33,38.34,38.33,38.34,"200,000","7,667,000",4,38.34,38.54,"573,583,000",38.34,9999.95,0.01
00724B,群益10年IG金融債,37.61,-0.02 ,37.40,37.61,37.40,37.41,"3,200,000","119,721,000",30,37.48,37.78,"617,775,000",37.61,9999.95,0.01
00725B,國泰投資級公司債,40.00,-0.02 ,40.10,40.10,40.00,39.84,"24,504,000","976,240,200",5,39.86,39.95,"157,206,000",40.00,9999.95,0.01
00726B,國泰5Y+新興債,41.18,+0.05,41.13,41.18,41.04,41.11,"9,000","369,950",9,40.97,41.17,"3,989,000",41.18,9999.95,0.01
00727B,國泰1-5Y高收債,43.68,+0.10,43.68,43.68,43.68,43.68,"2,000","87,360",2,43.41,43.68,"14,189,000",43.68,9999.95,0.01
00734B,台新JPM新興債,20.75,-0.01 ,20.71,20.77,20.71,20.75,"1,067,000","22,139,640",32,20.76,20.78,"33,979,000",20.75,9999.95,0.01
00740B,富邦全球投等債,40.95,+0.10,41.09,41.09,40.95,40.98,"322,000","13,194,170",12,40.79,41.16,"5,971,000",40.95,9999.95,0.01
00741B,富邦全球高收債,41.25,+0.30,41.30,41.30,41.25,41.28,"240,000","9,906,000",7,41.25,41.56,"5,628,000",41.25,9999.95,0.01
00744B,國泰中國政金債5+,39.92,-0.06 ,39.84,40.10,39.84,40.00,"8,000","320,010",7,39.92,40.04,"218,228,000",39.92,9999.95,0.01
00745B,富邦中政債0-1,39.55,+0.06,39.54,39.56,39.54,39.55,"102,000","4,034,100",9,39.53,39.60,"8,516,000",39.55,9999.95,0.01
00746B,富邦A級公司債,39.50,+0.10,39.55,39.55,39.50,39.50,"103,000","4,068,640",10,39.41,39.61,"5,464,000",39.50,9999.95,0.01
00747B,FH中國政策債,49.63,+0.18,49.63,49.63,49.63,49.63,"1,000","49,630",1,49.26,49.64,"221,000,000",49.63,9999.95,0.01
00748B,凱基中國債3-10,39.79,-0.04 ,39.79,39.79,39.79,39.79,"200,000","7,958,000",7,39.76,39.90,"60,500,000",39.79,9999.95,0.01
00749B,凱基新興債10+,39.84,-0.03 ,39.84,39.84,39.84,39.84,"200,000","7,968,000",9,39.80,39.94,"5,500,000",39.84,9999.95,0.01
00750B,凱基科技債10+,39.02,-0.07 ,39.02,39.02,39.02,39.02,"200,000","7,804,000",10,39.02,39.16,"26,000,000",39.02,9999.95,0.01
1240,茂生農經,41.40,+0.20,41.40,41.50,41.40,41.43,"4,000","165,700",4,41.00,41.10,"33,000,000",41.40,45.50,37.30
1258,其祥-KY, ---,--- ,---,---,---,24.15,0,0,0,24.80,25.55,"36,816,458",25.55,28.10,23.00
1259,安心,70.10,-0.20 ,70.50,70.50,69.90,70.12,"13,021","913,091",16,70.00,70.10,"32,389,500",70.10,77.10,63.10
1264,德麥,208.50,-0.50 ,209.00,209.00,208.00,208.48,"9,288","1,936,332",27,208.00,209.00,"33,695,970",208.50,229.00,188.00
1268,漢來美食,134.50,0.00 ,134.00,134.50,134.00,134.25,"2,000","268,500",2,132.50,134.50,"39,296,730",134.50,147.50,121.50
1333,恩得利, ---,--- ,---,---,---,2.00,5,10,1,2.19,2.30,"74,515,375",2.29,2.51,2.07
1336,台翰,16.55,-0.05 ,16.50,16.55,16.40,16.47,"40,000","658,750",19,16.45,16.55,"83,193,419",16.55,18.20,14.90
1565,精華,610.00,-39.00 ,635.00,636.00,609.00,618.86,"701,859","434,351,298",678,610.00,612.00,"50,416,516",610.00,671.00,549.00
1566,捷邦,16.40,+0.05,16.35,16.40,16.30,16.34,"41,040","670,607",28,16.30,16.40,"86,467,028",16.40,18.00,14.80
1569,濱川,19.20,+0.95,19.20,19.80,18.75,19.26,"2,737,388","52,722,498","1,689",19.20,19.35,"112,713,264",19.20,21.10,17.30
1570,力肯,13.00,-0.05 ,13.00,13.00,13.00,13.00,"4,000","52,000",3,12.90,13.05,"51,500,839",13.00,14.30,11.70
1580,新麥,142.00,+1.00,141.00,142.00,141.00,141.56,"12,441","1,761,122",21,141.50,143.50,"50,230,242",142.00,156.00,128.00
1584,精剛,7.68,+0.01,7.67,7.80,7.62,7.66,"75,374","577,712",29,7.65,7.70,"82,470,533",7.68,8.44,6.92
1586,和勤,38.05,+0.05,38.00,38.20,37.85,38.00,"79,532","3,022,236",54,38.05,38.10,"76,488,857",38.05,41.85,34.25
1591,駿吉-KY,32.35,+0.45,32.20,32.60,31.90,32.10,"54,000","1,733,350",27,31.90,32.35,"33,164,807",32.35,35.55,29.15
1593,祺驊,42.80,-0.10 ,42.85,42.85,42.80,42.81,"10,000","428,050",4,42.65,43.30,"31,948,455",42.80,47.05,38.55
1595,川寶,49.60,-0.70 ,50.40,50.40,49.60,50.03,"31,001","1,550,849",24,49.50,50.80,"47,148,134",49.60,54.50,44.65
1597,直得,110.50,+0.50,111.00,112.50,109.50,111.26,"1,723,144","191,724,340","1,288",110.50,111.00,"73,806,862",110.50,121.50,99.50
1599,宏佳騰,38.35,-0.45 ,38.75,38.75,38.35,38.50,"19,493","750,556",19,38.40,38.45,"62,002,519",38.35,42.15,34.55
1742,台蠟,19.80,-0.15 ,20.00,20.00,19.80,19.87,"14,000","278,200",10,19.75,19.90,"55,050,000",19.80,21.75,17.85
1752,南光,32.65,-0.25 ,32.90,32.90,32.65,32.74,"29,000","949,500",25,32.65,32.95,"100,988,472",32.65,35.90,29.40
1777,生泰, ---,--- ,---,---,---,79.47,15,"1,192",1,78.50,79.30,"30,059,550",79.30,87.20,71.40
1781,合世,12.25,+0.25,12.00,12.35,12.00,12.21,"71,010","867,071",40,12.10,12.25,"47,407,605",12.25,13.45,11.05
1784,訊聯,29.30,-0.60 ,30.30,30.30,29.10,29.64,"702,238","20,816,829",475,29.25,29.35,"49,688,924",29.30,32.20,26.40
