006201,元大富櫃50,12.28,-0.07 ,12.35,12.35,12.28,12.30,"74,000","910,340",31,12.27,12.31,"16,446,000",12.28,13.50,11.06
3226,至寶電,52.00,-0.30 ,52.30,52.30,52.00,52.02,"14,000","728,300",4,52.10,52.40,"64,430,573",52.00,57.20,46.80
3227,原相,112.00,-0.50 ,112.00,113.00,110.50,111.56,"932,741","104,054,103",723,111.50,112.00,"133,917,192",112.00,123.00,101.00
3228,金麗科,27.10,-0.85 ,27.65,28.35,26.65,27.46,"519,000","14,250,750",340,27.10,27.20,"67,792,705",27.10,29.80,24.40
3230,錦明,6.00,-0.16 ,5.95,6.00,5.95,5.99,"85,000","508,820",25,6.00,6.10,"107,746,524",6.00,6.60,5.40
3232,昱捷,23.35,-0.35 ,23.70,24.10,23.30,23.62,"49,000","1,157,550",34,23.30,23.70,"36,567,865",23.35,25.65,21.05
3234,光環,27.65,+0.15,27.50,27.70,27.50,27.60,"89,302","2,464,554",85,27.65,27.70,"72,527,692",27.65,30.40,24.90
3236,千如,30.00,+0.30,29.80,30.40,29.80,30.00,"315,309","9,457,930",249,29.95,30.00,"85,641,378",30.00,33.00,27.00
3252,海灣,16.95,+0.10,16.85,17.10,16.85,17.01,"198,337","3,374,178",61,16.95,17.00,"50,195,754",16.95,18.60,15.30
3259,鑫創,22.55,-0.15 ,22.50,22.70,22.30,22.50,"63,000","1,417,750",26,22.55,22.60,"80,859,553",22.55,24.80,20.30
3260,威剛,49.75,-0.55 ,50.10,50.10,49.70,49.87,"718,201","35,816,300",509,49.70,49.75,"224,172,374",49.75,54.70,44.80
3264,欣銓,37.45,0.00 ,37.85,38.30,37.40,37.73,"1,042,227","39,324,752",671,37.45,37.50,"490,396,211",37.45,41.15,33.75
3265,台星科,30.40,-0.10 ,30.75,30.90,30.30,30.55,"281,004","8,583,571",195,30.40,30.50,"136,261,659",30.40,33.40,27.40
3268,海德威,13.90,+0.10,13.85,13.90,13.85,13.89,"7,000","97,250",7,13.75,13.90,"33,426,272",13.90,15.25,12.55
3272,東碩,32.20,-0.45 ,32.65,32.65,32.15,32.39,"27,448","888,975",26,32.15,32.40,"52,264,966",32.20,35.40,29.00
3276,宇環,12.15,+0.15,12.15,12.15,12.15,12.15,"1,000","12,150",1,11.85,12.25,"69,712,666",12.15,13.35,10.95
3284,太普高,17.30,-0.40 ,17.75,17.75,17.30,17.47,"127,000","2,218,650",57,17.30,17.35,"55,961,790",17.30,19.00,15.60
3285,微端,24.60,+1.05,23.65,24.75,23.65,24.48,"777,098","19,020,651",517,24.60,24.65,"44,109,324",24.60,27.05,22.15
3287,廣寰科,8.61,-0.13 ,8.72,8.72,8.61,8.67,"17,000","147,410",10,8.63,8.71,"43,970,483",8.61,9.47,7.75
3288,點晶,4.58,+0.18,4.70,4.70,3.96,4.22,"20,500","86,503",14,4.02,4.58,"56,650,148",4.58,5.03,4.13
3289,宜特,51.40,-1.40 ,52.00,52.60,51.00,51.59,"193,155","9,965,081",187,51.20,51.40,"63,575,121",51.40,56.50,46.30
3290,東浦,20.50,+0.55,20.05,20.50,19.90,20.33,"622,600","12,656,890",269,20.50,20.60,"99,548,926",20.50,22.55,18.45
3293,鈊象,151.00,+8.00,144.00,156.00,144.00,150.04,"601,663","90,272,442",537,151.00,151.50,"70,087,140",151.00,166.00,136.00
3294,英濟,14.05,+0.05,14.05,14.30,14.05,14.19,"35,021","497,046",23,14.00,14.20,"132,015,919",14.05,15.45,12.65
3297,杭特,15.35,0.00 ,15.35,15.40,15.25,15.33,"25,050","384,067",22,15.25,15.35,"36,859,845",15.35,16.85,13.85
3299,帛漢,45.20,+0.05,45.15,45.80,45.15,45.33,"202,118","9,161,928",156,45.15,45.20,"61,194,225",45.20,49.70,40.70
3303,岱稜,18.55,-0.05 ,18.60,18.60,18.50,18.55,"37,347","692,884",19,18.50,18.55,"96,089,607",18.55,20.40,16.70
3306,鼎天,19.70,+0.05,19.70,19.75,19.70,19.73,"18,104","357,138",12,19.65,19.70,"50,607,702",19.70,21.65,17.75
3310,佳穎,39.05,-0.25 ,39.00,39.30,39.00,39.15,"76,880","3,009,706",68,39.00,39.05,"62,781,586",39.05,42.95,35.15
3313,斐成,26.30,+0.05,26.25,26.65,26.25,26.37,"85,000","2,241,500",53,26.30,26.40,"83,770,776",26.30,28.90,23.70
3317,尼克森,38.30,-1.35 ,40.00,40.00,38.30,39.11,"3,302,865","129,177,459","2,126",38.30,38.40,"61,251,550",38.30,42.10,34.50
3322,建舜電,9.34,-0.06 ,9.29,9.34,9.19,9.25,"67,365","623,030",37,9.23,9.34,"86,415,616",9.34,10.25,8.41
3323,加百裕,40.30,+0.35,39.60,40.30,39.50,39.89,"1,781,977","71,088,369","1,133",40.15,40.30,"86,799,914",40.30,44.30,36.30
3324,雙鴻,49.80,+1.80,48.55,50.40,47.30,49.08,"1,109,013","54,434,445",786,49.70,49.80,"82,680,953",49.80,54.70,44.85
3325,旭品,12.60,0.00 ,12.65,12.80,12.60,12.66,"75,041","949,712",44,12.55,12.70,"74,634,579",12.60,13.85,11.35
3332,幸康,40.65,-0.05 ,39.05,40.65,39.05,39.62,"3,000","118,850",3,39.25,40.70,"48,104,246",40.65,44.70,36.60
3339,泰谷,8.23,+0.22,8.01,8.26,8.00,8.06,"10,937","88,185",14,8.10,8.14,"96,181,442",8.23,9.05,7.41
3354,律勝,18.05,+0.25,17.80,18.40,17.80,18.14,"118,000","2,140,950",82,18.05,18.10,"70,112,426",18.05,19.85,16.25
3360,尚立,20.35,+0.25,20.20,20.55,20.20,20.34,"3,998,003","81,322,361","1,936",20.35,20.45,"75,456,054",20.35,22.35,18.35
3362,先進光,51.00,-0.90 ,51.90,52.40,51.00,51.57,"537,102","27,696,602",340,51.00,51.50,"110,858,706",51.00,56.10,45.90
3363,上詮,26.10,-0.05 ,26.15,26.25,25.90,26.16,"224,000","5,860,150",53,25.95,26.10,"77,474,145",26.10,28.70,23.50
3372,典範,5.46,0.00 ,5.41,5.47,5.39,5.45,"246,000","1,340,320",39,5.40,5.46,"407,330,000",5.46,6.00,4.92
3373,熱映,17.35,-0.05 ,17.25,17.35,17.20,17.26,"38,694","667,885",29,17.35,17.40,"43,289,801",17.35,19.05,15.65
3374,精材,45.40,-0.90 ,46.00,46.50,45.40,45.90,"1,758,122","80,692,023","1,097",45.40,45.60,"271,794,916",45.40,49.90,40.90
3379,彬台,10.55,+0.05,10.40,10.55,10.35,10.42,"20,030","208,768",17,10.50,10.55,"38,041,748",10.55,11.60,9.50
3388,崇越電,73.50,-0.50 ,73.70,73.70,73.00,73.22,"166,000","12,155,300",116,73.30,73.50,"64,061,000",73.50,80.80,66.20
3390,旭軟,23.60,+0.40,23.55,23.75,23.35,23.51,"87,000","2,045,050",38,23.40,23.60,"66,981,059",23.60,25.95,21.25
3402,漢科,30.30,0.00 ,30.40,30.45,30.30,30.35,"122,099","3,705,454",84,30.30,30.40,"73,047,692",30.30,33.30,27.30
3426,台興,53.70,-0.70 ,54.40,54.50,53.70,54.34,"8,050","437,400",7,53.60,54.40,"26,400,000",53.70,59.00,48.35
3431,長天,5.30,-0.05 ,5.30,5.30,5.30,5.30,"1,000","5,300",1,5.30,5.50,"35,458,704",5.30,5.83,4.77
3434,哲固,14.00,-0.15 ,13.95,14.25,13.95,14.05,"68,000","955,500",32,14.00,14.25,"22,700,000",14.00,15.40,12.60
3438,類比科,15.20,+0.10,15.20,15.25,15.10,15.21,"22,324","339,542",21,15.20,15.25,"67,379,735",15.20,16.70,13.70
3441,聯一光,26.00,+0.05,25.95,26.35,25.95,26.08,"80,091","2,089,016",67,26.00,26.10,"40,039,920",26.00,28.60,23.40
3444,利機,22.45,-0.35 ,22.60,22.90,22.45,22.54,"76,000","1,712,850",30,22.45,22.75,"39,114,586",22.45,24.65,20.25
3452,益通,3.82,-0.01 ,3.74,3.82,3.72,3.76,"79,655","299,201",39,3.80,3.82,"779,449,742",3.82,4.20,3.44
3455,由田,49.50,+0.85,49.05,49.65,49.00,49.31,"420,310","20,724,395",196,49.50,49.55,"61,468,750",49.50,54.40,44.55
3465,祥業,20.85,+0.30,20.85,20.85,20.85,20.85,"2,000","41,700",1,20.55,20.85,"17,160,335",20.85,22.90,18.80
3466,致振,12.10,0.00 ,12.10,12.10,12.10,12.10,"6,000","72,600",4,12.10,12.45,"60,887,573",12.10,13.30,10.90
3479,安勤,40.90,0.00 ,40.95,41.00,40.60,40.86,"65,001","2,656,092",39,40.80,40.90,"69,194,164",40.90,44.95,36.85
3483,力致,20.45,-0.05 ,20.60,20.60,20.45,20.54,"33,000","677,950",18,20.45,20.55,"53,856,000",20.45,22.45,18.45
3484,崧騰,31.20,-0.25 ,31.50,31.50,30.90,31.08,"28,410","883,079",31,31.00,31.20,"69,736,557",31.20,34.30,28.10
3489,森寶,9.14,+0.16,9.08,9.15,9.02,9.07,"353,000","3,202,820",151,9.08,9.14,"83,130,670",9.14,10.05,8.23
3490,單井,20.30,+0.05,20.30,20.35,20.25,20.31,"60,127","1,221,127",39,20.30,20.35,"68,760,483",20.30,22.30,18.30
3491,昇達科,71.40,-0.60 ,72.30,72.30,71.20,71.49,"88,000","6,291,400",70,71.40,71.80,"56,081,241",71.40,78.50,64.30
3492,長盛,21.90,+0.20,21.90,21.95,21.80,21.87,"25,000","546,650",21,21.85,21.95,"35,531,600",21.90,24.05,19.75
3498,陽程,32.05,-0.20 ,32.20,32.70,31.70,32.12,"208,110","6,684,245",139,32.00,32.25,"91,675,725",32.05,35.25,28.85
3499,環天科,13.60,0.00 ,13.65,13.75,13.50,13.64,"60,665","827,526",47,13.60,13.70,"54,970,596",13.60,14.95,12.25
3508,位速,40.55,-0.40 ,40.55,41.25,39.80,40.48,"1,069,504","43,292,213",710,40.20,40.60,"101,537,737",40.55,44.60,36.50
3511,矽瑪,22.85,-0.45 ,23.60,23.70,22.85,23.20,"745,205","17,285,283",524,22.85,22.90,"44,572,945",22.85,25.10,20.60
3512,皇龍,33.25,-0.10 ,33.40,33.80,33.20,33.39,"35,000","1,168,550",26,33.20,33.50,"71,000,000",33.25,36.55,29.95
3516,亞帝歐,12.70,+0.50,12.25,13.30,12.00,12.81,"140,000","1,793,150",60,12.70,12.85,"51,913,216",12.70,13.95,11.45
3520,振維,6.91,-0.03 ,6.94,7.00,6.84,6.91,"121,000","836,380",33,6.91,7.04,"64,032,517",6.91,7.60,6.22
3521,鴻翊,12.95,+0.25,12.50,13.00,12.50,12.89,"29,000","373,800",15,12.75,13.15,"46,730,575",12.95,14.20,11.70
3522,御頂,25.40,0.00 ,25.35,25.80,25.05,25.47,"20,000","509,400",20,25.40,25.80,"72,600,000",25.40,27.90,22.90
3523,迎輝,15.50,-1.10 ,17.25,17.25,15.15,16.23,"68,372","1,109,570",34,15.40,16.00,"48,049,780",15.50,17.05,13.95
3526,凡甲,57.40,+0.40,56.10,57.40,56.10,56.96,"32,218","1,835,147",28,57.40,57.50,"65,837,193",57.40,63.10,51.70
3527,聚積,107.00,-2.50 ,108.50,111.00,107.00,108.36,"377,481","40,903,948",321,107.00,108.00,"40,051,510",107.00,117.50,96.30
3529,力旺,292.00,-3.00 ,295.00,296.00,278.00,286.80,"391,281","112,220,192",318,288.50,292.00,"75,790,742",292.00,321.00,263.00
3531,先益,21.05,-0.15 ,21.20,21.20,20.95,21.06,"19,000","400,200",11,21.05,21.15,"61,175,011",21.05,23.15,18.95
3537,堡達,26.95,-0.30 ,27.25,27.35,26.90,27.07,"154,206","4,174,008",110,26.90,26.95,"48,695,220",26.95,29.60,24.30
3540,曜越,29.40,+0.10,29.60,29.60,29.20,29.35,"120,000","3,522,500",83,29.35,29.40,"66,613,044",29.40,32.30,26.50
3541,西柏,58.90,-0.40 ,58.80,59.00,58.70,58.86,"64,000","3,767,000",58,58.90,59.20,"49,321,087",58.90,64.70,53.10
3546,宇峻,70.30,+0.50,69.60,70.70,69.60,70.13,"95,477","6,696,177",77,70.20,70.50,"41,747,917",70.30,77.30,63.30
3548,兆利,47.30,+0.05,47.25,47.40,47.10,47.26,"34,448","1,627,906",36,47.25,47.30,"60,551,398",47.30,52.00,42.60
3551,世禾,34.95,-0.05 ,34.90,35.00,34.50,34.79,"45,000","1,565,700",29,34.95,35.00,"56,774,890",34.95,38.40,31.50
3552,同致,82.00,0.00 ,82.20,83.30,81.60,82.21,"359,101","29,521,542",309,81.90,82.00,"85,592,949",82.00,90.20,73.80
3555,重鵬, ---,--- ,---,---,---,45.50,0,0,0,45.90,46.00,"35,550,000",46.00,50.60,41.40
3556,禾瑞亞,47.35,+0.20,47.30,47.60,47.30,47.53,"55,901","2,656,701",49,47.35,47.45,"59,468,675",47.35,52.00,42.65
3558,神準,113.00,+1.00,113.50,113.50,112.50,113.07,"26,300","2,973,700",28,113.00,113.50,"49,060,881",113.00,124.00,102.00
3562,頂晶科,14.00,0.00 ,14.00,14.00,13.60,13.85,"52,000","720,050",30,13.60,14.00,"78,090,000",14.00,15.40,12.60
3563,牧德,393.00,-1.00 ,390.00,401.50,390.00,395.34,"692,018","273,584,294",651,392.50,393.00,"42,608,234",393.00,432.00,354.00
3564,其陽, ---,--- ,---,---,---,19.70,278,"5,476",2,19.70,20.50,"22,529,100",19.70,21.65,17.75
3567,逸昌,27.30,0.00 ,27.30,27.60,27.30,27.40,"70,028","1,918,858",40,27.30,27.40,"35,474,000",27.30,30.00,24.60
3570,大塚,48.25,+1.15,47.60,48.70,47.60,48.29,"51,500","2,486,875",46,48.10,48.20,"17,097,000",48.25,53.00,43.45
3577,泓格,37.60,-0.10 ,37.70,37.70,37.60,37.65,"14,100","530,905",13,37.55,37.80,"48,058,343",37.60,41.35,33.85
3580,友威科,30.90,-0.65 ,31.45,31.45,30.25,30.89,"57,397","1,773,213",49,30.30,30.90,"39,470,657",30.90,33.95,27.85
3581,博磊,17.60,-0.10 ,17.80,17.80,17.60,17.63,"62,000","1,092,850",16,17.65,17.75,"51,776,000",17.60,19.35,15.85
3587,閎康,57.90,-0.20 ,57.80,58.10,57.80,57.87,"59,264","3,429,812",54,57.90,58.20,"62,313,157",57.90,63.60,52.20
3594,磐儀,22.10,-0.10 ,22.20,22.30,22.10,22.21,"62,000","1,377,200",38,22.10,22.30,"64,604,571",22.10,24.30,19.90
3609,東林,17.30,+1.20,16.35,17.65,15.95,16.77,"435,000","7,293,400",192,17.30,17.40,"30,339,387",17.30,19.00,15.60
3611,鼎翰,238.50,-1.00 ,238.00,239.00,236.50,238.31,"16,000","3,813,000",16,237.50,239.00,"38,555,400",238.50,262.00,215.00
3615,安可,18.15,+0.05,18.05,18.25,18.05,18.16,"33,339","605,584",32,18.15,18.25,"68,466,976",18.15,19.95,16.35
3623,富晶通,28.20,+0.05,28.10,28.50,28.10,28.29,"28,610","809,360",25,28.20,28.40,"29,307,588",28.20,31.00,25.40
3624,光頡,38.85,-0.50 ,39.45,40.45,38.80,39.66,"2,065,000","81,889,750","1,330",38.85,38.95,"117,340,842",38.85,42.70,35.00
3625,西勝,24.00,-0.25 ,24.00,24.25,24.00,24.10,"188,004","4,530,696",86,24.00,24.20,"82,096,002",24.00,26.40,21.60
3628,盈正,39.30,+0.05,39.25,39.50,39.25,39.36,"11,200","440,880",15,39.25,39.50,"45,000,000",39.30,43.20,35.40
3629,地心引力, ---,--- ,---,---,---,25.95,0,0,0,25.55,26.55,"16,202,455",25.95,28.50,23.40
3630,新鉅科,69.10,+0.10,69.50,70.90,68.50,69.81,"2,899,601","202,417,888","1,648",69.10,69.20,"160,357,848",69.10,76.00,62.20
3631,晟楠,26.50,+0.05,26.50,26.50,26.50,26.50,"2,000","53,000",2,26.30,26.50,"79,920,909",26.50,29.15,23.85
3632,研勤,13.50,+0.15,13.50,13.55,13.50,13.51,"12,000","162,100",10,13.50,13.55,"47,189,738",13.50,14.85,12.15
3642,駿熠電,17.95,-1.05 ,19.20,19.20,17.90,18.60,"1,038,109","19,312,040",453,17.95,18.00,"33,368,642",17.95,19.70,16.20
3646,艾恩特,18.45,0.00 ,18.50,18.50,18.45,18.48,"22,000","406,450",15,18.40,18.45,"39,061,371",18.45,20.25,16.65
3652,精聯,18.50,-0.10 ,18.60,18.60,18.50,18.54,"9,000","166,900",9,18.55,18.70,"47,097,500",18.50,20.35,16.65
3663,鑫科,19.30,-0.45 ,19.75,19.80,19.30,19.45,"69,018","1,342,246",49,19.30,19.50,"73,498,057",19.30,21.20,17.40
3664,安瑞-KY,10.80,-0.40 ,10.95,10.95,10.80,10.86,"77,015","836,411",41,10.80,10.90,"52,522,461",10.80,11.85,9.72
3666,光耀,16.30,+0.25,16.15,16.45,16.10,16.22,"57,000","924,750",42,16.15,16.30,"48,299,600",16.30,17.90,14.70
