006201,元大富櫃50,13.32,+0.07,13.35,13.42,13.32,13.35,"85,000","1,134,930",30,13.32,13.40,"15,946,000",13.32,14.65,11.99
1584,精剛,8.05,+0.09,7.98,8.23,7.94,8.07,"296,001","2,387,448",143,7.95,8.05,"82,470,533",8.05,8.85,7.25
1586,和勤,38.40,-0.05 ,38.50,38.95,38.35,38.62,"230,000","8,882,300",134,38.40,38.50,"76,488,857",38.40,42.20,34.60
1591,駿吉-KY,35.00,-0.90 ,36.10,36.10,35.00,35.36,"31,000","1,096,300",27,35.00,35.25,"33,164,807",35.00,38.50,31.50
1593,祺驊,43.50,+0.40,43.20,43.70,43.20,43.48,"6,120","266,072",6,43.50,44.05,"31,948,455",43.50,47.85,39.15
1595,川寶,50.50,0.00 ,50.50,50.50,50.30,50.47,"6,000","302,800",6,50.40,50.70,"47,148,134",50.50,55.50,45.45
1597,直得,124.50,0.00 ,126.00,128.00,124.50,126.11,"1,383,746","174,503,123","1,155",124.50,125.50,"73,806,862",124.50,136.50,112.50
1599,宏佳騰,33.85,0.00 ,33.80,34.00,33.70,33.87,"5,000","169,350",5,33.70,33.85,"62,002,519",33.85,37.20,30.50
1742,台蠟,20.90,0.00 ,20.90,20.90,20.80,20.85,"74,000","1,542,900",31,20.90,21.00,"55,050,000",20.90,22.95,18.85
1752,南光,33.75,+0.10,33.70,33.85,33.70,33.79,"55,058","1,860,619",21,33.75,33.80,"100,988,472",33.75,37.10,30.40
1777,生泰,79.80,-0.50 ,80.30,80.60,78.20,79.46,"23,358","1,856,038",25,79.80,80.00,"30,059,550",79.80,87.70,71.90
1781,合世,11.75,-0.05 ,11.60,11.75,11.60,11.62,"17,000","197,500",10,11.60,11.75,"47,407,605",11.75,12.90,10.60
1784,訊聯,26.55,-0.05 ,26.60,26.70,26.50,26.58,"23,101","614,090",19,26.50,26.70,"49,688,924",26.55,29.20,23.90
1785,光洋科,20.55,-0.15 ,20.90,20.90,20.55,20.63,"437,959","9,035,456",253,20.55,20.65,"398,501,243",20.55,22.60,18.50
1787,福盈科,23.00,-0.20 ,23.15,23.15,23.00,23.07,"23,000","530,500",12,23.00,23.10,"67,888,504",23.00,25.30,20.70
1788,杏昌,99.70,-0.20 ,99.80,99.90,99.70,99.75,"8,040","802,020",9,99.70,99.90,"35,000,000",99.70,109.50,89.80
1795,美時,62.50,-0.50 ,63.10,63.30,62.30,62.79,"540,290","33,922,297",445,62.50,62.70,"238,200,744",62.50,68.70,56.30
1796,金穎生技,45.80,+1.20,45.00,45.80,45.00,45.33,"12,000","544,000",9,45.50,46.00,"27,440,391",45.80,50.30,41.25
1799,易威,17.00,+0.05,17.25,17.25,17.00,17.04,"7,000","119,250",3,17.00,17.15,"98,842,678",17.00,18.70,15.30
1813,寶利徠,20.10,+0.20,20.10,20.10,19.90,19.98,"53,100","1,060,890",24,19.90,20.10,"46,635,510",20.10,22.10,18.10
