006201,元大富櫃50,13.22,0.00 ,13.22,13.24,13.22,13.22,"11,000","145,450",9,13.16,13.20,"15,946,000",13.22,14.54,11.90
4728,雙美,30.65,+0.15,30.50,30.75,30.45,30.60,"65,000","1,989,200",38,30.55,30.65,"54,463,000",30.65,33.70,27.60
4729,熒茂,14.20,0.00 ,14.20,14.20,14.00,14.08,"64,000","901,150",33,14.00,14.20,"104,757,000",14.20,15.60,12.80
4735,豪展,38.60,-0.20 ,38.80,39.00,38.55,38.78,"18,160","704,300",14,38.55,38.90,"34,111,375",38.60,42.45,34.75
4736,泰博,165.00,-3.00 ,168.00,169.00,164.00,165.79,"856,634","142,024,194",671,164.50,165.00,"79,860,507",165.00,181.50,148.50
4741,泓瀚,49.10,-1.60 ,50.10,50.10,49.10,49.35,"8,010","395,291",9,49.05,49.70,"32,841,584",49.10,54.00,44.20
4743,合一,26.40,+1.10,25.60,27.00,25.50,26.42,"687,300","18,155,918",483,26.30,26.40,"195,752,229",26.40,29.00,23.80
4744,皇將,34.40,-0.35 ,34.50,34.70,34.30,34.54,"31,172","1,076,751",27,34.40,34.60,"45,608,664",34.40,37.80,31.00
4745,合富-KY,43.10,+0.10,43.40,43.40,42.90,43.06,"60,838","2,619,684",51,43.10,43.20,"63,467,894",43.10,47.40,38.80
4747,強生,39.85,+0.30,39.40,39.85,39.40,39.45,"24,000","946,750",13,39.40,39.90,"30,018,750",39.85,43.80,35.90
4754,國碳科,50.60,+0.10,50.00,51.50,50.00,50.81,"68,040","3,456,840",44,50.30,51.30,"15,634,340",50.60,55.60,45.55
4803,VHQ-KY,156.00,+2.00,153.00,156.00,151.00,153.54,"207,100","31,798,400",173,155.50,156.00,"39,126,223",156.00,171.50,140.50
4804,大略-KY,17.05,-0.30 ,17.20,17.25,16.95,17.07,"57,000","973,000",47,17.00,17.10,"36,031,920",17.05,18.75,15.35
4806,昇華,14.85,-0.65 ,15.00,15.00,14.60,14.85,"32,000","475,100",24,14.70,14.85,"31,824,185",14.85,16.30,13.40
4903,聯光通,16.20,+0.20,16.30,16.80,16.20,16.44,"570,004","9,368,214",295,16.20,16.25,"90,279,327",16.20,17.80,14.60
4905,台聯電,65.00,0.00 ,65.20,65.20,65.00,65.10,"2,015","131,175",3,63.80,65.10,"41,522,516",65.00,71.50,58.50
4907,富宇,21.75,-0.10 ,21.50,21.85,21.00,21.40,"71,000","1,519,750",53,21.60,21.75,"118,145,778",21.75,23.90,19.60
