盈餘發放年度,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,股利總計現金(億),股利總計股票(千張),董監酬勞合計(百萬),董監酬勞合計佔淨利(%),員工紅利現金(億),員工紅利股票(千張),股價年度,股價統計(元)最高,股價統計(元)最低,股價統計(元)年均,年均殖利率(%)現金,年均殖利率(%)股票,年均殖利率(%)合計,盈餘年度,EPS(元),盈餘分配率(%)配息,盈餘分配率(%)配股,盈餘分配率(%)合計
2018,0,0,0,0,0,0,0,0,0,-,-,-,-,2018,19.7,14.95,16.9,0,0,0,2017,-0.03,0,0,0
2017,0,0,0,0,0,0,0,0,0,-,-,-,-,2017,23,16.7,18.7,0,0,0,2016,0.17,0,0,0
2016,4.5,0,4.5,0,0,0,4.5,12.6,0,-,-,-,-,2016,33.15,16,23.3,19.4,0,19.4,2015,15.03,29.9,0,29.9
2015,1.5,0,1.5,0,0,0,1.5,4.79,0,0,0,0,0,2015,31.8,13.75,23,6.51,0,6.51,2014,1.15,130,0,130
2014,0.8,0,0.8,0,0,0,0.8,2.55,0,0,0,0,0,2014,17.95,12.8,15,5.35,0,5.35,2013,0.87,92,0,92
2013,0.2,0,0.2,0,0,0,0.2,0.64,0,0,0,0,0,2013,13.95,11.4,12.4,1.61,0,1.61,2012,1.17,17.1,0,17.1
2012,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,14.9,10.3,13.1,0,0,0,2011,1.31,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,2011,22.75,9.68,17.5,0,0,0,2010,1,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,22.55,9.91,15.1,0,0,0,2009,0.8,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,2009,12.5,3.51,7.73,0,0,0,2008,-1.06,0,0,0
2008,0,0,0,0,0,0,0,-,-,0,0,0,0,2008,10.2,2.73,6.26,0,0,0,2007,-1.11,0,0,0
2007,0,0,0,0,0,0,0,-,-,0,0,0,-,2007,17.2,7.22,13,0,0,0,2006,-2.24,0,0,0
2006,0.1,0,0.1,0,0,0,0.1,-,-,1,0.75,0.05,-,2006,16.45,9.8,12.3,0.81,0,0.81,2005,0.29,34.5,0,34.5
2005,0.5,0,0.5,0.3,0,0.3,0.8,-,-,8,1.27,0,-,2005,15.9,7.75,12.2,4.1,2.46,6.55,2004,1.43,35,21,55.9
2004,0.51,0,0.51,0.3,0,0.3,0.81,-,-,5,1.17,0,-,2004,24.6,13.4,18.2,2.78,1.67,4.44,2003,1.01,50,30,80.1
2003,0,0,0,0,0,0,0,-,-,-,-,-,-,2003,23.4,10.2,15.2,0,0,0,2002,1.1,0,0,0
2002,0,0,0,0,0,0,0,-,-,0,0,0,-,2002,26.2,13.4,18.9,0,0,0,2001,-0.99,0,0,0
2001,1.5,0,1.5,0,0,0,1.5,-,-,0,0,0,-,2001,45.9,9.55,23.1,6.49,0,6.49,2000,2.89,51.9,0,51.9
2000,0,0,0,0.61,0.39,1,1,-,-,0,0,0,-,2000,66.5,21.8,46.9,0,2.13,2.13,1999,0.94,0,106,106
1999,0,0,0,2.5,0,2.5,2.5,-,-,0,0,0,-,1999,81,33.5,51.7,0,4.83,4.83,1998,3.32,0,75.3,75.3
1998,0,0,0,3,0,3,3,-,-,0,0,0,-,1998,112,52,80.2,0,3.74,3.74,1997,3.01,0,99.7,99.7
1997,0,0,0,3,0,3,3,-,-,0,0,0,-,1997,143,49.3,81.4,0,3.69,3.69,1996,3.32,0,90.4,90.4
1996,0.5,0,0.5,3,0,3,3.5,-,-,0,0,0,-,1996,66,37.2,50.3,0.99,5.97,6.96,1995,4.68,10.7,64.1,74.8
1995,0,0,0,2,1,3,3,-,-,0,0,0,-,1995,73.5,43.3,57.3,0,5.24,5.24,1994,2.85,0,105,105
1994,0,0,0,1,1,2,2,-,-,0,0,0,-,1994,78,35.9,51.9,0,3.86,3.86,1993,1.42,0,141,141
1993,0,0,0,0.5,1,1.5,1.5,-,-,0,0,0,-,1993,44,23.2,32.2,0,4.66,4.66,1992,0.59,0,255,255
1992,0,0,0,1,0.5,1.5,1.5,-,-,0,0,0,-,1992,56,22.4,40.3,0,3.73,3.73,1991,1.08,0,139,139
1991,0,0,0,2,0,2,2,-,-,0,0,0,-,1991,104,37.4,66.6,0,3,3,1990,1.81,0,111,111
1989,0,0,0,3,0,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,1988,-,-,-,-
1988,0,0,0,5.78,0,5.78,5.78,-,-,-,-,-,-,-,-,-,-,-,-,-,1987,-,-,-,-
平均,0.34,0,0.34,0.93,0.13,1.06,1.4,,,,,,,平均,43.4,19.6,30,1.7,1.6,3.3,平均,1.64,16.1,44.2,60.4
累計,10.1,0,10.1,28,3.89,31.9,42,,,,,,,累計,,,,,,,累計,45.8,,,
