盈餘發放年度,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,股利總計現金(億),股利總計股票(千張),董監酬勞合計(百萬),董監酬勞合計佔淨利(%),員工紅利現金(億),員工紅利股票(千張),股價年度,股價統計(元)最高,股價統計(元)最低,股價統計(元)年均,年均殖利率(%)現金,年均殖利率(%)股票,年均殖利率(%)合計,盈餘年度,EPS(元),盈餘分配率(%)配息,盈餘分配率(%)配股,盈餘分配率(%)合計
2018,0,0,0,0,0,0,0,0,0,-,-,-,-,2018,16.2,8.52,11.7,0,0,0,2017,0.06,0,0,0
2017,0,0,0,0.5,0,0.5,0.5,0,8.63,-,-,-,-,2017,9.04,6.53,7.9,0,6.33,6.33,2016,0.65,0,76.9,76.9
2016,0,0,0,0,0,0,0,0,0,-,-,-,-,2016,7.44,5.57,6.27,0,0,0,2015,-1.16,0,0,0
2015,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,8.45,4.86,6.7,0,0,0,2014,-0.89,0,0,0
2014,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,11.15,7.5,9,0,0,0,2013,-0.38,0,0,0
2013,0.28,0,0.28,0,0,0,0.28,0.48,0,1.91,2.7,0.01,0,2013,12.25,8.75,10.1,2.78,0,2.78,2012,0.39,71.8,0,71.8
2012,1.1,0,1.1,0,0,0,1.1,2,0,6.86,2.7,0.05,0,2012,15.3,9.01,12.1,9.08,0,9.08,2011,1.45,75.9,0,75.9
2011,0.3,0,0.3,0,0,0,0.3,0.52,0,1.8,2.7,0.01,0,2011,19.75,12.5,15.7,1.91,0,1.91,2010,0.38,78.9,0,78.9
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,23.4,14,17.3,0,0,0,2009,-1.13,0,0,0
2009,2,0,2,0,0,0,2,3.08,0,13.3,2.7,0.09,0,2009,26.5,15.55,20.2,9.88,0,9.88,2008,3.55,56.3,0,56.3
2008,1.5,0,1.5,0,0,0,1.5,-,-,7.22,1.8,0.04,0,2008,23.5,19.7,20.7,7.26,0,7.26,2007,2.91,51.5,0,51.5
2007,1,0,1,0,0,0,1,-,-,-,-,-,-,-,-,-,-,-,-,-,2006,2.61,38.3,0,38.3
2006,1,0,1,0,0,0,1,-,-,3.83,1.8,0.02,-,-,-,-,-,-,-,-,2005,1.54,64.9,0,64.9
2005,1,0,1,0,0,0,1,-,-,6.93,1.8,0.03,-,-,-,-,-,-,-,-,2004,2.79,35.8,0,35.8
2004,0.8,0,0.8,0,0,0,0.8,-,-,-,-,-,-,-,-,-,-,-,-,-,2003,1.23,65,0,65
2003,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2002,1.01,-,-,-
平均,0.56,0,0.56,0.03,0,0.03,0.59,,,,,,,平均,15.7,10.2,12.5,2.8,0.6,3.4,平均,0.94,35.9,5.1,41
累計,8.98,0,8.98,0.5,0,0.5,9.48,,,,,,,累計,,,,,,,累計,15,,,
