盈餘發放年度,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,股利總計現金(億),股利總計股票(千張),董監酬勞合計(百萬),董監酬勞合計佔淨利(%),員工紅利現金(億),員工紅利股票(千張),股價年度,股價統計(元)最高,股價統計(元)最低,股價統計(元)年均,年均殖利率(%)現金,年均殖利率(%)股票,年均殖利率(%)合計,盈餘年度,EPS(元),盈餘分配率(%)配息,盈餘分配率(%)配股,盈餘分配率(%)合計
2018,2,0,2,0,0,0,2,8.22,0,-,-,-,-,2018,60.3,46,51.4,3.89,0,3.89,2017,2.76,72.5,0,72.5
2017,2.4,0,2.4,0,0,0,2.4,9.86,0,-,-,-,-,2017,61.3,44.3,51.7,4.64,0,4.64,2016,3.8,63.2,0,63.2
2016,2.7,0,2.7,0,0,0,2.7,11.1,0,-,-,-,-,2016,52.2,41.55,45.7,5.91,0,5.91,2015,4.53,59.6,0,59.6
2015,3,0,3,0,0,0,3,12.3,0,5.79,0.29,0.52,0,2015,78,41.9,59.9,5.01,0,5.01,2014,4.95,60.6,0,60.6
2014,2.5,0,2.5,0,0,0,2.5,10.3,0,5.42,0.32,0.49,0,2014,91.3,62.6,76.1,3.28,0,3.28,2013,4.19,59.7,0,59.7
2013,2.3,0,2.3,0,0,0,2.3,9.45,0,5.33,0.34,0.48,0,2013,95,53.2,70,3.28,0,3.28,2012,3.79,60.7,0,60.7
2012,2.2,0,2.2,0,0,0,2.2,9.04,0,5.34,0.36,0.48,0,2012,62.7,44.75,50.8,4.33,0,4.33,2011,3.61,60.9,0,60.9
2011,2,0,2,0,0,0,2,8.22,0,5.07,0.38,0.46,0,2011,58.6,38.4,48.9,4.09,0,4.09,2010,3.3,60.6,0,60.6
2010,1.5,0,1.5,0,0,0,1.5,6.16,0,3.98,0.39,0.36,0,2010,47.8,22.15,33.1,4.53,0,4.53,2009,2.5,60,0,60
2009,1,0,1,0,0,0,1,4.11,0,2.34,0.36,0.21,0,2009,27.3,12.3,19.3,5.17,0,5.17,2008,1.6,62.5,0,62.5
2008,1,0,1,0,0,0,1,-,-,3.58,0.43,0.32,0,2008,29.5,10.1,19.6,5.1,0,5.1,2007,2.02,49.5,0,49.5
2007,0.8,0,0.8,0,0,0,0.8,-,-,2.35,0.42,0.21,-,2007,31.85,18,22.5,3.56,0,3.56,2006,1.37,58.4,0,58.4
2006,1,0,1,0,0,0,1,-,-,2.12,0.39,0.19,-,2006,21.5,15.85,18,5.55,0,5.55,2005,1.32,75.8,0,75.8
2005,0.6,0,0.6,0,0,0,0.6,-,-,0.67,0.14,0.06,-,2005,24.95,16.35,19.3,3.1,0,3.1,2004,1.2,50,0,50
2004,0.8,0,0.8,0,0,0,0.8,-,-,1.55,0.27,0.14,-,2004,28.4,16.2,19.8,4.04,0,4.04,2003,1.4,57.1,0,57.1
