盈餘發放年度,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,股利總計現金(億),股利總計股票(千張),董監酬勞合計(百萬),董監酬勞合計佔淨利(%),員工紅利現金(億),員工紅利股票(千張),股價年度,股價統計(元)最高,股價統計(元)最低,股價統計(元)年均,年均殖利率(%)現金,年均殖利率(%)股票,年均殖利率(%)合計,盈餘年度,EPS(元),盈餘分配率(%)配息,盈餘分配率(%)配股,盈餘分配率(%)合計
2018,1.69,0,1.69,0,0,0,1.69,1.43,0,-,-,-,-,2018,85,60.8,67.5,2.5,0,2.5,2017,2.72,62.2,0,62.2
2017,1.7,0,1.7,0,0,0,1.7,1.48,0,-,-,-,-,2017,75.6,59.5,65.5,2.59,0,2.59,2016,3.15,54,0,54
2016,4,0,4,0,0,0,4,3.87,0,-,-,-,-,2016,78,60.7,69.2,5.77,0,5.77,2015,5.6,71.4,0,71.4
2015,6.98,0,6.98,0,0,0,6.98,7.02,0,9.78,1.38,0.64,0,2015,94.8,50.8,79.1,8.82,0,8.82,2014,7.06,98.9,0,98.9
2014,7,0,7,0,0,0,7,7.01,0,9.8,1.38,0.64,0,2014,102,83,91.6,7.64,0,7.64,2013,7.07,99,0,99
2013,7,0,7,0,0.6,0.6,7.6,6.6,5.66,8.11,1.24,0.59,0,2013,105,80.8,91.1,7.68,0.66,8.34,2012,6.9,101,8.7,110
2012,7,0,7,0,0,0,7,6.6,0,9.38,1.41,0.6,0,2012,112,62,92,7.61,0,7.61,2011,6.11,115,0,115
2011,6.99,0,6.99,0,0,0,6.99,8.24,0,10.4,1.25,0.75,0,2011,112,56.8,80.7,8.66,0,8.66,2010,7.08,98.7,0,98.7
2010,6.4,0,6.4,0.08,0,0.08,6.48,7.44,0.9,12.2,1.35,1.43,0.48,2010,168.5,107.5,132,4.83,0.06,4.89,2009,7.91,80.9,1,81.9
2009,7.49,0,7.49,0.1,0,0.1,7.59,8.47,1.13,14.9,1.35,0.74,1.34,2009,170,109.5,131,5.73,0.08,5.8,2008,9.81,76.3,1,77.4
2008,7.49,0,7.49,0.1,0,0.1,7.59,-,-,13.8,1.29,0.55,3.69,2008,162.5,93,134,5.61,0.07,5.68,2007,10.03,74.7,1,75.7
2007,6.48,0,6.48,0.1,0,0.1,6.58,-,-,15.4,1.71,0.49,-,2007,187.5,106.5,140,4.62,0.07,4.69,2006,8.81,73.6,1.1,74.7
2006,4.99,0,4.99,0.2,0,0.2,5.19,-,-,11.5,1.59,0.32,-,2006,157,80.5,110,4.53,0.18,4.71,2005,7.49,66.6,2.7,69.3
2005,2.98,0,2.98,0.99,0,0.99,3.98,-,-,7.79,1.28,0.16,-,2005,122.5,69.8,89,3.35,1.12,4.47,2004,7.3,40.9,13.6,54.5
2004,2.18,0,2.18,1.42,0,1.42,3.6,-,-,8.9,1.79,0,-,2004,174,71,105,2.07,1.35,3.43,2003,8.13,26.8,17.5,44.3
2003,1.7,0,1.7,1.7,0,1.7,3.39,-,-,5.88,1.78,0,-,2003,152,70.5,101,1.68,1.68,3.36,2002,6.77,25.1,25.1,50.1
2002,0,0,0,2.5,1,3.5,3.5,-,-,0,0,0,-,2002,157,84,115,0,3.05,3.05,2001,4.38,0,79.9,79.9
2001,0,0,0,5,0,5,5,-,-,0,0,0,-,2001,298,63,151,0,3.31,3.31,2000,7.55,0,66.2,66.2
2000,0,0,0,5,1.23,6.23,6.23,-,-,0,0,0,-,2000,281,177,228,0,2.73,2.73,1999,4.38,0,142,142
1999,0.71,0,0.71,2,5,7,7.71,-,-,0,0,0,-,-,-,-,-,-,-,-,1998,11.79,6,59.4,65.4
平均,4.14,0,4.14,0.96,0.39,1.35,5.49,,,,,,,平均,147,81.4,109,4.4,0.8,5.2,平均,7,58.6,21,79.5
累計,82.8,0,82.8,19.2,7.83,27,110,,,,,,,累計,,,,,,,累計,140,,,
