盈餘發放年度,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,股利總計現金(億),股利總計股票(千張),董監酬勞合計(百萬),董監酬勞合計佔淨利(%),員工紅利現金(億),員工紅利股票(千張),股價年度,股價統計(元)最高,股價統計(元)最低,股價統計(元)年均,年均殖利率(%)現金,年均殖利率(%)股票,年均殖利率(%)合計,盈餘年度,EPS(元),盈餘分配率(%)配息,盈餘分配率(%)配股,盈餘分配率(%)合計
2018,3,0,3,0,0,0,3,17.1,0,-,-,-,-,2018,57.8,49.8,54.4,5.52,0,5.52,2017,4.41,68,0,68
2017,2.75,0,2.75,0,0,0,2.75,15.6,0,-,-,-,-,2017,56.8,38.5,47.4,5.8,0,5.8,2016,3.94,69.8,0,69.8
2016,1.71,0.69,2.4,0,0,0,2.4,13.7,0,-,-,-,-,2016,42,31.9,37.7,6.37,0,6.37,2015,3.47,69.2,0,69.2
2015,2.8,0,2.8,0,0,0,2.8,15.9,0,61.1,2.7,3.06,0,2015,43.25,24.05,35.4,7.91,0,7.91,2014,3.98,70.4,0,70.4
2014,1.8,0.2,2,0,0,0,2,11.4,0,43.6,2.7,2.18,0,2014,44.2,27.45,36.7,5.45,0,5.45,2013,2.91,68.7,0,68.7
2013,0,1.6,1.6,0,0,0,1.6,8.87,0,33.4,2.7,1.67,0,2013,27.6,22.9,24.9,6.42,0,6.42,2012,2.24,71.4,0,71.4
2012,1.2,0,1.2,0,0,0,1.2,6.65,0,24.3,2.7,1.22,0,2012,26.5,20.7,23.3,5.16,0,5.16,2011,1.63,73.6,0,73.6
2011,2,0,2,0,0,0,2,11.1,0,40.5,2.61,2.03,0,2011,30.8,18.1,24.4,8.21,0,8.21,2010,2.82,70.9,0,70.9
2010,1.8,0,1.8,0.2,0,0.2,2,9.74,10.8,39.6,2.68,1.98,0,2010,36.75,27.95,31.3,5.74,0.64,6.38,2009,2.74,65.7,7.3,73
2009,1.6,0,1.6,0.4,0,0.4,2,8.31,20.8,38,2.36,1.9,0,2009,34.3,16.7,28,5.72,1.43,7.15,2008,3.1,51.6,12.9,64.5
2008,3,0,3,0.6,0,0.6,3.6,-,-,60.3,2.51,0.72,16.9,2008,43.65,16.1,32.6,9.2,1.84,11,2007,5.07,59.2,11.8,71
2007,2.8,0,2.8,0.8,0,0.8,3.6,-,-,54,2.53,0.65,-,2007,63,34.5,49.7,5.64,1.61,7.25,2006,5.07,55.2,15.8,71
2006,2.2,0,2.2,1,0,1,3.2,-,-,42,2.49,0.53,-,2006,45.3,33.1,38.6,5.69,2.58,8.27,2005,4.59,47.9,21.8,69.6
2005,2.09,0,2.09,0.89,0,0.89,2.98,-,-,34.7,2.51,0.42,-,2005,44.4,27,33.2,6.28,2.69,8.97,2004,4.4,47.4,20.3,67.7
2004,1.73,0,1.73,0.69,0,0.69,2.42,-,-,24.7,2.67,0,-,2004,50,25.6,34.4,5.02,2.01,7.03,2003,3.46,50,20,69.9
2003,1,0,1,1,0,1,2,-,-,16.8,2.64,0,-,2003,37.7,24,31,3.23,3.23,6.46,2002,2.75,36.4,36.4,72.7
2002,0.3,0,0.3,0.5,0,0.5,0.8,-,-,0,0,0,-,2002,50.5,16.9,31.5,0.95,1.59,2.54,2001,1.11,27,45,72.1
2001,0,0,0,1.8,0,1.8,1.8,-,-,0,0,0,-,2001,31.7,9.7,19,0,9.47,9.47,2000,2.85,0,63.2,63.2
2000,0,0,0,1.75,0.25,2,2,-,-,0,0,0,-,2000,46.4,13.5,24.1,0,8.29,8.29,1999,2.39,0,83.7,83.7
1999,0,0,0,1.95,0,1.95,1.95,-,-,-,-,-,-,-,-,-,-,-,-,-,1998,3.3,0,59.1,59.1
1998,0,0,0,3,0,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,1997,-,-,-,-
1997,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,1996,-,-,-,-
平均,1.44,0.11,1.56,0.66,0.01,0.67,2.23,,,,,,,平均,42.8,25.2,33.6,5.2,1.9,7,平均,3.31,50.1,19.9,70
累計,31.8,2.49,34.3,14.6,0.25,14.8,49.1,,,,,,,累計,,,,,,,累計,66.2,,,
