盈餘發放年度,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,股利總計現金(億),股利總計股票(千張),董監酬勞合計(百萬),董監酬勞合計佔淨利(%),員工紅利現金(億),員工紅利股票(千張),股價年度,股價統計(元)最高,股價統計(元)最低,股價統計(元)年均,年均殖利率(%)現金,年均殖利率(%)股票,年均殖利率(%)合計,盈餘年度,EPS(元),盈餘分配率(%)配息,盈餘分配率(%)配股,盈餘分配率(%)合計
2018,0,0,0,0,0,0,0,0,0,-,-,-,-,2018,10.75,6.1,7.08,0,0,0,2017,0.51,0,0,0
2017,0,0,0,0,0,0,0,0,0,-,-,-,-,2017,8.45,6.39,7.04,0,0,0,2016,-0.36,0,0,0
2016,0,0,0,0,0,0,0,0,0,-,-,-,-,2016,9.26,6,7.36,0,0,0,2015,0.47,0,0,0
2015,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,17,5.95,10.3,0,0,0,2014,3.52,0,0,0
2014,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,13.9,2.22,7.22,0,0,0,2013,-2.11,0,0,0
2013,0,0,0,0,0,0,0,0,0,0,0,0,0,2013,3.72,1.79,2.25,0,0,0,2012,-7.1,0,0,0
2012,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,5.64,1.5,3.15,0,0,0,2011,-3.66,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,2011,10.1,2.68,6.22,0,0,0,2010,1.39,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,7.85,2,3.78,0,0,0,2009,-5.09,0,0,0
2009,0,0,0,0,0,0,0,-,-,-,-,-,-,2009,7.02,2.05,3.56,0,0,0,2008,-2.26,0,0,0
2008,0,0,0,0,0,0,0,-,-,-,-,-,-,2008,20.75,7.02,13.2,0,0,0,2007,-0.92,0,0,0
2007,0,0,0,0,0,0,0,-,-,-,-,-,-,2007,31.5,4.19,13,0,0,0,2006,-0.23,0,0,0
2006,0,0,0,0,0,0,0,-,-,-,-,-,-,2006,7.27,0.82,2.17,0,0,0,2005,-0.38,0,0,0
2005,0,0,0,0,0,0,0,-,-,0,0,0,-,2005,2.81,0.79,1.41,0,0,0,2004,-18.24,0,0,0
2004,0,0,0,0,0,0,0,-,-,0,0,0,-,2004,14.9,0.8,7.05,0,0,0,2003,0.22,0,0,0
2003,0,0,0,0,0,0,0,-,-,-,-,-,-,2003,20.3,9.95,14,0,0,0,2002,0.21,0,0,0
2002,0,0,0,0,0,0,0,-,-,0,0,0,-,2002,33.9,14,22,0,0,0,2001,-4.23,0,0,0
2001,0.5,0,0.5,4.4,0.6,5,5.5,-,-,0,0,0,-,2001,98.5,14.5,47,1.06,10.6,11.7,2000,7.38,6.8,67.8,74.5
2000,0,0,0,2.1,2,4.1,4.1,-,-,0,0,0,-,2000,512,44.8,215,0,1.9,1.9,1999,2.86,0,143,143
1999,0,0,0,1.1,1,2.1,2.1,-,-,0,0,0,-,-,-,-,-,-,-,-,1998,2.29,0,91.7,91.7
1998,0,0,0,2.6,0,2.6,2.6,-,-,0,-,0,-,-,-,-,-,-,-,-,1997,-,-,-,-
1997,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,1996,-,-,-,-
平均,0.02,0,0.02,0.46,0.16,0.63,0.65,,,,,,,平均,44,7.03,20.7,0.1,0.7,0.7,平均,-1.29,0.3,15.1,15.5
累計,0.5,0,0.5,10.2,3.6,13.8,14.3,,,,,,,累計,,,,,,,累計,-25.7,,,
