盈餘發放年度,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,股利總計現金(億),股利總計股票(千張),董監酬勞合計(百萬),董監酬勞合計佔淨利(%),員工紅利現金(億),員工紅利股票(千張),股價年度,股價統計(元)最高,股價統計(元)最低,股價統計(元)年均,年均殖利率(%)現金,年均殖利率(%)股票,年均殖利率(%)合計,盈餘年度,EPS(元),盈餘分配率(%)配息,盈餘分配率(%)配股,盈餘分配率(%)合計
2018,4.2,0,4.2,0,0,0,4.2,4.82,0,-,-,-,-,2018,83,56.4,68.3,6.15,0,6.15,2017,3.65,115,0,115
2017,3.5,1,4.5,0,0,0,4.5,5.16,0,-,-,-,-,2017,64.6,48.45,55.6,8.09,0,8.09,2016,4.59,98,0,98
2016,2.85,0,2.85,0,0,0,2.85,3.27,0,-,-,-,-,2016,66.8,38.85,51.1,5.57,0,5.57,2015,3.13,91.1,0,91.1
2015,2.58,0,2.58,0,0,0,2.58,2.96,0,2.86,0.85,0.34,0,2015,53,31.05,40.3,6.41,0,6.41,2014,2.95,87.5,0,87.5
2014,1.8,0,1.8,0,0,0,1.8,2.07,0,1.9,0.75,0.23,0,2014,45.7,32.8,36.9,4.88,0,4.88,2013,2.21,81.4,0,81.4
2013,1.5,0,1.5,0,0,0,1.5,1.72,0,1.9,0.88,0.22,0,2013,38.55,24.6,30.4,4.93,0,4.93,2012,1.88,79.8,0,79.8
2012,1.5,0,1.5,0,0,0,1.5,1.72,0,1.9,0.9,0.22,0,2012,24.8,20.75,22.8,6.59,0,6.59,2011,1.79,83.8,0,83.8
2011,1.03,0,1.03,0,0,0,1.03,1.2,0,1.88,1.26,0.15,0,2011,30.8,19.75,25.7,3.99,0,3.99,2010,1.24,82.8,0,82.8
2010,2.58,0,2.58,0,0,0,2.58,3.1,0,2.3,0.72,0.32,0,2010,44.9,27.05,33.9,7.62,0,7.62,2009,2.66,97,0,97
2009,3.7,0,3.7,0.1,0,0.1,3.8,4.37,1.18,4.86,0.9,0.32,0.88,2009,52.1,32.2,40.2,9.2,0.25,9.45,2008,4.57,81,2.2,83.2
2008,4.3,0,4.3,0.1,0,0.1,4.4,-,-,5.7,0.9,0.13,3.85,2008,91.5,27,61.3,7.01,0.16,7.18,2007,5.56,77.3,1.8,79.1
2007,4,0,4,0.2,0,0.2,4.2,-,-,4.96,0.9,0.09,-,2007,138,58,88.2,4.54,0.23,4.76,2006,5.09,78.6,3.9,82.5
2006,3,0,3,0.2,0,0.2,3.2,-,-,5.7,1.5,0.07,-,2006,65.4,34.6,50.2,5.97,0.4,6.37,2005,3.66,82,5.5,87.4
2005,0.8,0,0.8,0.2,0,0.2,1,-,-,1.25,1.16,0.02,-,2005,40.4,14.95,24.9,3.21,0.8,4.02,2004,1,80,20,100
2004,1,0,1,0,0,0,1,-,-,1.2,1.36,0,-,2004,19.5,13.1,16.4,6.11,0,6.11,2003,0.78,128,0,128
2003,1,0,1,0,0,0,1,-,-,1.26,1.06,0.13,-,2003,23,14.1,16.9,5.93,0,5.93,2002,1.01,99,0,99
2002,2,0,2,0,0,0,2,-,-,0,0,0,-,2002,51,14.8,28.3,7.07,0,7.07,2001,3.03,66,0,66
2001,1.2,0,1.2,1,0.8,1.8,3,-,-,-,-,-,-,2001,64.5,20,42.6,2.82,4.23,7.05,2000,3.18,37.7,56.6,94.3
2000,0,0,0,3,0,3,3,-,-,0,0,0,-,2000,156,21,74.9,0,4,4,1999,4.29,0,69.9,69.9
1999,0,0,0,1,0,1,1,-,-,0,0,0,-,-,-,-,-,-,-,-,1998,1.82,0,54.9,54.9
1998,0,0,0,0,0,0,0,-,-,0,0,0,-,-,-,-,-,-,-,-,1997,2.62,0,0,0
平均,2.03,0.05,2.07,0.28,0.04,0.31,2.39,,,,,,,平均,60.7,28.9,42.6,5.6,0.5,6.1,平均,2.89,73.6,10.2,83.9
累計,42.5,1,43.5,5.8,0.8,6.6,50.1,,,,,,,累計,,,,,,,累計,60.7,,,
