盈餘發放年度,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,股利總計現金(億),股利總計股票(千張),董監酬勞合計(百萬),董監酬勞合計佔淨利(%),員工紅利現金(億),員工紅利股票(千張),股價年度,股價統計(元)最高,股價統計(元)最低,股價統計(元)年均,年均殖利率(%)現金,年均殖利率(%)股票,年均殖利率(%)合計,盈餘年度,EPS(元),盈餘分配率(%)配息,盈餘分配率(%)配股,盈餘分配率(%)合計
2018,2.38,0,2.38,0,0,0,2.38,11.9,0,-,-,-,-,2018,54.9,51.8,53.7,4.43,0,4.43,2017,-,-,-,-
2017,0.03,0,0.03,0,0,0,0.03,0.13,0,-,-,-,-,2017,53.3,51.4,52.2,0.05,0,0.05,2016,-,-,-,-
平均,1.2,0,1.2,0,0,0,1.2,,,,,,,平均,54.1,51.6,53,2.2,0,2.2,平均,,,,
累計,2.4,0,2.4,0,0,0,2.4,,,,,,,累計,,,,,,,累計,,,,
