盈餘發放年度,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,股利總計現金(億),股利總計股票(千張),董監酬勞合計(百萬),董監酬勞合計佔淨利(%),員工紅利現金(億),員工紅利股票(千張),股價年度,股價統計(元)最高,股價統計(元)最低,股價統計(元)年均,年均殖利率(%)現金,年均殖利率(%)股票,年均殖利率(%)合計,盈餘年度,EPS(元),盈餘分配率(%)配息,盈餘分配率(%)配股,盈餘分配率(%)合計
2018,3.2,0,3.2,0,0,0,3.2,3.78,0,-,-,-,-,2018,59.3,48.85,52.8,6.06,0,6.06,2017,4.46,71.7,0,71.7
2017,4,0,4,0,0,0,4,4.73,0,-,-,-,-,2017,68.5,48.4,54.3,7.37,0,7.37,2016,5.94,67.3,0,67.3
2016,4,0,4,0,0,0,4,4.73,0,-,-,-,-,2016,58.5,45,50.6,7.91,0,7.91,2015,6.32,63.3,0,63.3
2015,2.6,0,2.6,0,0,0,2.6,3.01,0,0.33,0.07,0.3,0,2015,58.8,36.5,47.6,5.47,0,5.47,2014,4.03,64.5,0,64.5
2014,3,0,3,0,0,0,3,3.41,0,0.37,0.08,0.32,0,2014,72.5,43.2,53.4,5.62,0,5.62,2013,4.25,70.6,0,70.6
2013,3.2,0,3.2,0,0,0,3.2,3.56,0,0.39,0.08,0.37,0,2013,58,40.2,47.8,6.69,0,6.69,2012,4.45,71.9,0,71.9
2012,3,0,3,0,0,0,3,3.34,0,0.37,0.08,0.31,0,2012,48.7,32.85,41,7.31,0,7.31,2011,4.07,73.7,0,73.7
2011,3.8,0,3.8,0.2,0,0.2,4,4.1,2.16,0.47,0.08,0.35,0,2011,55.5,29.1,42.2,9,0.47,9.47,2010,5.6,67.9,3.6,71.4
2010,3.5,0,3.5,0.2,0,0.2,3.7,3.61,2.06,0.43,0.08,0.52,0,2010,66.7,51.5,57.2,6.11,0.35,6.46,2009,5.08,68.9,3.9,72.8
2009,1.49,0,1.49,0.2,0,0.2,1.68,1.49,1.98,0.19,0.06,0.23,0,2009,70,22.05,41.5,3.58,0.48,4.06,2008,3.03,49.1,6.5,55.6
2008,2,0,2,0.5,0,0.5,2.5,-,-,0.26,0.07,0.06,2.5,2008,62.8,19.5,40,5,1.25,6.25,2007,4.61,43.4,10.8,54.2
2007,2,0,2,0.5,0,0.5,2.5,-,-,0.21,0.05,0.01,-,2007,88,43,60.3,3.31,0.83,4.14,2006,5.88,34,8.5,42.5
2006,1,0,1,1.5,0,1.5,2.5,-,-,0.18,0.05,0.02,-,-,-,-,-,-,-,-,2005,6.74,14.8,22.3,37.1
平均,2.83,0,2.83,0.24,0,0.24,3.07,,,,,,,平均,63.9,38.3,49.1,6.1,0.3,6.4,平均,4.96,58.6,4.3,62.8
累計,36.8,0,36.8,3.1,0,3.1,39.9,,,,,,,累計,,,,,,,累計,64.5,,,
