盈餘發放年度,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,股利總計現金(億),股利總計股票(千張),董監酬勞合計(百萬),董監酬勞合計佔淨利(%),員工紅利現金(億),員工紅利股票(千張),股價年度,股價統計(元)最高,股價統計(元)最低,股價統計(元)年均,年均殖利率(%)現金,年均殖利率(%)股票,年均殖利率(%)合計,盈餘年度,EPS(元),盈餘分配率(%)配息,盈餘分配率(%)配股,盈餘分配率(%)合計
2018,0.6,0,0.6,0.75,0,0.75,1.35,1.57,19.6,-,-,-,-,2018,15.95,12.05,14,4.3,5.37,9.66,2017,1.51,39.7,49.7,89.4
2017,0,0.5,0.5,0,0,0,0.5,1.31,0,-,-,-,-,2017,12.9,10.25,11.5,4.34,0,4.34,2016,1.53,32.7,0,32.7
2016,1,0,1,0,0,0,1,2.62,0,-,-,-,-,2016,16.2,10.1,12.7,7.86,0,7.86,2015,3.02,33.1,0,33.1
2015,0,0,0,0.41,0,0.41,0.41,0,10.3,2.15,4.91,0.02,0,2015,25.85,12.6,18.5,0,2.2,2.2,2014,0.21,0,193,193
2014,2.51,0,2.51,0,0,0,2.51,5.11,0,10.7,0.78,0.11,0,2014,30.5,16.1,23.7,10.6,0,10.6,2013,6.71,37.4,0,37.4
2013,2.08,0,2.08,0,0,0,2.08,4.23,0,8.28,1.24,0.04,0,2013,32.2,18.3,26.2,7.95,0,7.95,2012,3.69,56.5,0,56.5
2012,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,20.3,12.85,15.8,0,0,0,2011,2.49,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,2011,23.4,12.65,17.4,0,0,0,2010,1.18,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,24,11.45,16.4,0,0,0,2009,0.34,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,2009,14.5,5.39,10.1,0,0,0,2008,-0.79,0,0,0
2008,0,0,0,0,0,0,0,-,-,0,0,0,0,2008,16.9,4.65,11.9,0,0,0,2007,-1.1,0,0,0
2007,0,0,0,0.3,0.2,0.5,0.5,-,-,0.24,3.52,0,-,2007,18.5,7.62,13.2,0,3.78,3.78,2006,0.28,0,179,179
2006,0,0,0,0,0,0,0,-,-,0,0,0,-,2006,8.68,6.4,7.52,0,0,0,2005,0,0,0,0
2005,0.9,0,0.9,0.31,0,0.31,1.21,-,-,0,0,0.02,-,2005,16.6,7.57,10.1,8.94,3.08,12,2004,1.69,53.3,18.3,71.6
2004,0.7,0,0.7,0.3,0.2,0.5,1.2,-,-,0,0,0.02,-,-,-,-,-,-,-,-,2003,1.23,56.9,40.7,97.6
2003,0.6,0,0.6,0.3,0.23,0.53,1.13,-,-,0,0,0.02,-,-,-,-,-,-,-,-,2002,1.01,59.4,52.1,112
2002,0.6,0,0.6,0.11,0.44,0.56,1.16,-,-,0,0,0,-,-,-,-,-,-,-,-,2001,1.03,58.3,53.9,112
2001,1,0,1,0.1,0.93,1.03,2.03,-,-,-,-,-,-,-,-,-,-,-,-,-,2000,-,-,-,-
2000,0,0,0,1.73,0.27,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,1999,-,-,-,-
1999,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,1998,-,-,-,-
平均,0.5,0.02,0.52,0.22,0.11,0.33,0.85,,,,,,,平均,19.7,10.6,14.9,3.1,1,4.2,平均,1.41,25.1,34.5,59.6
累計,9.99,0.5,10.5,4.31,2.27,6.58,17.1,,,,,,,累計,,,,,,,累計,24,,,
