盈餘發放年度,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,股利總計現金(億),股利總計股票(千張),董監酬勞合計(百萬),董監酬勞合計佔淨利(%),員工紅利現金(億),員工紅利股票(千張),股價年度,股價統計(元)最高,股價統計(元)最低,股價統計(元)年均,年均殖利率(%)現金,年均殖利率(%)股票,年均殖利率(%)合計,盈餘年度,EPS(元),盈餘分配率(%)配息,盈餘分配率(%)配股,盈餘分配率(%)合計
2018,0,1,1,0,0,0,1,5.57,0,-,-,-,-,2018,20.55,15.2,17.5,5.72,0,5.72,2017,0.4,250,0,250
2017,0,0,0,0,0,0,0,0,0,-,-,-,-,2017,25.8,15.65,20.9,0,0,0,2016,-1.7,0,0,0
2016,1.95,0.05,2,0,0,0,2,11.1,0,-,-,-,-,2016,23,10.5,17.1,11.7,0,11.7,2015,2.07,96.6,0,96.6
2015,5,0,5,0,0,0,5,27.9,0,13.4,0.96,1.34,0,2015,33.35,15.4,25.1,19.9,0,19.9,2014,2.09,239,0,239
2014,3,0,3,0,0,0,3,22,0,37.1,1.02,3.71,0,2014,28.4,16.6,22.4,13.4,0,13.4,2013,3.44,87.2,0,87.2
2013,0.04,0.46,0.5,0,0,0,0.5,5.92,0,0.31,0.08,0.03,0,2013,18,9.05,12.3,4.08,0,4.08,2012,0.31,161,0,161
2012,0.35,2.12,2.47,0,0,0,2.47,29.2,0,3.85,0.9,0.39,0,2012,13,6.22,9.18,26.9,0,26.9,2011,0.36,686,0,686
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,2011,12.45,5.57,8.75,0,0,0,2010,0.12,0,0,0
2010,0.5,0,0.5,0,0,0,0.5,5.92,0,6.06,0.74,0.61,0,2010,15.9,10.05,12.1,4.12,0,4.12,2009,0.69,72.5,0,72.5
2009,0.25,0,0.25,0,0,0,0.25,2.96,0,2.91,0.9,0.29,0,2009,15.35,5.6,11,2.27,0,2.27,2008,0.27,92.6,0,92.6
2008,0.47,0,0.47,0.11,0.04,0.16,0.63,-,-,7.7,0.9,0.15,6.16,2008,16.2,4.78,10.5,4.49,1.5,5.98,2007,0.71,66.1,22,88.2
2007,0,0,0,0,0,0,0,-,-,0,0,0,-,2007,27.35,11.65,18.7,0,0,0,2006,-1.25,0,0,0
2006,0.45,0,0.45,0.2,0,0.2,0.65,-,-,3.68,0.73,0.07,-,2006,25.6,15.4,19.3,2.33,1.03,3.36,2005,0.71,63.4,28.2,91.5
2005,0,0,0,0,0,0,0,-,-,0,0,0,-,2005,27.25,17.5,21.5,0,0,0,2004,-0.86,0,0,0
2004,0.5,0,0.5,0.14,0.36,0.5,1,-,-,4.92,0.82,0.1,-,2004,36.7,10.15,20.8,2.41,2.41,4.82,2003,1.17,42.7,42.7,85.5
2003,1,0,1,3,0,3,4,-,-,26.2,0.9,1.31,-,2003,70,30.8,42.9,2.33,7,9.33,2002,6.76,14.8,44.4,59.2
2002,0.5,0,0.5,5,0,5,5.5,-,-,0,0,0,-,2002,242,57,134,0.37,3.74,4.11,2001,10.6,4.7,47.2,51.9
2001,0,0,0,3.3,1,4.3,4.3,-,-,0,0,0,-,2001,214,38,119,0,3.61,3.61,2000,7.97,0,54,54
2000,0,0,0,0,0,0,0,-,-,-,-,-,-,2000,161,36.2,105,0,0,0,1999,6.09,0,0,0
1999,0,0,0,0,0,0,0,-,-,-,-,-,-,1999,129.5,46.5,92.2,0,0,0,1998,-7.33,0,0,0
1998,0,0,0,0,0,0,0,-,-,0,0,0,-,1998,67,14.4,35.2,0,0,0,1997,-3.82,0,0,0
1997,0,0,0,0,0,0,0,-,-,0,0,0,-,1997,74.5,23.3,46.9,0,0,0,1996,-0.91,0,0,0
1996,0,0,0,0.5,0,0.5,0.5,-,-,0,0,0,-,1996,36.2,17.6,23.8,0,2.1,2.1,1995,-0.11,0,-454,-454
1995,0,0,0,2.5,0,2.5,2.5,-,-,0,0,0,-,1995,64.5,23,42.3,0,5.9,5.9,1994,3,0,83.4,83.4
1994,0.4,0,0.4,2.1,0,2.1,2.5,-,-,0,0,0,-,1994,75,51,61.7,0.65,3.4,4.05,1993,3.06,13.1,68.7,81.8
1993,0.5,0,0.5,2,0,2,2.5,-,-,0,0,0,-,-,-,-,-,-,-,-,1992,3.8,13.1,52.6,65.7
平均,0.57,0.14,0.71,0.73,0.05,0.78,1.49,,,,,,,平均,58.9,20.3,38,4,1.2,5.3,平均,1.45,73.2,-0.4,72.8
累計,14.9,3.64,18.5,18.9,1.4,20.3,38.8,,,,,,,累計,,,,,,,累計,37.6,,,
