盈餘發放年度,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,股利總計現金(億),股利總計股票(千張),董監酬勞合計(百萬),董監酬勞合計佔淨利(%),員工紅利現金(億),員工紅利股票(千張),股價年度,股價統計(元)最高,股價統計(元)最低,股價統計(元)年均,年均殖利率(%)現金,年均殖利率(%)股票,年均殖利率(%)合計,盈餘年度,EPS(元),盈餘分配率(%)配息,盈餘分配率(%)配股,盈餘分配率(%)合計
2018,1.17,0,1.17,0.29,0,0.29,1.46,32.1,80.2,-,-,-,-,2018,28.3,21.2,23.5,4.98,1.24,6.22,2017,1.48,79,19.7,98.7
2017,1.18,0,1.18,0.3,0,0.3,1.48,30.4,76.1,-,-,-,-,2017,32.1,21.65,26.9,4.41,1.1,5.51,2016,1.2,98.7,24.7,123
2016,1.2,0,1.2,0.3,0,0.3,1.5,29.1,72.6,-,-,-,-,2016,25.35,15.55,21.4,5.58,1.4,6.98,2015,0.55,218,54.4,272
2015,1.23,0,1.23,0.31,0,0.31,1.54,29.6,74,46.1,1.29,0,33.1,2015,30.85,12.05,22.2,5.54,1.38,6.92,2014,1.5,82,20.5,102
2014,1.8,0,1.8,0.2,0,0.2,2,42.8,47.6,62.3,1.08,0,25,2014,35.4,24.4,28.1,6.42,0.71,7.13,2013,2.51,71.8,8,79.8
2013,1.5,0,1.5,0.5,0,0.5,2,32.7,109,39.5,0.59,0,23.5,2013,36.05,24.2,29.2,5.14,1.71,6.85,2012,3.06,49,16.3,65.4
2012,2.2,0,2.2,0.5,0,0.5,2.7,45.7,104,81.6,0.9,10.9,0,2012,50.1,26.7,37.4,5.88,1.34,7.21,2011,4.36,50.5,11.5,61.9
2011,3.2,0,3.2,0.5,0,0.5,3.7,63,98.4,75.4,0.63,14.8,0,2011,61.1,30.4,45.1,7.08,1.11,8.19,2010,6.15,52,8.1,60.1
2010,2.72,0,2.72,0.5,0,0.5,3.22,50.5,93.5,82.2,0.9,12,0,2010,67,47.4,56.7,4.8,0.89,5.69,2009,5.23,52,9.6,61.6
2009,0.98,0,0.98,0.98,0,0.98,1.97,16.4,164,61.9,0.9,0,20.2,2009,69.3,22.2,49.4,1.99,1.99,3.98,2008,4.57,21.5,21.5,43
2008,2.65,0,2.65,0.49,0,0.49,3.15,-,-,59.4,0.9,1.78,41.6,2008,61,17.3,43,6.18,1.14,7.32,2007,4.8,55.3,10.2,65.5
2007,2.2,0,2.2,0.6,0,0.6,2.8,-,-,47.9,0.9,1.44,-,2007,70.1,42.8,55.7,3.94,1.07,5.02,2006,4.32,50.8,13.9,64.7
2006,1.51,0,1.51,0.5,0,0.5,2.02,-,-,28.6,0.9,1.14,-,2006,51,31.2,39.3,3.85,1.29,5.14,2005,3.31,45.7,15.3,61
2005,0,0,0,0,0,0,0,-,-,0,0,0,-,2005,45,13.15,26.7,0,0,0,2004,-0.89,0,0,0
2004,0.5,0,0.5,0.5,0,0.5,1,-,-,14.5,0.9,0,-,2004,30.5,12.4,20.2,2.47,2.47,4.94,2003,1.86,26.8,26.8,53.7
2003,0.5,0,0.5,0.5,0,0.5,0.99,-,-,15.3,0.9,0,-,2003,37.3,26.4,29.5,1.69,1.69,3.37,2002,2.8,17.7,17.7,35.5
2002,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2001,1.5,-,-,-
平均,1.44,0,1.44,0.41,0,0.41,1.85,,,,,,,平均,45.7,24.3,34.6,4.4,1.3,5.7,平均,2.84,60.7,17.4,78
累計,24.5,0,24.5,6.97,0,6.97,31.5,,,,,,,累計,,,,,,,累計,48.3,,,
