盈餘發放年度,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,股利總計現金(億),股利總計股票(千張),董監酬勞合計(百萬),董監酬勞合計佔淨利(%),員工紅利現金(億),員工紅利股票(千張),股價年度,股價統計(元)最高,股價統計(元)最低,股價統計(元)年均,年均殖利率(%)現金,年均殖利率(%)股票,年均殖利率(%)合計,盈餘年度,EPS(元),盈餘分配率(%)配息,盈餘分配率(%)配股,盈餘分配率(%)合計
2018,0.6,0,0.6,0,0,0,0.6,4.94,0,-,-,-,-,2018,17.85,12.6,14.2,4.21,0,4.21,2017,0.96,62.5,0,62.5
2017,0.5,0,0.5,0,0,0,0.5,4.12,0,-,-,-,-,2017,16.8,10.4,12.1,4.12,0,4.12,2016,0.64,78.1,0,78.1
2016,0.5,0,0.5,0,0,0,0.5,4.12,0,-,-,-,-,2016,11.9,9.2,10.5,4.75,0,4.75,2015,0.65,76.9,0,76.9
2015,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,12.25,7.41,10.4,0,0,0,2014,-1.11,0,0,0
2014,0.5,0,0.5,0.5,0,0.5,1,4.21,42.1,4.25,0.46,0.04,0,2014,12.25,10.4,11.4,4.39,4.39,8.79,2013,1.09,45.9,45.9,91.7
2013,0.5,0,0.5,0,0,0,0.5,4.21,0,2.12,0.19,0.02,0,2013,12.1,10.25,11.1,4.52,0,4.52,2012,1.36,36.8,0,36.8
2012,0.5,0,0.5,0,0,0,0.5,4.21,0,2.12,0.22,0.02,0,2012,12.05,10.2,11,4.56,0,4.56,2011,1.17,42.7,0,42.7
2011,0.6,0,0.6,0,0,0,0.6,5.05,0,0,0,0,0,2011,15.55,9.55,12.2,4.92,0,4.92,2010,1.11,54.1,0,54.1
2010,-,-,-,-,-,-,-,-,-,-,-,-,-,2010,14.1,10.75,12.2,-,-,-,-,-,-,-,-
2009,0.35,0,0.35,0,0,0,0.35,-,-,-,-,-,-,-,-,-,-,-,-,-,2008,-,-,-,-
2008,1.2,0,1.2,0,0,0,1.2,-,-,-,-,-,-,-,-,-,-,-,-,-,2007,-,-,-,-
2007,2.7,0,2.7,0,0,0,2.7,-,-,-,-,-,-,-,-,-,-,-,-,-,2006,-,-,-,-
2006,1.5,0,1.5,0.3,0,0.3,1.8,-,-,-,-,-,-,-,-,-,-,-,-,-,2005,-,-,-,-
2005,1.2,0,1.2,0.3,0,0.3,1.5,-,-,-,-,-,-,-,-,-,-,-,-,-,2004,-,-,-,-
2004,0.8,0,0.8,0.2,0,0.2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,2003,-,-,-,-
2003,0.8,0,0.8,0,0.2,0.2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,2002,-,-,-,-
2002,0.36,0,0.36,0,0.44,0.44,0.8,-,-,-,-,-,-,-,-,-,-,-,-,-,2001,-,-,-,-
2001,0,0,0,0,0.53,0.53,0.53,-,-,-,-,-,-,-,-,-,-,-,-,-,2000,-,-,-,-
2000,0,0,0,0.07,0.93,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1999,-,-,-,-
1999,0,0,0,0.81,0.19,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1998,-,-,-,-
1998,0,0,0,1,0.5,1.5,1.5,-,-,-,-,-,-,-,-,-,-,-,-,-,1997,-,-,-,-
1997,0,0,0,0.8,0.2,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1996,-,-,-,-
1996,0,0,0,1,0.5,1.5,1.5,-,-,-,-,-,-,-,-,-,-,-,-,-,1995,-,-,-,-
1995,1,0,1,1,0.5,1.5,2.5,-,-,-,-,-,-,-,-,-,-,-,-,-,1994,-,-,-,-
1994,1.5,0,1.5,0.5,1,1.5,3,-,-,-,-,-,-,-,-,-,-,-,-,-,1993,-,-,-,-
1993,0,0,0,1,1,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,1992,-,-,-,-
平均,0.58,0,0.58,0.29,0.23,0.52,1.1,,,,,,,平均,13.9,10.1,11.7,3.9,0.5,4.5,平均,0.73,49.6,5.7,55.4
累計,15.1,0,15.1,7.48,5.99,13.5,28.6,,,,,,,累計,,,,,,,累計,5.87,,,
