盈餘發放年度,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,股利總計現金(億),股利總計股票(千張),董監酬勞合計(百萬),董監酬勞合計佔淨利(%),員工紅利現金(億),員工紅利股票(千張),股價年度,股價統計(元)最高,股價統計(元)最低,股價統計(元)年均,年均殖利率(%)現金,年均殖利率(%)股票,年均殖利率(%)合計,盈餘年度,EPS(元),盈餘分配率(%)配息,盈餘分配率(%)配股,盈餘分配率(%)合計
2018,-,-,-,-,-,-,-,-,-,-,-,-,-,2018,1,0.72,0.88,-,-,-,-,-,-,-,-
2017,-,-,-,-,-,-,-,-,-,-,-,-,-,2017,1.19,0.72,0.9,-,-,-,-,-,-,-,-
2016,0,0,0,0,0,0,0,-,-,-,-,-,-,2016,1.45,0.85,1.1,0,0,0,2015,-,-,-,-
2015,0,0,0.18,0,0,0,0.18,-,-,-,-,-,-,2015,7.35,1.12,2.74,6.6,0,6.6,2014,-,-,-,-
2014,0.24,0,0.24,0,0,0,0.24,-,-,-,-,-,-,2014,6.02,4.2,4.95,4.77,0,4.77,2013,-,-,-,-
2013,0.24,0,0.24,0,0,0,0.24,-,-,-,-,-,-,2013,6,4.07,4.66,5.1,0,5.1,2012,-,-,-,-
2012,0.12,0,0.12,0,0,0,0.12,0.22,0,0,-,0,0,2012,12.3,3.6,7.39,1.57,0,1.57,2011,-,-,-,-
2011,0.41,0,0.41,0,0,0,0.41,0.7,0,0,-,0,0,2011,15.05,9.39,12.2,3.36,0,3.36,2010,-,-,-,-
平均,0.12,0,0.15,0,0,0,0.15,,,,,,,平均,6.3,3.08,4.35,3.6,0,3.6,平均,,,,
累計,1,0,1.18,0,0,0,1.18,,,,,,,累計,,,,,,,累計,,,,
