盈餘發放年度,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,股利總計現金(億),股利總計股票(千張),董監酬勞合計(百萬),董監酬勞合計佔淨利(%),員工紅利現金(億),員工紅利股票(千張),股價年度,股價統計(元)最高,股價統計(元)最低,股價統計(元)年均,年均殖利率(%)現金,年均殖利率(%)股票,年均殖利率(%)合計,盈餘年度,EPS(元),盈餘分配率(%)配息,盈餘分配率(%)配股,盈餘分配率(%)合計
2018,0,0,0,0,0,0,0,0,0,-,-,-,-,2018,24.4,9.01,14.4,0,0,0,2017,-1.83,0,0,0
2017,0,0,0,0,0,0,0,0,0,-,-,-,-,2017,12.8,5.28,7.24,0,0,0,2016,-1.14,0,0,0
2016,0,0,0,0,0,0,0,0,0,-,-,-,-,2016,8.38,5.12,6.82,0,0,0,2015,-2.61,0,0,0
2015,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,13.1,4.27,7.09,0,0,0,2014,2.45,0,0,0
2014,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,13.35,6.5,8.3,0,0,0,2013,-1.25,0,0,0
2013,0,0,0,0,0,0,0,0,0,0,0,0,0,2013,7.87,5.16,6.05,0,0,0,2012,-1.32,0,0,0
2012,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,10.7,4.41,6.6,0,0,0,2011,-1.81,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,2011,19.45,5.9,12.1,0,0,0,2010,-0.57,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,24.9,15.95,19.6,0,0,0,2009,-0.81,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,2009,26,10.5,15.9,0,0,0,2008,-1.06,0,0,0
2008,0.45,0,0.45,0,0,0,0.45,-,-,0.89,1.9,0.04,0,2008,54,9.01,26.5,1.7,0,1.7,2007,0.57,78.9,0,78.9
2007,0.4,0,0.4,0,0,0,0.4,-,-,0.76,2.16,0.02,-,2007,82.4,16.5,40,1,0,1,2006,0.43,93,0,93
2006,0.8,0,0.8,0,0,0,0.8,-,-,1.38,2.12,0.01,-,2006,19.85,12.1,14.6,5.49,0,5.49,2005,0.79,101,0,101
2005,0.5,0,0.5,0.1,0,0.1,0.6,-,-,1.05,1.47,0.01,-,2005,14.85,10.15,11.7,4.29,0.86,5.14,2004,0.88,56.8,11.4,68.2
2004,0.21,0,0.21,0.15,0,0.15,0.36,-,-,0.61,1.97,0,-,2004,17.5,10.1,13.1,1.61,1.15,2.76,2003,0.39,53.8,38.5,92.3
2003,0.15,0,0.15,0.15,0,0.15,0.3,-,-,0.51,1.53,0,-,2003,19.1,10.6,14,1.07,1.07,2.14,2002,0.42,35.7,35.7,71.4
2002,0.2,0,0.2,0.2,0,0.2,0.4,-,-,0,0,0,-,2002,29.9,11.8,17.8,1.12,1.12,2.25,2001,0.47,42.6,42.6,85.1
2001,0,0,0,1.8,0,1.8,1.8,-,-,0,0,0,-,2001,42.3,9,22.5,0,7.98,7.98,2000,2.17,0,82.9,82.9
2000,0,0,0,1.2,0,1.2,1.2,-,-,0,0,0,-,2000,142,16.5,64,0,1.88,1.88,1999,1.3,0,92.3,92.3
1999,0,0,0,1.4,0,1.4,1.4,-,-,0,0,0,-,1999,45.6,18.89,25.2,0,5.56,5.56,1998,1.47,0,95.2,95.2
1998,0,0,0,1.2,0,1.2,1.2,-,-,-,-,-,-,1998,34.9,24,28,0,4.28,4.28,1997,1.73,0,69.2,69.2
1997,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,1996,2.45,0,0,0
1996,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,1995,-,-,-,-
1995,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,1994,-,-,-,-
1994,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,1993,-,-,-,-
平均,0.11,0,0.11,0.25,0,0.25,0.36,,,,,,,平均,31.6,10.5,18.2,0.8,1.1,1.9,平均,0.14,21,21.3,42.3
累計,2.71,0,2.71,6.2,0,6.2,8.91,,,,,,,累計,,,,,,,累計,3.12,,,
