盈餘發放年度,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,股利總計現金(億),股利總計股票(千張),董監酬勞合計(百萬),董監酬勞合計佔淨利(%),員工紅利現金(億),員工紅利股票(千張),股價年度,股價統計(元)最高,股價統計(元)最低,股價統計(元)年均,年均殖利率(%)現金,年均殖利率(%)股票,年均殖利率(%)合計,盈餘年度,EPS(元),盈餘分配率(%)配息,盈餘分配率(%)配股,盈餘分配率(%)合計
2018,0.4,0,0.4,0,0,0,0.4,0.37,0,-,-,-,-,2018,22.7,17.9,19.9,2.01,0,2.01,2017,0.47,85,0,85
2017,0.88,0,0.88,0,0,0,0.88,0.82,0,-,-,-,-,2017,25.55,18.55,20.8,4.23,0,4.23,2016,1.36,64.7,0,64.7
2016,0.2,0,0.2,0,0,0,0.2,0.19,0,-,-,-,-,2016,24.6,13.75,18.5,1.08,0,1.08,2015,-0.28,-71.4,0,-71.4
2015,0.41,0,0.41,0,0,0,0.41,0.39,0,0.61,2.91,0.03,0,2015,21.8,12.05,16.6,2.48,0,2.48,2014,0.2,206,0,206
2014,0.2,0,0.2,0,0,0,0.2,0.19,0,0,0,0,0,2014,32.2,18.4,24.5,0.82,0,0.82,2013,-0.5,-40,0,-40
2013,0.48,0,0.48,0,0,0,0.48,0.47,0,0.4,0.98,0.02,0,2013,25.8,18.8,21.2,2.27,0,2.27,2012,0.42,115,0,115
2012,1.5,0,1.5,0,0,0,1.5,1.47,0,3.93,1.92,0.2,0,2012,36.1,16.3,23.8,6.31,0,6.31,2011,2.22,67.6,0,67.6
2011,3,0,3,0.5,0,0.5,3.5,2.49,4.14,8.79,1.69,0.09,1.4,2011,42,24,33.6,8.93,1.49,10.4,2010,6.34,47.3,7.9,55.2
2010,4,0,4,1,0,1,5,2.96,7.41,10,1.67,0.11,1.4,-,-,-,-,-,-,-,2009,8.53,46.9,11.7,58.6
平均,1.23,0,1.23,0.17,0,0.17,1.4,,,,,,,平均,28.8,17.5,22.4,3.5,0.2,3.7,平均,2.08,57.9,2.2,60
累計,11.1,0,11.1,1.5,0,1.5,12.6,,,,,,,累計,,,,,,,累計,18.8,,,
