盈餘發放年度,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,股利總計現金(億),股利總計股票(千張),董監酬勞合計(百萬),董監酬勞合計佔淨利(%),員工紅利現金(億),員工紅利股票(千張),股價年度,股價統計(元)最高,股價統計(元)最低,股價統計(元)年均,年均殖利率(%)現金,年均殖利率(%)股票,年均殖利率(%)合計,盈餘年度,EPS(元),盈餘分配率(%)配息,盈餘分配率(%)配股,盈餘分配率(%)合計
2018,0,0,0,0,0,0,0,0,0,-,-,-,-,2018,42.5,25,32.1,0,0,0,2017,-1.08,0,0,0
2017,0,0,0,0,0,0,0,0,0,-,-,-,-,2017,47.55,10.4,19.6,0,0,0,2016,0.89,0,0,0
2016,0,0,0,0,0,0,0,0,0,-,-,-,-,2016,19.25,8.5,12.2,0,0,0,2015,-0.5,0,0,0
2015,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,26,10.7,17,0,0,0,2014,-0.89,0,0,0
2014,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,53.5,24.5,38.6,0,0,0,2013,-1.37,0,0,0
2013,0,0,0,0,0,0,0,0,0,0,0,0,0,2013,45,13,20.9,0,0,0,2012,-2.75,0,0,0
2012,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,20,7.25,11.8,0,0,0,2011,-2.81,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,2011,11.25,6,8.34,0,0,0,2010,-0.5,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,8.9,4.5,5.84,0,0,0,2009,-2.46,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,2009,5.95,1.7,3.48,0,0,0,2008,-2.37,0,0,0
2008,0,0,0,0,0,0,0,-,-,0,0,0,0,2008,6.59,1.73,4.09,0,0,0,2007,-1.92,0,0,0
2007,0,0,0,0,0,0,0,-,-,0,0,0,-,2007,9.95,4.7,6.97,0,0,0,2006,-1.22,0,0,0
2006,0,0,0,0,0,0,0,-,-,0,0,0,-,2006,8.55,4.05,5.05,0,0,0,2005,-1.69,0,0,0
2005,0,0,0,0,0,0,0,-,-,0,0,0,-,2005,7.9,4.05,5.68,0,0,0,2004,-0.58,0,0,0
2004,0,0,0,0,0,0,0,-,-,0,0,0,-,2004,14.7,6.5,9.22,0,0,0,2003,0.06,0,0,0
2003,0.1,0,0.1,0,0,0,0.1,-,-,0,0,0,-,2003,21.1,11.5,16.2,0.62,0,0.62,2002,0.76,13.2,0,13.2
2002,0,0,0,0,0,0,0,-,-,0,0,0,-,2002,22.1,7.5,13.8,0,0,0,2001,-0.26,0,0,0
2001,0,0,0,0,0,0,0,-,-,-,-,-,-,2001,9.95,6.25,7.93,0,0,0,2000,-1.43,0,0,0
2000,0,0,0,1,0.5,1.5,1.5,-,-,0,0,0,-,2000,23.8,7.85,15.3,0,9.83,9.83,1999,1.07,0,140,140
1999,0.6,0,0.6,2,0,2,2.6,-,-,0,0,0,-,1999,34.9,16.3,24.9,2.41,8.02,10.4,1998,3.98,15.1,50.3,65.3
1998,0,0,0,2.2,0,2.2,2.2,-,-,-,-,-,-,-,-,-,-,-,-,-,1997,2.58,0,85.4,85.4
1997,0,0,0,1,1,2,2,-,-,0,0,0,-,-,-,-,-,-,-,-,1996,4.46,0,44.8,44.8
1996,0,0,0,3.5,0,3.5,3.5,-,-,0,-,0,-,-,-,-,-,-,-,-,1995,-,-,-,-
1995,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,1994,-,-,-,-
1994,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,1993,-,-,-,-
1993,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,1992,-,-,-,-
平均,0.03,0,0.03,0.37,0.06,0.43,0.46,,,,,,,平均,22,9.1,14,0.2,0.9,1,平均,-0.37,1.3,14.6,15.9
累計,0.7,0,0.7,9.7,1.5,11.2,11.9,,,,,,,累計,,,,,,,累計,-8.03,,,
