盈餘發放年度,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,股利總計現金(億),股利總計股票(千張),董監酬勞合計(百萬),董監酬勞合計佔淨利(%),員工紅利現金(億),員工紅利股票(千張),股價年度,股價統計(元)最高,股價統計(元)最低,股價統計(元)年均,年均殖利率(%)現金,年均殖利率(%)股票,年均殖利率(%)合計,盈餘年度,EPS(元),盈餘分配率(%)配息,盈餘分配率(%)配股,盈餘分配率(%)合計
2018,1.51,0,1.51,0,0,0,1.51,3.69,0,-,-,-,-,2018,32.95,26.55,29.1,5.19,0,5.19,2017,2.83,53.5,0,53.5
2017,1.5,0,1.5,0,0,0,1.5,3.69,0,-,-,-,-,2017,35.2,29.15,31.4,4.78,0,4.78,2016,3.08,48.7,0,48.7
2016,2,0,2,0,0,0,2,5.42,0,-,-,-,-,2016,35.45,28.5,31.2,6.42,0,6.42,2015,4.02,49.8,0,49.8
2015,3.5,0,3.5,0,0,0,3.5,9.49,0,42.6,2.7,2.13,0,2015,58.3,28,41.7,8.4,0,8.4,2014,5.82,60.1,0,60.1
2014,3,0,3,0,0,0,3,8.14,0,31,2.7,1.55,0,2014,52.9,34,43.5,6.9,0,6.9,2013,4.46,67.3,0,67.3
2013,3,0,3,0,0,0,3,7.43,0,40.5,2.7,2.02,0,2013,48.7,30.8,38.3,7.83,0,7.83,2012,6.26,47.9,0,47.9
2012,0.7,0,0.7,0,0,0,0.7,1.63,0,24.4,3.69,1.22,0,2012,46.8,22.25,37.4,1.87,0,1.87,2011,2.8,25,0,25
2011,1.8,0,1.8,0.2,0,0.2,2,4.17,4.63,15.5,1.9,0.77,0,2011,44.4,18.3,30.3,5.94,0.66,6.59,2010,3.71,48.5,5.4,53.9
2010,1.5,0,1.5,1,0,1,2.5,2.91,19.4,26.3,2.7,1.32,0,2010,76.5,37.3,56.3,2.66,1.78,4.44,2009,5.92,25.3,16.9,42.2
2009,0.49,0,0.49,0.99,0.49,1.48,1.98,0.7,21.1,14.4,2.7,0.22,2.38,2009,79.1,65,72.2,0.68,2.05,2.73,2008,3.89,12.7,38.1,50.8
2008,0.69,0,0.69,0.49,0.98,1.48,2.17,-,-,15.7,2.7,0.27,5.2,-,-,-,-,-,-,-,2007,5.5,12.5,26.9,39.4
2007,0.5,0,0.5,1.5,0,1.5,2,-,-,10,2.7,0.28,-,-,-,-,-,-,-,-,2006,4.62,10.8,32.5,43.3
2006,0.5,0,0.5,1,0,1,1.5,-,-,3.01,2.7,0.08,-,-,-,-,-,-,-,-,2005,1.63,30.7,61.3,92
2005,0.5,0,0.5,0.5,0,0.5,1,-,-,3.77,2.82,0.19,-,-,-,-,-,-,-,-,2004,2.05,24.4,24.4,48.8
2004,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,2003,0.2,0,0,0
2003,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2002,-0.03,-,-,-
2002,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,2001,-,-,-,-
2000,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,1999,-,-,-,-
平均,1.18,0,1.18,0.32,0.08,0.4,1.58,,,,,,,平均,51,32,41.1,5.1,0.4,5.5,平均,3.55,34.5,13.7,48.2
累計,21.2,0,21.2,5.68,1.48,7.16,28.4,,,,,,,累計,,,,,,,累計,56.8,,,
