盈餘發放年度,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,股利總計現金(億),股利總計股票(千張),董監酬勞合計(百萬),董監酬勞合計佔淨利(%),員工紅利現金(億),員工紅利股票(千張),股價年度,股價統計(元)最高,股價統計(元)最低,股價統計(元)年均,年均殖利率(%)現金,年均殖利率(%)股票,年均殖利率(%)合計,盈餘年度,EPS(元),盈餘分配率(%)配息,盈餘分配率(%)配股,盈餘分配率(%)合計
2018,0.6,0,0.6,0,0,0,0.6,0.87,0,-,-,-,-,2018,40.25,21.2,30.2,1.99,0,1.99,2017,0.68,88.2,0,88.2
2017,0.35,0,0.35,0,0,0,0.35,0.51,0,-,-,-,-,2017,50,22.35,32.4,1.08,0,1.08,2016,0.41,85.4,0,85.4
2016,1.5,0,1.5,0,0,0,1.5,2.14,0,-,-,-,-,2016,31.65,20.45,24.2,6.19,0,6.19,2015,2.38,63,0,63
2015,1.55,0,1.55,0,0,0,1.55,2.2,0,0.38,0.09,0.3,0,2015,66.3,17.2,38.6,4.02,0,4.02,2014,3.07,50.6,0,50.6
2014,2.5,0,2.5,0,0,0,2.5,3.25,0,0.62,0.09,0.49,0,2014,106,45.5,68.1,3.67,0,3.67,2013,5.29,47.3,0,47.3
2013,0.5,0,0.5,0,0,0,0.5,-,-,-,-,-,-,-,-,-,-,-,-,-,2012,3.51,14.2,0,14.2
2009,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,2008,-5.43,0,0,0
2008,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2007,-2.2,-,-,-
2007,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2006,-4.88,-,-,-
2006,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2005,1.63,-,-,-
2005,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2004,8.81,-,-,-
平均,0.64,0,0.64,0,0,0,0.64,,,,,,,平均,58.8,25.3,38.7,3.4,0,3.4,平均,1.21,49.8,0,49.8
累計,7,0,7,0,0,0,7,,,,,,,累計,,,,,,,累計,13.3,,,
