盈餘發放年度,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,股利總計現金(億),股利總計股票(千張),董監酬勞合計(百萬),董監酬勞合計佔淨利(%),員工紅利現金(億),員工紅利股票(千張),股價年度,股價統計(元)最高,股價統計(元)最低,股價統計(元)年均,年均殖利率(%)現金,年均殖利率(%)股票,年均殖利率(%)合計,盈餘年度,EPS(元),盈餘分配率(%)配息,盈餘分配率(%)配股,盈餘分配率(%)合計
2018,1,0,1,0,0,0,1,4.2,0,-,-,-,-,2018,24.7,19.5,21.2,4.72,0,4.72,2017,1.19,84,0,84
2017,1,0,1,0,0,0,1,4.2,0,-,-,-,-,2017,24.2,18.7,20.7,4.84,0,4.84,2016,1.22,82,0,82
2016,1,0,1,0,0,0,1,4.2,0,-,-,-,-,2016,20.05,16.3,18.1,5.51,0,5.51,2015,1.34,74.6,0,74.6
2015,1.2,0,1.2,0,0,0,1.2,5.04,0,18.4,2.7,0.67,0,2015,23.65,15.15,18.8,6.38,0,6.38,2014,1.5,80,0,80
2014,0.8,0,0.8,0,0,0,0.8,3.84,0,16.3,2.77,0.61,0,2014,23.15,18.7,20.8,3.85,0,3.85,2013,1.25,64,0,64
2013,1,0,1,0,0,0,1,4.8,0,15,2.75,0.55,0,2013,24.2,15.5,17.8,5.63,0,5.63,2012,1.16,86.2,0,86.2
2012,1,0,1,0,0,0,1,4.8,0,15.7,2.75,0.58,0,2012,17.5,14.7,16.3,6.15,0,6.15,2011,1.22,82,0,82
2011,1,0,1,0,0,0,1,4.8,0,14.7,2.7,0.54,0,2011,18.9,14.15,16.6,6.02,0,6.02,2010,1.16,86.2,0,86.2
2010,1,0,1,0,0,0,1,4.8,0,15.6,2.83,0.52,0,2010,21.45,15.8,18,5.56,0,5.56,2009,1.17,85.5,0,85.5
2009,0.88,0,0.88,0,0,0,0.88,4.22,0,13,2.7,0.41,0,2009,21.25,12.25,17.2,5.13,0,5.13,2008,1.02,86.3,0,86.3
2008,1.4,0,1.4,0,0,0,1.4,-,-,23.5,2.7,0.88,0,2008,32.45,10,20.5,6.83,0,6.83,2007,1.86,75.3,0,75.3
2007,1.4,0,1.4,0,0,0,1.4,-,-,22.7,2.69,0.8,-,2007,41.5,17.8,24.9,5.62,0,5.62,2006,1.95,71.8,0,71.8
2006,1.5,0,1.5,0,0,0,1.5,-,-,25.5,2.67,0.85,-,2006,25.9,17.8,20.6,7.29,0,7.29,2005,2.4,62.5,0,62.5
2005,1.3,0,1.3,0,0,0,1.3,-,-,23.3,2.58,0.81,-,2005,23.2,13.3,16.2,8.02,0,8.02,2004,2.09,62.2,0,62.2
2004,1,0,1,0,0,0,1,-,-,19.4,2.73,0.81,-,2004,17.6,10.4,13.4,7.44,0,7.44,2003,1.61,62.1,0,62.1
2003,0.63,0,0.63,0,0,0,0.63,-,-,13.5,2.2,0.35,-,2003,14.5,8.05,11.1,5.68,0,5.68,2002,1.12,56.2,0,56.2
2002,0,0,0,0,0,0,0,-,-,0,0,0,-,2002,12.25,8,9.85,0,0,0,2001,0.82,0,0,0
2001,1,0,1,0,0,0,1,-,-,0,0,0,-,2001,14,6.55,9.36,10.7,0,10.7,2000,-1.28,-78.1,0,-78.1
2000,0,0,0,0.6,0.4,1,1,-,-,0,0,0,-,2000,21,8.1,14,0,7.13,7.13,1999,1.73,0,57.8,57.8
1999,0,0,0,0,1,1,1,-,-,0,0,0,-,1999,17.2,9.75,13.7,0,7.27,7.27,1998,1.8,0,55.6,55.6
1998,0,0,0,0,0.5,0.5,0.5,-,-,0,0,0,-,1998,32.29,14,22.2,0,2.25,2.25,1997,0.96,0,52.1,52.1
1997,0,0,0,0,0,0,0,-,-,-,-,-,-,1997,29.2,14.75,20.7,0,0,0,1996,0.59,0,0,0
1996,0,0,0,0,0,0,0,-,-,0,0,0,-,1996,18.2,11.55,14.4,0,0,0,1995,-9.57,0,0,0
1995,0.5,0,0.5,0.5,0.28,0.78,1.28,-,-,0,0,0,-,1995,36.2,11.3,20.9,2.39,3.73,6.12,1994,0.6,82.8,129,212
1994,0.6,0,0.6,0.4,0.2,0.6,1.2,-,-,0,0,0,-,1994,46.6,27.2,35.6,1.69,1.69,3.37,1993,1.17,51.2,51.2,102
1993,0,0,0,0,1,1,1,-,-,0,0,0,-,-,-,-,-,-,-,-,1992,2.41,0,41.5,41.5
平均,0.74,0,0.74,0.06,0.13,0.19,0.93,,,,,,,平均,24,14,18.1,4.4,0.9,5.3,平均,0.87,48.3,14.9,63.2
累計,19.2,0,19.2,1.5,3.38,4.88,24.1,,,,,,,累計,,,,,,,累計,22.5,,,
