盈餘發放年度,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,股利總計現金(億),股利總計股票(千張),董監酬勞合計(百萬),董監酬勞合計佔淨利(%),員工紅利現金(億),員工紅利股票(千張),股價年度,股價統計(元)最高,股價統計(元)最低,股價統計(元)年均,年均殖利率(%)現金,年均殖利率(%)股票,年均殖利率(%)合計,盈餘年度,EPS(元),盈餘分配率(%)配息,盈餘分配率(%)配股,盈餘分配率(%)合計
2018,2.5,0,2.5,0,0,0,2.5,11.1,0,-,-,-,-,2018,43.8,29.15,34.5,7.25,0,7.25,2017,3.15,79.4,0,79.4
2017,2,0,2,0,0,0,2,8.84,0,-,-,-,-,2017,37.5,22.85,28.6,6.99,0,6.99,2016,2.31,86.6,0,86.6
2016,2,0,2,0,0,0,2,8.84,0,-,-,-,-,2016,24.3,18.5,22,9.09,0,9.09,2015,2.55,78.4,0,78.4
2015,1.4,0,1.4,0,0,0,1.4,6.19,0,2.24,0.27,0.22,0,2015,25.75,15.4,21.3,6.57,0,6.57,2014,1.91,73.3,0,73.3
2014,0.4,0,0.4,0,0,0,0.4,1.77,0,0,0,0,0,2014,27.8,17.05,21.8,1.84,0,1.84,2013,0.26,154,0,154
2013,1,0,1,0,0,0,1,4.42,0,0.03,0.01,0,0,2013,23.3,16.15,18.5,5.42,0,5.42,2012,0.66,152,0,152
2012,1.6,0,1.6,0,0,0,1.6,7.08,0,3.65,0.31,0.36,0,2012,35,14.7,23.7,6.76,0,6.76,2011,2.69,59.5,0,59.5
2011,2.5,0,2.5,0,0,0,2.5,11.1,0,1.34,0.09,0.13,0,2011,46,21.15,32.5,7.69,0,7.69,2010,3.46,72.3,0,72.3
2010,0.9,0,0.9,0,0,0,0.9,3.98,0,0,0,0,0,2010,59.4,33.2,43.1,2.09,0,2.09,2009,0.17,529,0,529
2009,1,0,1,0,0,0,1,4.42,0,0.64,0.06,0.06,0,2009,49.25,19,30.3,3.3,0,3.3,2008,2.29,43.7,0,43.7
2008,3.2,0,3.2,0,0,0,3.2,-,-,0.52,0.03,0.03,0,2008,56.3,14.75,37.1,8.63,0,8.63,2007,4.11,77.9,0,77.9
2007,2,0,2,0.5,0,0.5,2.5,-,-,0.83,0.07,0.04,-,2007,59.8,50.3,56.3,3.55,0.89,4.44,2006,4.03,49.6,12.4,62
2006,0.2,0,0.2,0.8,0,0.8,1,-,-,-,-,-,-,-,-,-,-,-,-,-,2005,3.28,6.1,24.4,30.5
2005,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2004,0.45,-,-,-
2004,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2003,0.76,-,-,-
2003,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2002,0.37,-,-,-
2000,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,1999,-,-,-,-
1999,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,1998,-,-,-,-
平均,1.15,0,1.15,0.07,0,0.07,1.22,,,,,,,平均,40.7,22.7,30.8,5.8,0.1,5.8,平均,2.03,112,2.8,115
累計,20.7,0,20.7,1.3,0,1.3,22,,,,,,,累計,,,,,,,累計,32.4,,,
