盈餘發放年度,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,股利總計現金(億),股利總計股票(千張),董監酬勞合計(百萬),董監酬勞合計佔淨利(%),員工紅利現金(億),員工紅利股票(千張),股價年度,股價統計(元)最高,股價統計(元)最低,股價統計(元)年均,年均殖利率(%)現金,年均殖利率(%)股票,年均殖利率(%)合計,盈餘年度,EPS(元),盈餘分配率(%)配息,盈餘分配率(%)配股,盈餘分配率(%)合計
2018,1.1,0,1.1,0,0,0,1.1,1.54,0,-,-,-,-,2018,38.5,30.4,34,3.24,0,3.24,2017,-0.62,-177,0,-177
2017,1,0,1,0,0,0,1,1.4,0,-,-,-,-,2017,48.45,33.8,40.7,2.47,0,2.47,2016,1.14,88.1,0,88.1
2016,2,0,2,0,0,0,2,2.8,0,-,-,-,-,2016,61.7,40,49.7,4.03,0,4.03,2015,1.73,116,0,116
2015,2,0,2,0,0,0,2,2.61,0,4.8,1.81,0.01,0,2015,70,34.8,56.2,3.56,0,3.56,2014,2.04,98,0,98
2014,2,0,2,0,0,0,2,2.6,0,5.2,1.75,0,0,2014,87.4,59,72.9,2.74,0,2.74,2013,2.42,82.6,0,82.6
2013,3,0,3,0,0,0,3,3.6,0,5.2,1.21,0,0,2013,123,70.6,94.7,3.17,0,3.17,2012,3.9,76.9,0,76.9
2012,4,0,4,0,0,0,4,4.32,0,4,0.69,0,0,2012,148,103.5,128,3.11,0,3.11,2011,5.44,73.5,0,73.5
2011,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2010,4.99,-,-,-
平均,1.89,0,1.89,0,0,0,1.89,,,,,,,平均,82.4,53.2,68,3.2,0,3.2,平均,2.63,51.1,0,51.1
累計,15.1,0,15.1,0,0,0,15.1,,,,,,,累計,,,,,,,累計,21,,,
