盈餘發放年度,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,股利總計現金(億),股利總計股票(千張),董監酬勞合計(百萬),董監酬勞合計佔淨利(%),員工紅利現金(億),員工紅利股票(千張),股價年度,股價統計(元)最高,股價統計(元)最低,股價統計(元)年均,年均殖利率(%)現金,年均殖利率(%)股票,年均殖利率(%)合計,盈餘年度,EPS(元),盈餘分配率(%)配息,盈餘分配率(%)配股,盈餘分配率(%)合計
2018,4.8,0,4.8,0,0,0,4.8,22.3,0,-,-,-,-,2018,85.2,57.6,68,7.06,0,7.06,2017,6.57,73.1,0,73.1
2017,4.5,0,4.5,0,0,0,4.5,20.9,0,-,-,-,-,2017,82.5,55.1,67.2,6.7,0,6.7,2016,6.81,66.1,0,66.1
2016,4.5,0,4.5,0,0,0,4.5,20.9,0,-,-,-,-,2016,75.4,44.2,55.4,8.12,0,8.12,2015,6.61,68.1,0,68.1
2015,5.5,0,5.5,0,0,0,5.5,25.6,0,67.1,1.8,4.02,0,2015,120,71.6,97.7,5.63,0,5.63,2014,8.01,68.7,0,68.7
2014,7,0,7,0,0,0,7,32.6,0,84.8,1.8,5.09,0,2014,144,95.5,121,5.8,0,5.8,2013,10.13,69.1,0,69.1
2013,8,0,8,0.3,0,0.3,8.3,36.1,13.5,97.9,1.8,5.88,0,2013,123,86.4,107,7.46,0.28,7.74,2012,12.05,66.4,2.5,68.9
2012,6.5,0,6.5,0.3,0,0.3,6.8,28.5,13.1,79,1.8,4.74,0,2012,158.5,82.3,127,5.12,0.24,5.36,2011,10.01,64.9,3,67.9
2011,3.8,0,3.8,0.3,0,0.3,4.1,16.2,12.8,46.8,1.8,2.81,0,2011,121,56.1,87,4.37,0.34,4.71,2010,6.11,62.2,4.9,67.1
2010,2.3,0,2.3,0.3,0,0.3,2.6,9.5,12.4,24.5,1.8,1.59,0,2010,65,37.2,45.3,5.08,0.66,5.74,2009,3.3,69.7,9.1,78.8
2009,1.7,0,1.7,0.3,0,0.3,2,6.82,12,22.6,1.8,1.47,0,2009,49,19.4,37.1,4.58,0.81,5.38,2008,3.13,54.3,9.6,63.9
2008,3,0,3,0.3,0,0.3,3.3,-,-,34.7,1.8,1.14,6.01,2008,50.4,16.8,33.5,8.95,0.89,9.84,2007,5.03,59.6,6,65.6
2007,2.5,0,2.5,0.3,0,0.3,2.8,-,-,30.8,1.8,0.96,-,2007,61.8,36.5,51.3,4.87,0.58,5.46,2006,4.72,53,6.4,59.3
2006,4,0,4,0.5,0,0.5,4.5,-,-,43,1.8,1.29,-,2006,89,44.1,60.5,6.61,0.83,7.44,2005,7.82,51.2,6.4,57.5
2005,3.3,0,3.3,2.2,0,2.2,5.5,-,-,50.2,2.45,0.84,-,2005,118.5,66.8,92.4,3.57,2.38,5.95,2004,9.88,33.4,22.3,55.6
2004,1.5,0,1.5,2,0,2,3.5,-,-,20.2,2.63,0.17,-,2004,109.5,49.5,75.2,1.99,2.66,4.65,2003,5.02,29.9,39.8,69.7
2003,1,0,1,3.48,0,3.48,4.48,-,-,21.1,2.7,0.16,-,2003,99,44.1,67.9,1.47,5.13,6.59,2002,8.32,12,41.9,53.8
2002,0.5,0,0.5,3,0,3,3.5,-,-,0,0,0,-,2002,169,55,92,0.54,3.26,3.81,2001,4.64,10.8,64.7,75.4
2001,0,0,0,1.2,0,1.2,1.2,-,-,0,0,0,-,-,-,-,-,-,-,-,2000,1.7,0,70.6,70.6
1999,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,1998,-,-,-,-
平均,3.39,0,3.39,0.76,0,0.76,4.15,,,,,,,平均,101,54,75.6,5.2,1.1,6.2,平均,6.66,50.7,15.9,66.6
累計,64.4,0,64.4,14.5,0,14.5,78.9,,,,,,,累計,,,,,,,累計,120,,,
