盈餘發放年度,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,股利總計現金(億),股利總計股票(千張),董監酬勞合計(百萬),董監酬勞合計佔淨利(%),員工紅利現金(億),員工紅利股票(千張),股價年度,股價統計(元)最高,股價統計(元)最低,股價統計(元)年均,年均殖利率(%)現金,年均殖利率(%)股票,年均殖利率(%)合計,盈餘年度,EPS(元),盈餘分配率(%)配息,盈餘分配率(%)配股,盈餘分配率(%)合計
2018,1.4,0,1.4,0,0,0,1.4,0.54,0,-,-,-,-,2018,43.3,40.2,42.3,3.31,0,3.31,2017,-,-,-,-
2017,1.4,0,1.4,0,0,0,1.4,0.54,0,-,-,-,-,2017,44,41.55,42.4,3.3,0,3.3,2016,-,-,-,-
2016,1.4,0,1.4,0,0,0,1.4,0.54,0,-,-,-,-,2016,41.85,38.6,40.5,3.46,0,3.46,2015,-,-,-,-
2015,1.4,0,1.4,0,0,0,1.4,0.54,0,29.8,-,15.9,0,2015,42.3,36.7,40.4,3.46,0,3.46,2014,-,-,-,-
2014,1.2,0,1.2,0.2,0,0.2,1.4,0.46,0.77,21.2,-,11.3,0,2014,43.8,39.4,41.4,2.9,0.48,3.39,2013,-,-,-,-
2013,1.3,0,1.3,0.1,0,0.1,1.4,0.5,0.38,7.77,-,4.14,0,2013,42.8,39.55,40.6,3.2,0.25,3.45,2012,-,-,-,-
2012,1.25,0,1.25,0.15,0,0.15,1.4,0.48,0.57,26.2,-,14,0,2012,41,38.15,39.3,3.18,0.38,3.57,2011,-,-,-,-
2011,1.99,0,1.99,0.5,0,0.5,2.49,0.76,1.91,50.7,-,27,0,2011,42,38,39.7,5.01,1.26,6.27,2010,-,-,-,-
2010,1.07,0,1.07,0.33,0,0.33,1.4,0.41,1.26,28.7,-,15.3,0,2010,41.4,37.2,38.7,2.77,0.85,3.62,2009,-,-,-,-
2009,1.3,0,1.3,0.43,0,0.43,1.73,162,537,35.2,-,18.8,0,2009,38.7,29.5,34.5,3.77,1.25,5.02,2008,-,-,-,-
2008,3.5,0,3.5,0.3,0,0.3,3.8,-,-,69.2,-,9.23,138,2008,53.8,26.7,41.3,8.48,0.73,9.21,2007,-,-,-,-
2007,2.78,0,2.78,0.3,0,0.3,3.08,-,-,-,-,-,-,2007,51,34.2,40.7,6.83,0.74,7.57,2006,-,-,-,-
2006,3.75,0,3.75,0.35,0,0.35,4.1,-,-,-,-,-,-,2006,36,28.5,32,11.7,1.09,12.8,2005,-,-,-,-
2005,3.9,0,3.9,0.5,0,0.5,4.4,-,-,-,-,-,-,2005,37.2,27.5,32.1,12.2,1.56,13.7,2004,-,-,-,-
2004,1.4,0,1.4,0,0,0,1.4,-,-,-,-,-,-,2004,37,29.5,33.2,4.21,0,4.21,2003,-,-,-,-
2003,1.2,0,1.2,0,0,0,1.2,-,-,-,-,-,-,2003,30.8,24.5,27.8,4.32,0,4.32,2002,-,-,-,-
2002,1.5,0,1.5,0,0,0,1.5,-,-,-,-,-,-,2002,25.9,20,22.9,6.55,0,6.55,2001,-,-,-,-
2001,1.3,0,1.3,0,0,0,1.3,-,-,-,-,-,-,2001,21.9,17.3,20,6.5,0,6.5,2000,-,-,-,-
2000,2.5,0,2.5,0,0,0,2.5,-,-,-,-,-,-,2000,26.6,18.8,21.8,11.5,0,11.5,1999,-,-,-,-
1999,1.1,0,1.1,0,0,0,1.1,-,-,-,-,-,-,-,-,-,-,-,-,-,1998,-,-,-,-
1998,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,1997,-,-,-,-
1997,1.25,0,1.25,0,0,0,1.25,-,-,-,-,-,-,-,-,-,-,-,-,-,1996,-,-,-,-
1996,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,1995,-,-,-,-
平均,1.65,0,1.65,0.14,0,0.14,1.78,,,,,,,平均,39,31.9,35.3,5.6,0.5,6.1,平均,,,,
累計,37.9,0,37.9,3.16,0,3.16,41,,,,,,,累計,,,,,,,累計,,,,
