盈餘發放年度,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,股利總計現金(億),股利總計股票(千張),董監酬勞合計(百萬),董監酬勞合計佔淨利(%),員工紅利現金(億),員工紅利股票(千張),股價年度,股價統計(元)最高,股價統計(元)最低,股價統計(元)年均,年均殖利率(%)現金,年均殖利率(%)股票,年均殖利率(%)合計,盈餘年度,EPS(元),盈餘分配率(%)配息,盈餘分配率(%)配股,盈餘分配率(%)合計
2018,0,0,0,0,0,0,0,0,0,-,-,-,-,2018,42.5,21.4,30.7,0,0,0,2017,-1.64,0,0,0
2017,0,0,0,0,0,0,0,0,0,-,-,-,-,2017,42,21,28.7,0,0,0,2016,-1.52,0,0,0
2016,0,0,0,0,0,0,0,0,0,-,-,-,-,2016,32.7,18.3,25.8,0,0,0,2015,-0.89,0,0,0
2015,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,43.6,24.9,34.7,0,0,0,2014,-0.21,0,0,0
2014,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,46.3,36.95,40.4,0,0,0,2013,7.08,0,0,0
2013,0,0,0,0,0,0,0,0,0,0,0,0,0,2013,43.7,24.75,32.3,0,0,0,2012,-1.01,0,0,0
2012,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,29.5,12.65,18,0,0,0,2011,1.97,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,2011,22.15,12.55,15.7,0,0,0,2010,-0.11,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,24.35,11.1,16.3,0,0,0,2009,-1.68,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,2009,16.2,7.67,10.2,0,0,0,2008,-1.06,0,0,0
2008,0,0,0,0,0,0,0,-,-,0,0,0,0,2008,11.1,3.2,5.43,0,0,0,2007,-3.32,0,0,0
2007,0,0,0,0,0,0,0,-,-,0,0,0,-,2007,10.5,3.95,6.86,0,0,0,2006,-1.91,0,0,0
2006,0,0,0,0,0,0,0,-,-,0,0,0,-,2006,8.45,3.89,5.47,0,0,0,2005,-1.12,0,0,0
2005,0,0,0,0,0,0,0,-,-,0,0,0,-,2005,11.35,4,7.43,0,0,0,2004,-2.5,0,0,0
2004,0,0,0,0.11,0,0.11,0.11,-,-,0.27,0.43,0,-,2004,20.7,7.95,13.5,0,0.81,0.81,2003,0.7,0,15.7,15.7
2003,0,0,0,0,0,0,0,-,-,-,-,-,-,2003,19.3,9.05,12.9,0,0,0,2002,-0.74,0,0,0
2002,0,0,0,0.5,0,0.5,0.5,-,-,0,0,0,-,2002,29.7,8.05,17,0,2.95,2.95,2001,0.62,0,80.6,80.6
2001,0,0,0,0.59,0.41,1,1,-,-,0,0,0,-,2001,22.9,7.55,13.3,0,7.51,7.51,2000,1.14,0,87.7,87.7
2000,0,0,0,0.46,0.14,0.6,0.6,-,-,0,0,0,-,2000,58,7.3,24.5,0,2.44,2.44,1999,0.76,0,78.9,78.9
1999,0,0,0,0.6,0,0.6,0.6,-,-,0,0,0,-,1999,15.1,9.05,12.4,0,4.83,4.83,1998,0.54,0,111,111
1998,0,0,0,0.2,0.8,1,1,-,-,0,0,0,-,1998,38.9,14.55,25.3,0,3.95,3.95,1997,0.54,0,185,185
1997,0,0,0,0.8,0.1,0.9,0.9,-,-,-,-,-,-,1997,25.2,17.1,21.7,0,4.15,4.15,1996,0.82,0,110,110
1996,0.5,0,0.5,0,0,0,0.5,-,-,-,-,-,-,-,-,-,-,-,-,-,1995,0.89,56,0,56
1995,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,1994,-,-,-,-
1994,0,0,0,0,0.5,0.5,0.5,-,-,-,-,-,-,-,-,-,-,-,-,-,1993,-,-,-,-
1993,0,0,0,0,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1992,-,-,-,-
平均,0.02,0,0.02,0.13,0.11,0.24,0.26,,,,,,,平均,27.9,13,19,0,1.2,1.2,平均,-0.12,2.4,29.1,31.5
累計,0.5,0,0.5,3.26,2.95,6.21,6.71,,,,,,,累計,,,,,,,累計,-2.65,,,
