盈餘發放年度,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,股利總計現金(億),股利總計股票(千張),董監酬勞合計(百萬),董監酬勞合計佔淨利(%),員工紅利現金(億),員工紅利股票(千張),股價年度,股價統計(元)最高,股價統計(元)最低,股價統計(元)年均,年均殖利率(%)現金,年均殖利率(%)股票,年均殖利率(%)合計,盈餘年度,EPS(元),盈餘分配率(%)配息,盈餘分配率(%)配股,盈餘分配率(%)合計
2018,0,0,0,0,0,0,0,0,0,-,-,-,-,2018,12,8.67,9.62,0,0,0,2017,0.41,0,0,0
2017,0,0,0,0,0,0,0,0,0,-,-,-,-,2017,16.1,8.47,11.1,0,0,0,2016,0.5,0,0,0
2016,0,0,0,0,0,0,0,0,0,-,-,-,-,2016,14.5,4.19,9.18,0,0,0,2015,1.24,0,0,0
2015,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,8.96,3.47,6.36,0,0,0,2014,-5.33,0,0,0
2014,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,11.1,6.81,8.72,0,0,0,2013,-0.69,0,0,0
2013,0,0,0,0,0,0,0,0,0,0,0,0,0,2013,6.35,2.08,3.23,0,0,0,2012,-1.4,0,0,0
2012,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,3.05,1.21,1.72,0,0,0,2011,-1.42,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,2011,3.07,1.6,2.44,0,0,0,2010,-1,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,3.07,1.26,1.85,0,0,0,2009,-1.56,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,2009,3.18,1.02,1.59,0,0,0,2008,0.21,0,0,0
2008,0,0,0,0,0,0,0,-,-,0,0,0,0,2008,5.69,1.86,2.97,0,0,0,2007,-0.14,0,0,0
2007,0,0,0,0,0,0,0,-,-,0,0,0,-,2007,5.8,2.46,3.76,0,0,0,2006,-0.64,0,0,0
2006,0,0,0,0,0,0,0,-,-,0,0,0,-,2006,5.25,1.63,2.29,0,0,0,2005,-1.45,0,0,0
2005,0,0,0,0,0,0,0,-,-,0,0,0,-,2005,2.8,1.6,2.05,0,0,0,2004,-1.3,0,0,0
2004,0,0,0,0,0,0,0,-,-,-,-,-,-,2004,6.25,2.25,3.62,0,0,0,2003,-0.77,0,0,0
2003,0,0,0,0,0,0,0,-,-,-,-,-,-,2003,9.7,4.01,5.43,0,0,0,2002,-0.81,0,0,0
2002,0,0,0,0,0,0,0,-,-,0,0,0,-,2002,7,4.7,5.45,0,0,0,2001,-1.33,0,0,0
2001,0,0,0,0,0,0,0,-,-,-,-,-,-,2001,8.2,4.75,5.89,0,0,0,2000,-0.7,0,0,0
2000,0,0,0,0,0,0,0,-,-,-,-,-,-,2000,14.6,6.45,9.74,0,0,0,1999,-1.29,0,0,0
1999,0,0,0,0,0,0,0,-,-,-,-,-,-,1999,13.8,9.8,11,0,0,0,1998,-0.38,0,0,0
1998,0,0,0,0,0,0,0,-,-,-,-,-,-,1998,17.2,10.45,13.2,0,0,0,1997,-0.28,0,0,0
1997,0,0,0,0,0,0,0,-,-,-,-,-,-,1997,19.2,11,13.7,0,0,0,1996,-1.05,0,0,0
1996,0,0,0,0,0.5,0.5,0.5,-,-,-,-,-,-,1996,17.6,12.1,13.5,0,3.69,3.69,1995,-0.24,0,-208,-208
1995,0,0,0,0.2,0.8,1,1,-,-,0,0,0,-,1995,27.1,11.7,17,0,5.88,5.88,1994,0.45,0,222,222
1994,0,0,0,0.35,0.65,1,1,-,-,0,0,0,-,1994,38.4,20.5,29,0,3.45,3.45,1993,0.64,0,156,156
1993,0,0,0,0.6,0.4,1,1,-,-,0,0,0,-,1993,35.29,26.7,30.6,0,3.27,3.27,1992,0.75,0,134,134
1992,0,0,0,0.5,0.5,1,1,-,-,0,0,0,-,-,-,-,-,-,-,-,1991,1.37,0,72.9,72.9
1990,0,0,0,1.2,0,1.2,1.2,-,-,-,-,-,-,-,-,-,-,-,-,-,1989,-,-,-,-
平均,0,0,0,0.1,0.1,0.2,0.2,,,,,,,平均,12.1,6.57,8.65,0,0.6,0.6,平均,-0.6,0,13.9,13.9
累計,0,0,0,2.85,2.85,5.7,5.7,,,,,,,累計,,,,,,,累計,-16.2,,,
