盈餘發放年度,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,股利總計現金(億),股利總計股票(千張),董監酬勞合計(百萬),董監酬勞合計佔淨利(%),員工紅利現金(億),員工紅利股票(千張),股價年度,股價統計(元)最高,股價統計(元)最低,股價統計(元)年均,年均殖利率(%)現金,年均殖利率(%)股票,年均殖利率(%)合計,盈餘年度,EPS(元),盈餘分配率(%)配息,盈餘分配率(%)配股,盈餘分配率(%)合計
2018,0,0,0,0,0,0,0,0,0,-,-,-,-,2018,12.75,8.82,9.98,0,0,0,2017,0.03,0,0,0
2017,0,0,0,0,0,0,0,0,0,-,-,-,-,2017,14.2,8.68,10.5,0,0,0,2016,0.04,0,0,0
2016,0,0,0,0,0,0,0,0,0,-,-,-,-,2016,11.35,8.13,9.21,0,0,0,2015,-0.33,0,0,0
2015,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,15.25,7.28,11.1,0,0,0,2014,0.85,0,0,0
2014,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,18.25,10.65,14.1,0,0,0,2013,-0.9,0,0,0
2013,0,0,0,0,0,0,0,0,0,0,0,0,0,2013,13.1,9.06,10.4,0,0,0,2012,-2.32,0,0,0
2012,0.25,0,0.25,0.25,0,0.25,0.5,0.71,7.12,3.99,1.35,0.16,0,2012,14.55,8.22,10.5,2.38,2.38,4.76,2011,1.04,24,24,48.1
2011,0.1,0,0.1,0.91,0,0.91,1.01,0.26,23.7,0.94,1.35,0.04,0,2011,20.45,9.85,14.7,0.69,6.17,6.86,2010,0.27,37.2,335,372
2010,2,0,2,0,0,0,2,5.25,0,11.1,1.31,0.44,0,2010,38.8,17.1,26.8,7.47,0,7.47,2009,3.3,60.5,0,60.5
2009,2,0,2,0,0,0,2,5.23,0,7.48,1.35,0.3,0,2009,40.3,15.55,28,7.14,0,7.14,2008,2.32,86.2,0,86.2
2008,2,0,2,1,0,1,3,-,-,13.2,1.35,0.35,1.75,-,-,-,-,-,-,-,2007,4.53,44.2,22.1,66.2
2007,2,0,2,2,0,2,4,-,-,22.8,2.7,0.23,-,-,-,-,-,-,-,-,2006,5.09,39.3,39.3,78.6
2006,1,0,1,3,0,3,4,-,-,22.8,2.7,0.15,-,-,-,-,-,-,-,-,2005,8.03,12.5,37.4,49.8
2005,0,0,0,2.8,0,2.8,2.8,-,-,6.98,2.7,0.05,-,-,-,-,-,-,-,-,2004,3.98,0,70.4,70.4
2004,0,0,0,0,0.48,0.48,0.48,-,-,1.86,2.57,0,-,-,-,-,-,-,-,-,2003,1.29,0,37.2,37.2
2003,0,0,0,3,0,3,3,-,-,4.34,2.47,0,-,-,-,-,-,-,-,-,2002,4.31,0,69.6,69.6
2002,0,0,0,5,0,5,5,-,-,-,-,-,-,-,-,-,-,-,-,-,2001,-,-,-,-
平均,0.55,0,0.55,1.06,0.03,1.08,1.63,,,,,,,平均,19.9,10.3,14.5,1.8,0.9,2.6,平均,1.97,19,39.7,58.7
累計,9.35,0,9.35,18,0.48,18.4,27.8,,,,,,,累計,,,,,,,累計,31.5,,,
