盈餘發放年度,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,股利總計現金(億),股利總計股票(千張),董監酬勞合計(百萬),董監酬勞合計佔淨利(%),員工紅利現金(億),員工紅利股票(千張),股價年度,股價統計(元)最高,股價統計(元)最低,股價統計(元)年均,年均殖利率(%)現金,年均殖利率(%)股票,年均殖利率(%)合計,盈餘年度,EPS(元),盈餘分配率(%)配息,盈餘分配率(%)配股,盈餘分配率(%)合計
2018,0.25,0,0.25,0,0,0,0.25,1.44,0,-,-,-,-,2018,18.1,11.9,14.7,1.7,0,1.7,2017,0.25,100,0,100
2017,0,0,0,0,0,0,0,0,0,-,-,-,-,2017,18.1,11.7,13.4,0,0,0,2016,0.01,0,0,0
2016,0.4,0,0.4,0,0,0,0.4,2.31,0,-,-,-,-,2016,14.15,10,12,3.34,0,3.34,2015,0.61,65.6,0,65.6
2015,0.1,0,0.1,0,0,0,0.1,0.58,0,0.91,1.8,0.01,0,2015,14.85,8.99,12.6,0.79,0,0.79,2014,0.1,100,0,100
2014,0.4,0,0.4,0,0,0,0.4,2.01,0,4.6,0.27,0.05,0,2014,19.7,12.35,15.2,2.63,0,2.63,2013,3.39,11.8,0,11.8
2013,0.29,0,0.29,0.98,0,0.98,1.28,1.35,45,24.4,1.92,0.24,0,2013,22.45,15.7,19.3,1.53,5.09,6.61,2012,2.87,10.3,34.2,44.5
2012,0.3,0,0.3,0,0,0,0.3,1.33,0,6.83,2.03,0.07,0,2012,17.3,10,13,2.3,0,2.3,2011,0.79,38,0,38
2011,0,0,0,0,0,0,0,0,0,1.33,1.87,0.01,0,2011,25.65,8.71,17.7,0,0,0,2010,0.16,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,26.8,16.5,22.1,0,0,0,2009,-0.81,0,0,0
2009,0,0,0,0,0,0,0,0,0,2.25,1.35,0.02,0,2009,21.7,6.12,14.4,0,0,0,2008,0.38,0,0,0
2008,0.3,0,0.3,0,0,0,0.3,-,-,8.6,1.52,0.22,0,2008,33.45,6.68,17.5,1.71,0,1.71,2007,1.28,23.4,0,23.4
2007,0,0,0,0,0,0,0,-,-,-,-,-,-,2007,34.75,12.65,24.1,0,0,0,2006,1.1,0,0,0
2006,0,0,0,0,0,0,0,-,-,0,0,0,-,2006,35.8,8.9,15.4,0,0,0,2005,0.07,0,0,0
2005,0,0,0,0,0,0,0,-,-,0,0,0,-,2005,17.4,7.98,11.5,0,0,0,2004,0.34,0,0,0
2004,0,0,0,0,0,0,0,-,-,0,0,0,-,2004,16.6,6,11.1,0,0,0,2003,-1.23,0,0,0
2003,0,0,0,0,0,0,0,-,-,0,0,0,-,2003,6.9,2.7,4.57,0,0,0,2002,-4.15,0,0,0
2002,0,0,0,0,0,0,0,-,-,0,0,0,-,2002,8.75,1.43,3.56,0,0,0,2001,0.41,0,0,0
2001,0,0,0,0,0,0,0,-,-,0,0,0,-,2001,3.44,0.97,1.74,0,0,0,2000,-1.62,0,0,0
2000,0,0,0,0,0,0,0,-,-,-,-,-,-,2000,10.7,0.91,3.58,0,0,0,1999,-4.25,0,0,0
1999,0,0,0,0,0,0,0,-,-,-,-,-,-,1999,19.9,1.78,4.67,0,0,0,1998,-10.17,0,0,0
1998,0,0,0,2.5,2.5,5,5,-,-,0,0,0,-,1998,82,21.3,57.3,0,8.72,8.72,1997,3.14,0,159,159
1997,0,0,0,1.2,1,2.2,2.2,-,-,0,0,0,-,1997,78.5,41,62.9,0,3.5,3.5,1996,2.35,0,93.6,93.6
1996,0,0,0,0,0,0,0,-,-,-,-,-,-,1996,44,13.25,24.5,0,0,0,1995,-1.1,0,0,0
1995,0,0,0,0.5,0,0.5,0.5,-,-,0,0,0,-,1995,18.1,9,13.4,0,3.74,3.74,1994,0.12,0,414,414
1994,0,0,0,0.5,0,0.5,0.5,-,-,-,-,-,-,1994,23.1,14.3,17.6,0,2.83,2.83,1993,0.54,0,92.1,92.1
1993,0,0,0,0,0,0,0,-,-,0,0,0,-,1993,29.8,14.85,19.2,0,0,0,1992,0.33,0,0,0
1992,0,0,0,0,0,0,0,-,-,0,0,0,-,1992,35.9,17.5,26.5,0,0,0,1991,0.27,0,0,0
1991,0,0,0,0,0.5,0.5,0.5,-,-,0,0,0,-,1991,46.9,17.39,33,0,1.52,1.52,1990,-0.83,0,-60.5,-60.5
1990,0,0,0,0,0,0,0,-,-,0,0,0,-,-,-,-,-,-,-,-,1989,0.37,0,0,0
平均,0.07,0,0.07,0.2,0.14,0.33,0.4,,,,,,,平均,26.6,11.1,18.1,0.5,0.9,1.4,平均,-0.18,12,25.3,37.3
累計,2.04,0,2.04,5.68,4,9.68,11.7,,,,,,,累計,,,,,,,累計,-5.27,,,
