盈餘發放年度,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,股利總計現金(億),股利總計股票(千張),董監酬勞合計(百萬),董監酬勞合計佔淨利(%),員工紅利現金(億),員工紅利股票(千張),股價年度,股價統計(元)最高,股價統計(元)最低,股價統計(元)年均,年均殖利率(%)現金,年均殖利率(%)股票,年均殖利率(%)合計,盈餘年度,EPS(元),盈餘分配率(%)配息,盈餘分配率(%)配股,盈餘分配率(%)合計
2018,0,0,0,0,0,0,0,0,0,-,-,-,-,2018,17.3,6.88,13,0,0,0,2017,-3.82,0,0,0
2017,0,0,0,0,0,0,0,0,0,-,-,-,-,2017,9.99,6.15,7.44,0,0,0,2016,-2.36,0,0,0
2016,0,0,0,0,0,0,0,0,0,-,-,-,-,2016,8.28,6.05,7.12,0,0,0,2015,-0.93,0,0,0
2015,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,10.65,6.5,8.42,0,0,0,2014,-2.17,0,0,0
2014,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,10.65,8.99,9.56,0,0,0,2013,-0.14,0,0,0
2013,0.1,0,0.1,0.1,0.1,0.2,0.3,0.09,1.76,0.18,2.28,0.01,0,2013,11.3,8.5,9.55,1.05,2.09,3.14,2012,0.09,111,222,333
2012,0.7,0,0.7,0,0.5,0.5,1.2,0.59,4.19,1.93,1.41,0.04,0,2012,13.8,7.7,10.1,6.92,4.95,11.9,2011,1.94,36.1,25.8,61.9
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,2011,24.85,8.41,13.8,0,0,0,2010,2.46,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,10.4,5.91,7.97,0,0,0,2009,-1.33,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,2009,10.05,2.55,6.14,0,0,0,2008,-1.47,0,0,0
2008,0,0,0,0,0,0,0,-,-,0,0,0,0,2008,7.89,2.52,4.84,0,0,0,2007,-0.16,0,0,0
2007,0,0,0,0,0,0,0,-,-,0,0,0,-,2007,11.35,4.03,6.84,0,0,0,2006,0.01,0,0,0
2006,0,0,0,0,0,0,0,-,-,0,0,0,-,2006,8.35,1.76,3.15,0,0,0,2005,-0.9,0,0,0
2005,0,0,0,0,0,0,0,-,-,0,0,0,-,2005,4.12,1.94,2.7,0,0,0,2004,-0.49,0,0,0
2004,0,0,0,0,0,0,0,-,-,0,0,0,-,2004,8.2,2.98,4.33,0,0,0,2003,-5.49,0,0,0
2003,0,0,0,0,0,0,0,-,-,0,0,0,-,2003,3.89,1.7,2.58,0,0,0,2002,-2.27,0,0,0
2002,0,0,0,0,0,0,0,-,-,0,0,0,-,2002,5.35,1.51,2.84,0,0,0,2001,-2.77,0,0,0
2001,0,0,0,0,0,0,0,-,-,0,0,0,-,2001,5.1,1.93,3.37,0,0,0,2000,-1.15,0,0,0
2000,0,0,0,0,0,0,0,-,-,-,-,-,-,2000,10.25,2.92,5.9,0,0,0,1999,-2.11,0,0,0
1999,0,0,0,0,0,0,0,-,-,-,-,-,-,1999,14.1,5.95,9.76,0,0,0,1998,-1.32,0,0,0
1998,0,0,0,0,0,0,0,-,-,-,-,-,-,1998,23.8,11.6,17.6,0,0,0,1997,-0.15,0,0,0
1997,0,0,0,0,0,0,0,-,-,-,-,-,-,1997,30.7,17.39,22.6,0,0,0,1996,-0.32,0,0,0
1996,0,0,0,0,0,0,0,-,-,-,-,-,-,1996,27,18.1,21.8,0,0,0,1995,1.16,0,0,0
1995,0.8,0,0.8,0,0,0,0.8,-,-,0,0,0,-,1995,40.5,16.2,25.8,3.11,0,3.11,1994,2.58,31,0,31
1994,0,0,0,0,0,0,0,-,-,-,-,-,-,1994,42.9,24.7,33.4,0,0,0,1993,-0.44,0,0,0
1993,0,0,0,0,0,0,0,-,-,0,0,0,-,1993,31.7,18.3,23.5,0,0,0,1992,-1.19,0,0,0
1992,0,0,0,0,0,0,0,-,-,0,0,0,-,1992,42.6,20.9,30.2,0,0,0,1991,0.21,0,0,0
1991,0.5,0,0.5,0.5,0.2,0.7,1.2,-,-,0,0,0,-,1991,56,22.5,40,1.25,1.75,3,1990,0.95,52.6,73.6,126
1990,0,0,0,1.1,0.9,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,1989,-,-,-,-
1989,0,0,0,2,0,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,1988,-,-,-,-
1988,0.5,0,0.5,2.5,0.1,2.6,3.1,-,-,-,-,-,-,-,-,-,-,-,-,-,1987,-,-,-,-
1987,0.5,0,0.5,3,0,3,3.5,-,-,-,-,-,-,-,-,-,-,-,-,-,1986,-,-,-,-
平均,0.1,0,0.1,0.29,0.06,0.34,0.44,,,,,,,平均,17.9,8.73,12.7,0.4,0.3,0.8,平均,-0.77,8.2,11.5,19.7
累計,3.1,0,3.1,9.2,1.8,11,14.1,,,,,,,累計,,,,,,,累計,-21.6,,,
