盈餘發放年度,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,股利總計現金(億),股利總計股票(千張),董監酬勞合計(百萬),董監酬勞合計佔淨利(%),員工紅利現金(億),員工紅利股票(千張),股價年度,股價統計(元)最高,股價統計(元)最低,股價統計(元)年均,年均殖利率(%)現金,年均殖利率(%)股票,年均殖利率(%)合計,盈餘年度,EPS(元),盈餘分配率(%)配息,盈餘分配率(%)配股,盈餘分配率(%)合計
2018,6,0,6,0.04,1,1.04,7.04,9.78,17,-,-,-,-,2018,435,218,339,1.77,0.31,2.08,2017,13.12,45.7,7.9,53.7
2017,5,0,5,0,1,1,6,7.41,14.8,-,-,-,-,2017,439,237,332,1.51,0.3,1.81,2016,11.75,42.6,8.5,51.1
2016,2.5,0,2.5,0.5,0,0.5,3,3.53,7.06,-,-,-,-,2016,360.5,198,274,0.91,0.18,1.1,2015,8.07,31,6.2,37.2
2015,1.2,0,1.2,0,0,0,1.2,1.69,0,0,0,0,0,2015,250,121,172,0.7,0,0.7,2014,3.74,32.1,0,32.1
2014,1.3,0,1.3,0,0,0,1.3,1.83,0,0,0,0,0,2014,271,160,219,0.59,0,0.59,2013,4.07,31.9,0,31.9
2013,5,0,5,0,0,0,5,7.06,0,0,-,0,0,2013,239.5,143,190,2.64,0,2.64,2012,-,-,-,-
2012,4,0,4,0,0.5,0.5,4.5,5.38,6.72,0,-,0,0,2012,266,180,219,1.83,0.23,2.06,2011,-,-,-,-
2011,3.5,0,3.5,0.5,0,0.5,4,4.48,6.4,0,-,0,0,2011,320,179.5,239,1.47,0.21,1.67,2010,-,-,-,-
2010,2,0,2,6.25,0,6.25,8.25,-,-,-,-,-,-,2010,400,240,341,0.59,1.83,2.42,2009,-,-,-,-
2009,1.36,0,1.36,0,0,0,1.36,-,-,-,-,-,-,-,-,-,-,-,-,-,2008,-,-,-,-
平均,3.19,0,3.19,0.73,0.25,0.98,4.16,,,,,,,平均,331,186,258,1.3,0.3,1.7,平均,8.15,36.7,4.5,41.2
累計,31.9,0,31.9,7.29,2.5,9.79,41.6,,,,,,,累計,,,,,,,累計,40.8,,,
