盈餘發放年度,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,股利總計現金(億),股利總計股票(千張),董監酬勞合計(百萬),董監酬勞合計佔淨利(%),員工紅利現金(億),員工紅利股票(千張),股價年度,股價統計(元)最高,股價統計(元)最低,股價統計(元)年均,年均殖利率(%)現金,年均殖利率(%)股票,年均殖利率(%)合計,盈餘年度,EPS(元),盈餘分配率(%)配息,盈餘分配率(%)配股,盈餘分配率(%)合計
2018,0,0,0,0,0,0,0,0,0,-,-,-,-,2018,20,9.85,14.4,0,0,0,2017,-2.86,0,0,0
2017,0,0,0,0,0,0,0,0,0,-,-,-,-,2017,19.25,11.5,14.7,0,0,0,2016,-2.68,0,0,0
2016,1.73,0,1.73,0,0,0,1.73,1.51,0,-,-,-,-,2016,30.9,12.85,20.7,8.35,0,8.35,2015,2.21,78.1,0,78.1
2015,1.2,0,1.2,0,0,0,1.2,0.96,0,6.17,1.8,0.46,0,2015,36,29.4,30.5,3.93,0,3.93,2014,4.53,26.5,0,26.5
2014,0.5,0,0.5,0,0,0,0.5,0.38,0,2.26,-,0.2,0,-,-,-,-,-,-,-,2013,-,-,-,-
2011,0,0,0,0,0,0,0,0,0,0,-,0,0,-,-,-,-,-,-,-,2010,-,-,-,-
2010,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,2009,-,-,-,-
2009,0,0,0,0,0,0,0,0,0,0,-,0,0,-,-,-,-,-,-,-,2008,-,-,-,-
2005,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2004,3.61,-,-,-
2004,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2003,7.31,-,-,-
平均,0.34,0,0.34,0,0,0,0.34,,,,,,,平均,26.5,15.9,20.1,3.1,0,3.1,平均,2.02,26.2,0,26.2
累計,3.43,0,3.43,0,0,0,3.43,,,,,,,累計,,,,,,,累計,12.1,,,
