盈餘發放年度,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,股利總計現金(億),股利總計股票(千張),董監酬勞合計(百萬),董監酬勞合計佔淨利(%),員工紅利現金(億),員工紅利股票(千張),股價年度,股價統計(元)最高,股價統計(元)最低,股價統計(元)年均,年均殖利率(%)現金,年均殖利率(%)股票,年均殖利率(%)合計,盈餘年度,EPS(元),盈餘分配率(%)配息,盈餘分配率(%)配股,盈餘分配率(%)合計
2018,0.7,0,0.7,0,0,0,0.7,1.6,0,-,-,-,-,2018,10.7,7.6,8.92,7.84,0,7.84,2017,1,70,0,70
2017,0.3,0,0.3,0,0,0,0.3,0.69,0,-,-,-,-,2017,9.57,8.03,8.61,3.48,0,3.48,2016,0.22,136,0,136
2016,0.5,0,0.5,0,0,0,0.5,1.14,0,-,-,-,-,2016,10.1,7.78,8.68,5.76,0,5.76,2015,0.7,71.4,0,71.4
2015,0.4,0,0.4,0.4,0,0.4,0.8,0.9,8.96,3.34,1.8,0.05,0,2015,15,8.8,11.4,3.52,3.52,7.05,2014,0.94,42.6,42.6,85.1
2014,1,0,1,1,0,1,2,2.04,20.4,15.3,1.22,0.23,0,2014,22.6,10.25,16.2,6.18,6.18,12.4,2013,7,14.3,14.3,28.6
2013,0.4,0,0.4,0.5,0,0.5,0.9,0.78,9.7,3.82,2.12,0.06,0,2013,20.2,9.54,14.1,2.84,3.56,6.4,2012,1.05,38.1,47.6,85.7
2012,0.8,0,0.8,0,0,0,0.8,1.55,0,1.86,1.04,0.06,0,2012,12.55,7.9,10.3,7.8,0,7.8,2011,1.05,76.2,0,76.2
2011,0.6,0,0.6,0.4,0,0.4,1,1.12,7.46,1.61,0.9,0.05,0,2011,14.05,7.49,10.5,5.71,3.8,9.51,2010,1.1,54.5,36.4,90.9
2010,0.8,0,0.8,0.4,0,0.4,1.2,1.43,7.17,3.41,0.75,0.1,0,2010,19.4,12.8,15.6,5.14,2.57,7.71,2009,3.06,26.1,13.1,39.2
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,2009,19.4,4.96,11.4,0,0,0,2008,1.12,0,0,0
2008,0,0,0,0,0,0,0,-,-,-,-,-,-,2008,10.5,3.83,6.87,0,0,0,2007,0.59,0,0,0
2007,0,0,0,0,0,0,0,-,-,-,-,-,-,2007,11.7,4.9,7.55,0,0,0,2006,0.03,0,0,0
2006,0,0,0,0,0,0,0,-,-,-,-,-,-,2006,6.5,2.5,3.75,0,0,0,2005,-3.63,0,0,0
2005,0,0,0,0,0,0,0,-,-,-,-,-,-,2005,6.27,4.2,4.94,0,0,0,2004,0.07,0,0,0
2004,0,0,0,0,0,0,0,-,-,0,0,0,-,2004,11.1,4.61,6.84,0,0,0,2003,-1.24,0,0,0
2003,0,0,0,0,0,0,0,-,-,0,0,0,-,2003,12.25,6.75,9,0,0,0,2002,0.02,0,0,0
2002,0,0,0,0,0,0,0,-,-,0,0,0,-,2002,12.05,5,8.3,0,0,0,2001,-0.75,0,0,0
2001,0,0,0,0,0,0,0,-,-,0,0,0,-,2001,15.2,4.1,8.27,0,0,0,2000,0.19,0,0,0
2000,0,0,0,0.2,0.3,0.5,0.5,-,-,0,0,0,-,2000,15.4,8.8,11.6,0,4.32,4.32,1999,0.24,0,208,208
1999,0,0,0,0,0.5,0.5,0.5,-,-,0,0,0,-,1999,21.5,10.3,15.9,0,3.14,3.14,1998,-1.07,0,-46.7,-46.7
1998,0,0,0,0,1,1,1,-,-,0,0,0,-,1998,27.1,15.8,21,0,4.76,4.76,1997,0.19,0,526,526
1997,0,0,0,0.4,1,1.4,1.4,-,-,-,-,-,-,1997,33.79,18.5,25.6,0,5.47,5.47,1996,0.53,0,264,264
1996,0,0,0,1.8,0,1.8,1.8,-,-,0,0,0,-,1996,34,20.9,26.6,0,6.77,6.77,1995,2.06,0,87.4,87.4
1995,0,0,0,1.76,0,1.76,1.76,-,-,0,0,0,-,1995,31.7,25.3,29.1,0,6.05,6.05,1994,2.07,0,84.9,84.9
1994,1.4,0,1.4,0,0,0,1.4,-,-,0,0,0,-,-,-,-,-,-,-,-,1993,1.61,86.7,0,86.7
1993,0.65,0,0.65,0,0,0,0.65,-,-,-,-,-,-,-,-,-,-,-,-,-,1992,-,-,-,-
平均,0.29,0,0.29,0.26,0.11,0.37,0.66,,,,,,,平均,16.8,9.19,12.5,2,2.1,4.1,平均,0.73,24.7,51.1,75.8
累計,7.55,0,7.55,6.86,2.8,9.66,17.2,,,,,,,累計,,,,,,,累計,18.2,,,
