盈餘發放年度,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,股利總計現金(億),股利總計股票(千張),董監酬勞合計(百萬),董監酬勞合計佔淨利(%),員工紅利現金(億),員工紅利股票(千張),股價年度,股價統計(元)最高,股價統計(元)最低,股價統計(元)年均,年均殖利率(%)現金,年均殖利率(%)股票,年均殖利率(%)合計,盈餘年度,EPS(元),盈餘分配率(%)配息,盈餘分配率(%)配股,盈餘分配率(%)合計
2018,6.3,0,6.3,0,0,0,6.3,600,0,-,-,-,-,2018,129.5,106,120,5.25,0,5.25,2017,8.42,74.8,0,74.8
2017,6,0,6,0,0,0,6,572,0,-,-,-,-,2017,119,101,107,5.63,0,5.63,2016,7.95,75.5,0,75.5
2016,4,0,4,0,0,0,4,381,0,-,-,-,-,2016,115,74.3,92.8,4.31,0,4.31,2015,4.97,80.5,0,80.5
2015,0.85,0,0.85,0,0,0,0.85,81,0,0,0,0.01,0,2015,84.4,63.9,74.4,1.14,0,1.14,2014,0.95,89.5,0,89.5
2014,2.5,0,2.5,0,0,0,2.5,238,0,0,0,0.05,0,2014,84,63.1,74,3.38,0,3.38,2013,2.82,88.7,0,88.7
2013,0.26,0,0.26,0,0,0,0.26,24.8,0,0,0,0,0,2013,88.5,69,79.6,0.33,0,0.33,2012,0.29,89.7,0,89.7
2012,2,0,2,0,0,0,2,191,0,0,0,0.34,0,2012,97,77.5,86.9,2.3,0,2.3,2011,2.36,84.7,0,84.7
2011,3.9,0,3.9,0,0,0,3.9,372,0,0,0,0.44,0,2011,112,76.6,93.6,4.17,0,4.17,2010,4.3,90.7,0,90.7
2010,3.8,0,3.8,0,0,0,3.8,362,0,0,0,0.65,0,2010,99.1,71,81.3,4.67,0,4.67,2009,4.11,92.5,0,92.5
2009,1.2,0,1.2,0.3,0,0.3,1.5,111,277,0,0,0,0,2009,87.9,55,75.7,1.58,0.4,1.98,2008,1.64,73.2,18.3,91.5
2008,6.7,0,6.7,0,0,0,6.7,-,-,15.8,0.02,1.13,0,2008,105,63.9,81.1,8.26,0,8.26,2007,7.53,89,0,89
2007,4.4,0,4.4,0,0,0,4.4,-,-,15.8,0.04,0.14,-,2007,108,65.7,83.8,5.25,0,5.25,2006,4.81,91.5,0,91.5
2006,4.7,0,4.7,0.3,0,0.3,5,-,-,15.8,0.03,0.34,-,2006,72,55.6,61,7.7,0.49,8.19,2005,6.4,73.4,4.7,78.1
2005,3.61,0,3.61,0.6,0,0.6,4.21,-,-,15.8,0.03,0.27,-,2005,67.5,55,61.9,5.83,0.97,6.8,2004,6.05,59.6,9.9,69.6
2004,1.8,0,1.8,0.2,0.4,0.6,2.4,-,-,0.74,0,0,-,2004,60,49.8,54.7,3.29,1.1,4.39,2003,2.42,74.4,24.8,99.2
2003,1.2,0,1.2,0.2,1,1.2,2.4,-,-,28.3,0.25,0.03,-,2003,51.5,46,49.3,2.43,2.43,4.87,2002,1.63,73.6,73.6,147
2002,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,2001,-,-,-,-
2001,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,2000,-,-,-,-
1999,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,1998,-,-,-,-
1998,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,1997,-,-,-,-
平均,2.66,0,2.66,0.08,0.07,0.15,2.81,,,,,,,平均,92.5,68.3,79.8,4.1,0.3,4.4,平均,4.17,81.3,8.2,89.5
累計,53.2,0,53.2,1.6,1.4,3,56.2,,,,,,,累計,,,,,,,累計,66.6,,,
