盈餘發放年度,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,股利總計現金(億),股利總計股票(千張),董監酬勞合計(百萬),董監酬勞合計佔淨利(%),員工紅利現金(億),員工紅利股票(千張),股價年度,股價統計(元)最高,股價統計(元)最低,股價統計(元)年均,年均殖利率(%)現金,年均殖利率(%)股票,年均殖利率(%)合計,盈餘年度,EPS(元),盈餘分配率(%)配息,盈餘分配率(%)配股,盈餘分配率(%)合計
2018,2,0,2,2,0,2,4,12.3,123,-,-,-,-,2018,42.25,25.3,34,5.88,5.88,11.8,2017,4.39,45.6,45.6,91.1
2017,1,0,1,0,0,0,1,5.89,0,-,-,-,-,2017,26.2,18.3,21.1,4.74,0,4.74,2016,1.46,68.5,0,68.5
2016,0.5,0,0.5,0,0,0,0.5,2.95,0,-,-,-,-,2016,19.15,13.4,16.2,3.08,0,3.08,2015,0.68,73.5,0,73.5
2015,0,0.4,0.4,0,0,0,0.4,2.36,0,0,0,0,0,2015,22.4,13.1,18,2.23,0,2.23,2014,-0.4,-100,0,-100
2014,0,1,1,0,0,0,1,5.89,0,0,0,0,0,2014,25.05,17.5,20.8,4.82,0,4.82,2013,-0.25,-400,0,-400
2013,1,0,1,0,0,0,1,5.89,0,2.98,1.01,0.03,0,2013,30.3,16.8,23.9,4.19,0,4.19,2012,0.5,200,0,200
2012,1.2,0,1.2,0,0,0,1.2,7.1,0,3.58,0.4,0.04,0,2012,17.7,12.7,15.2,7.89,0,7.89,2011,1.46,82.2,0,82.2
2011,1.5,0,1.5,0,0,0,1.5,9.18,0,4.63,0.43,0.05,0,2011,21.45,11.6,15.9,9.45,0,9.45,2010,1.78,84.3,0,84.3
2010,0.3,0,0.3,1,0,1,1.3,1.67,55.6,3.65,0.32,0.04,0,2010,21.75,15.35,17.9,1.67,5.57,7.24,2009,2.07,14.5,48.3,62.8
2009,1,0,1,0,0,0,1,5.56,0,2.81,0.48,0.03,0,2009,16.9,5.9,12.6,7.94,0,7.94,2008,1.06,94.3,0,94.3
2008,4,0,4,0,0,0,4,-,-,11.2,0.41,0.11,0,2008,36.8,5.5,20.1,19.9,0,19.9,2007,4.98,80.3,0,80.3
2007,3.3,0,3.3,0,0,0,3.3,-,-,9.27,0.45,0.09,-,2007,28.3,20,24.4,13.6,0,13.6,2006,3.73,88.5,0,88.5
2006,0.52,0,0.52,0,0,0,0.52,-,-,1.46,0.27,0.01,-,2006,30.4,18.2,23.2,2.24,0,2.24,2005,0.97,53.6,0,53.6
2005,0,0,0,0,0,0,0,-,-,0,0,0,-,2005,25.9,14.2,18.4,0,0,0,2004,-0.04,0,0,0
2004,0,0,0,0,0,0,0,-,-,-,-,-,-,2004,27,12.4,17.1,0,0,0,2003,-0.34,0,0,0
2003,0,0,0,0,0,0,0,-,-,-,-,-,-,2003,19.5,3.71,8.11,0,0,0,2002,-1,0,0,0
2002,0,0,0,0,0,0,0,-,-,0,0,0,-,2002,10.85,3.58,6.04,0,0,0,2001,-0.29,0,0,0
2001,0,0,0,0,1,1,1,-,-,0,0,0,-,2001,14.1,4.5,7.76,0,12.9,12.9,2000,-1.31,0,-76.3,-76.3
2000,1.7,0,1.7,0,0,0,1.7,-,-,0,0,0,-,2000,38.5,7.25,19.7,8.64,0,8.64,1999,1.86,91.4,0,91.4
1999,2,0,2,0,0,0,2,-,-,0,0,0,-,1999,36,17.6,24.5,8.15,0,8.15,1998,2.03,98.5,0,98.5
1998,0,0,0,3,0,3,3,-,-,0,0,0,-,1998,65,33.79,47.3,0,6.35,6.35,1997,2.6,0,115,115
1997,1.5,0,1.5,2,0,2,3.5,-,-,0,0,0,-,1997,62,41.2,51.6,2.9,3.87,6.78,1996,2.46,61,81.3,142
1996,2.5,0,2.5,1,0,1,3.5,-,-,-,-,-,-,1996,51,33.29,42.4,5.89,2.36,8.25,1995,3.67,68.1,27.2,95.4
1995,0,0,0,3.5,0,3.5,3.5,-,-,0,0,0,-,-,-,-,-,-,-,-,1994,4.88,0,71.8,71.8
1994,0,0,0,2.95,0,2.95,2.95,-,-,0,0,0,-,-,-,-,-,-,-,-,1993,3.44,0,85.8,85.8
1993,0,0,0,1.06,0,1.06,1.06,-,-,0,-,0,-,-,-,-,-,-,-,-,1992,-,-,-,-
平均,0.92,0.05,0.98,0.63,0.04,0.67,1.65,,,,,,,平均,29.9,15.9,22,4.9,1.6,6.5,平均,1.62,28.2,16,44.1
累計,24,1.4,25.4,16.5,1,17.5,42.9,,,,,,,累計,,,,,,,累計,40.4,,,
