盈餘發放年度,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,股利總計現金(億),股利總計股票(千張),董監酬勞合計(百萬),董監酬勞合計佔淨利(%),員工紅利現金(億),員工紅利股票(千張),股價年度,股價統計(元)最高,股價統計(元)最低,股價統計(元)年均,年均殖利率(%)現金,年均殖利率(%)股票,年均殖利率(%)合計,盈餘年度,EPS(元),盈餘分配率(%)配息,盈餘分配率(%)配股,盈餘分配率(%)合計
2018,0,0,0,0,0,0,0,0,0,-,-,-,-,2018,8.6,4.75,6.83,0,0,0,2017,-0.05,0,0,0
2017,0,0,0,0,0,0,0,0,0,-,-,-,-,2017,5.47,4,4.95,0,0,0,2016,-0.07,0,0,0
2016,0,0,0,0,0,0,0,0,0,-,-,-,-,2016,4.95,3.43,4.17,0,0,0,2015,0.11,0,0,0
2015,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,7,4.05,5.48,0,0,0,2014,0.04,0,0,0
2014,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,7.66,4.99,6.24,0,0,0,2013,0.29,0,0,0
2013,0,0,0,0,0,0,0,0,0,0,0,0,0,2013,6.24,3,4.61,0,0,0,2012,0.12,0,0,0
2012,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,3.45,1.69,2.35,0,0,0,2011,0.4,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,2011,4.32,1.71,2.7,0,0,0,2010,5.58,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,3.65,1.4,2.2,0,0,0,2009,-0.4,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,2009,2.14,0.7,1.09,0,0,0,2008,-0.6,0,0,0
2008,0,0,0,0,0,0,0,-,-,0,0,0,0,2008,3.28,0.92,1.67,0,0,0,2007,-0.68,0,0,0
2007,0,0,0,0,0,0,0,-,-,0,0,0,-,2007,2.91,1.2,1.93,0,0,0,2006,-0.54,0,0,0
2006,0,0,0,0,0,0,0,-,-,0,0,0,-,2006,1.94,0.4,1,0,0,0,2005,-0.63,0,0,0
2005,0,0,0,0,0,0,0,-,-,0,0,0,-,2005,2.17,0.82,1.51,0,0,0,2004,-1.18,0,0,0
2004,0,0,0,0,0,0,0,-,-,0,0,0,-,2004,4.4,0.74,2.13,0,0,0,2003,-2.58,0,0,0
2003,0,0,0,0,0,0,0,-,-,0,0,0,-,2003,1.65,0.81,1.2,0,0,0,2002,-0.47,0,0,0
2002,0,0,0,0,0,0,0,-,-,0,0,0,-,2002,2.2,0.78,1.4,0,0,0,2001,-1.95,0,0,0
2001,0,0,0,0,0,0,0,-,-,0,0,0,-,2001,4.68,0.75,2.57,0,0,0,2000,-5,0,0,0
2000,0,0,0,0,0,0,0,-,-,-,-,-,-,2000,27.7,2.11,9.53,0,0,0,1999,0.22,0,0,0
1999,0,0,0,0,1,1,1,-,-,0,0,0,-,1999,35.2,11.45,24.3,0,4.12,4.12,1998,-3.61,0,-27.7,-27.7
1998,0,0,0,0,1,1,1,-,-,0,0,0,-,1998,48,14.8,36.2,0,2.76,2.76,1997,0.26,0,385,385
1997,0,0,0,0,0,0,0,-,-,-,-,-,-,1997,65,31.2,44.9,0,0,0,1996,0.19,0,0,0
1996,0,0,0,0,0,0,0,-,-,-,-,-,-,1996,44.5,17.8,25.7,0,0,0,1995,-1.09,0,0,0
1995,0,0,0,0,0.37,0.37,0.37,-,-,-,-,-,-,1995,36,18.1,24.3,0,1.52,1.52,1994,0.9,0,41.2,41.2
1994,0,0,0,0,0,0,0,-,-,0,0,0,-,1994,44.8,24.3,31.9,0,0,0,1993,-0.77,0,0,0
1993,0,0,0,0,0,0,0,-,-,0,0,0,-,1993,56.5,18.1,28.6,0,0,0,1992,-1.17,0,0,0
1992,0,0,0,0,0,0,0,-,-,0,0,0,-,1992,64.5,22.1,41.5,0,0,0,1991,0.52,0,0,0
1991,0,0,0,0,1,1,1,-,-,0,0,0,-,1991,64,24,45.1,0,2.22,2.22,1990,-0.54,0,-187,-187
1990,0,0,0,0,0,0,0,-,-,0,-,0,-,-,-,-,-,-,-,-,1989,-,-,-,-
1989,0,0,0,0,0.3,0.3,0.3,-,-,-,-,-,-,-,-,-,-,-,-,-,1988,-,-,-,-
平均,0,0,0,0,0.12,0.12,0.12,,,,,,,平均,20.1,7.86,13.1,0,0.4,0.4,平均,-0.45,0,7.6,7.6
累計,0,0,0,0,3.67,3.67,3.67,,,,,,,累計,,,,,,,累計,-12.7,,,
